 	nous	avons	l'	habitude	de	boire	le	vin	de	palme	</S>
b	0.64945	0.18975	0.0609461	0.00752153	0.0131168	0.00985585	0.0492204	0.00865619	0.0097676	0.0011692	0.000546313
í	0.939159	0.0269626	0.00837766	0.00162914	0.00279627	0.00187574	0.00939785	0.0038009	0.00520778	0.000444951	0.000347983
s	0.984921	0.0103532	0.00262115	0.000145012	0.000805463	0.000330108	0.000297566	0.000231577	0.000118789	0.000101733	7.48364e-05
í	0.892866	0.0552437	0.0130942	0.000970698	0.00967705	0.00968536	0.00501947	0.00340275	0.00216736	0.00391589	0.00395704
l	0.0619241	0.164243	0.303297	0.11613	0.0131193	0.00361219	0.0155769	0.025252	0.0166854	0.0134041	0.266756
é	0.00709281	0.0517289	0.146625	0.230044	0.0522707	0.0315965	0.0451366	0.0600888	0.0509103	0.0137033	0.310803
e	0.0169755	0.213009	0.341164	0.251144	0.0829129	0.0366724	0.0107397	0.00942635	0.0114627	0.00457304	0.0219208
n	0.000246052	0.0238271	0.146274	0.729478	0.0379397	0.0207683	0.00325301	0.016476	0.00293989	0.00216049	0.0166379
y	0.00277666	0.0238763	0.0672335	0.131094	0.14194	0.573831	0.0112411	0.0272163	0.00329434	0.00669999	0.0107971
w	0.00436171	0.00604134	0.0337691	0.0297183	0.0519699	0.854312	0.00551373	0.00480141	0.00137463	0.00320388	0.00493364
á	0.00709123	0.0272842	0.153624	0.104681	0.117524	0.483847	0.0252288	0.011201	0.00872453	0.0183296	0.0424646
á	0.00223897	0.0223953	0.0731632	0.107692	0.185357	0.0761577	0.236363	0.136745	0.0416512	0.0168279	0.101408
m	0.00594948	0.0146217	0.0142585	0.0216302	0.275601	0.0972228	0.318607	0.0614494	0.160139	0.0203249	0.0101965
b	0.000558359	0.00526055	0.00868641	0.00874782	0.079258	0.102189	0.057138	0.161879	0.147774	0.149434	0.279075
o	0.00241099	0.000724283	0.00374273	0.00115884	0.0315069	0.152818	0.120441	0.396104	0.0379806	0.210303	0.0428093
l	0.000398004	0.0024817	0.0173031	0.0073505	0.00749367	0.0663761	0.0668267	0.575492	0.0588351	0.152974	0.0444693
ó	0.000485701	0.00164866	0.0106953	0.0154461	0.0294875	0.0849501	0.152769	0.265898	0.147772	0.172499	0.118349
</S>	0.000301783	0.00207402	0.00608416	0.011775	0.0194531	0.0166531	0.0693921	0.108101	0.184774	0.257551	0.323841
