 	il	a	assemblé	les	travailleurs	</S>
w	0.721088	0.205291	0.0513028	0.0213426	0.00011417	0.0008613
a	0.715075	0.176263	0.0133641	0.0928815	0.000823718	0.00159316
a	0.210707	0.410439	0.153141	0.154355	0.0168859	0.0544721
k	0.0764977	0.26732	0.424002	0.129744	0.0518762	0.0505601
ó	0.0141163	0.13471	0.49955	0.208167	0.0211921	0.122264
n	0.0048706	0.0431968	0.632828	0.1909	0.0606009	0.0676033
g	0.0644753	0.102984	0.51562	0.108269	0.0386846	0.169967
í	0.137995	0.0855732	0.565184	0.157097	0.0052904	0.0488598
s	0.0484117	0.0366184	0.118041	0.759215	0.00504309	0.0326704
í	0.00686947	0.00982934	0.112782	0.264774	0.514396	0.0913487
a	0.035715	0.0315986	0.0280371	0.573886	0.151683	0.17908
s	0.00204287	0.028345	0.0520443	0.287814	0.411614	0.21814
á	0.000493481	0.00630436	0.0112033	0.0726524	0.729163	0.180183
l	0.00312137	0.00268238	0.0109083	0.122221	0.43866	0.422406
i	0.00224121	0.00928011	0.0702002	0.245433	0.0319275	0.640918
</S>	0.00149453	0.00476812	0.0248327	0.144632	0.00881505	0.815458
