 	ce	petit	enfant	n'	a	pas	pu	bien	nettoyer	son	habit	voilà	pourquoi	il	est	gâté	</S>
m	0.143435	0.677247	0.0717682	0.0154756	0.00615071	0.0162737	0.0163662	0.0193012	0.000947482	0.0126381	0.0151851	0.00273542	0.00147939	0.000437571	0.000430801	5.76753e-05	7.07014e-05
w	0.00772995	0.0471522	0.936626	0.00216389	0.000758436	0.000357454	0.000487833	0.000248216	5.99209e-05	0.00029431	0.000811336	0.000196193	0.000462945	0.000213091	0.000170439	0.000175444	0.00209257
á	0.00152412	0.0116053	0.985729	0.000556722	9.07294e-05	2.77027e-05	8.61477e-05	6.88422e-06	8.74165e-06	1.3088e-05	0.000215297	3.03895e-05	7.32917e-05	5.16247e-06	7.74708e-07	2.51582e-05	1.74303e-06
n	0.00679758	0.0879566	0.900554	0.00131857	0.000291969	0.000225637	0.000617191	0.000114603	2.87519e-05	0.000138567	0.000912946	0.000275819	0.000536887	8.20038e-05	4.58308e-06	2.1742e-05	0.000122346
a	0.00528832	0.0420735	0.909729	0.0100716	0.00282319	0.00163782	0.00273624	0.000767858	0.000273606	0.000870074	0.00370141	0.00209573	0.00743403	0.00299449	0.000124495	0.00425651	0.00312158
n	0.213966	0.654412	0.0241574	0.0316453	0.0162978	0.00846435	0.00551976	0.00633045	0.00330346	0.0148929	0.0019665	0.00243373	0.00386395	0.003906	0.00505123	0.000676374	0.0031129
d	0.224754	0.216467	0.00732665	0.168491	0.0718896	0.0366698	0.0303038	0.0145938	0.0094816	0.0215505	0.0251428	0.0472692	0.0480801	0.0368364	0.00959708	0.00402337	0.0275241
z	0.223054	0.207008	0.0818953	0.111966	0.0486664	0.0209307	0.0641253	0.00897428	0.0277878	0.0199955	0.0489703	0.0475465	0.0512304	0.00697903	0.00313542	0.0159852	0.0117499
é	0.44932	0.368341	0.0183429	0.0439179	0.0185306	0.00708382	0.0204399	0.00283554	0.00618606	0.0125289	0.0238006	0.00915734	0.00530539	0.00142288	0.00112731	0.00837067	0.00328882
s	0.142038	0.161516	0.014895	0.26949	0.0825285	0.0271389	0.065476	0.0118329	0.0175732	0.0159924	0.0244367	0.0152509	0.0184808	0.0122473	0.0129577	0.0240031	0.0841421
i	0.247184	0.379065	0.157896	0.0653719	0.0220071	0.00570646	0.015337	0.00195654	0.0022558	0.0047039	0.010305	0.0118269	0.0183612	0.00699439	0.00316373	0.0101084	0.0377572
w	0.0810833	0.127286	0.0273714	0.342021	0.193601	0.0495763	0.0420964	0.0403844	0.00760819	0.0194908	0.00512262	0.00786938	0.0105973	0.0127952	0.0174396	0.00131885	0.0143387
ó	0.0277055	0.0317154	0.0191555	0.09077	0.0304966	0.0814714	0.0834476	0.0432522	0.00686853	0.0277832	0.0365831	0.126009	0.115658	0.165045	0.011238	0.0168632	0.0859381
á	0.05245	0.0225173	0.0114696	0.24037	0.121213	0.04937	0.0770959	0.052895	0.0106768	0.0378455	0.0148314	0.040206	0.0630839	0.0819246	0.0375544	0.00224779	0.0842483
k	0.00449769	0.00275164	0.000986172	0.0479756	0.154647	0.215373	0.153448	0.0956165	0.263337	0.00969222	0.0106093	0.00316828	0.000986234	0.00301471	0.00640216	0.00321314	0.0242811
ώ	0.00384728	0.00110917	0.000571106	0.0578081	0.0950216	0.178971	0.229837	0.0899115	0.239154	0.0265657	0.0298261	0.0194714	0.00549828	0.00588916	0.00444802	0.00301703	0.00905378
n	0.00495069	0.00252351	0.000348157	0.0495633	0.111654	0.129932	0.242552	0.135581	0.168246	0.0592662	0.0417963	0.0206974	0.00763278	0.00416396	0.0054051	0.00362012	0.0120682
d	0.00895291	0.0121412	0.00324855	0.07204	0.0785915	0.129633	0.191311	0.143034	0.0658373	0.115495	0.0515925	0.0482381	0.0239157	0.0139188	0.00716296	0.00550404	0.0293832
i	0.00966067	0.00723164	0.00393306	0.0839183	0.0913732	0.129011	0.182713	0.10854	0.107298	0.0822732	0.044815	0.0322035	0.0260851	0.0147319	0.0104791	0.00892684	0.056806
o	0.00530558	0.00239808	0.00252834	0.0338667	0.0531824	0.0457052	0.0798091	0.255613	0.102937	0.220508	0.115059	0.0361325	0.0168233	0.010684	0.00585541	0.00191373	0.0116778
s	0.00511153	0.00147814	0.000108818	0.00406763	0.0123074	0.0102768	0.032523	0.0479361	0.43962	0.0587014	0.363551	0.0177604	0.000908406	0.000496094	0.00049218	0.00352487	0.00113607
u	0.0108346	0.00183244	0.000227277	0.00183187	0.00369887	0.00354543	0.00768624	0.00718365	0.897356	0.0160033	0.0368995	0.00485329	0.000659408	0.000186416	0.000523282	0.00318334	0.00349546
s	0.0255596	0.0126709	0.00356196	0.025261	0.0383579	0.0349319	0.060943	0.0358975	0.530958	0.101223	0.101133	0.0129849	0.00203071	0.000872493	0.000938504	0.00358339	0.00909161
á	0.0134226	0.00548178	0.000757364	0.0112425	0.0239458	0.0528882	0.0449977	0.0747648	0.386929	0.242329	0.0837021	0.0264035	0.0084186	0.00324751	0.00440865	0.00450133	0.0125594
o	0.00241021	0.00385639	0.000510488	0.0170176	0.050816	0.0382319	0.0332943	0.152275	0.122614	0.241713	0.0563449	0.121658	0.0720165	0.0285094	0.0292915	0.00237731	0.027063
k	0.00516167	0.00124164	0.000141252	0.00380673	0.00797211	0.00738958	0.00969579	0.0426662	0.248714	0.150388	0.304713	0.163629	0.0156518	0.00936761	0.0106142	0.0122437	0.00660348
á	0.000492183	0.000145859	9.72438e-05	0.00119454	0.00256758	0.0281723	0.0383101	0.0275781	0.100836	0.108739	0.444432	0.196953	0.0107535	0.00695497	0.00399272	0.00770396	0.0210769
n	0.00182524	0.000501428	7.8023e-05	0.00297535	0.00557115	0.0445169	0.0238203	0.0416741	0.157439	0.0970005	0.283902	0.236272	0.0277102	0.0190891	0.00454351	0.00604607	0.0470348
d	0.00210329	0.00136653	9.8805e-05	0.00406087	0.00610424	0.0375851	0.037123	0.0254815	0.0231821	0.0920337	0.412032	0.190583	0.0534959	0.0307979	0.00286481	0.00681731	0.0742692
