 	cet	homme	a	fait	envoler	l'	oiseau	</S>
m	0.686215	0.274722	0.0297028	0.00641872	0.000167932	0.00226146	0.0003077	0.000204195
o	0.900925	0.0776831	0.00354906	0.00282772	0.000256871	0.00179587	0.00290746	0.0100549
r	0.574938	0.342837	0.0110251	0.049713	0.0153118	0.000346406	0.000632258	0.00519613
o	0.642325	0.316347	0.00400574	0.00238511	0.00141377	0.00164948	0.0159472	0.0159266
w	0.378475	0.341266	0.199201	0.0701144	0.00105771	0.00183085	0.000263724	0.00779097
ó	0.441071	0.150625	0.113765	0.165022	0.00446519	0.064405	0.00482723	0.0558196
á	0.0562575	0.0334919	0.571282	0.242102	0.00884086	0.00913371	0.00117055	0.0777223
f	0.00106461	0.00152488	0.0441588	0.791621	0.133622	0.0129893	0.00252993	0.0124896
u	0.000276567	0.0029558	0.0262396	0.319968	0.631586	0.0127244	0.00136172	0.00488835
m	0.00116637	0.00113407	0.00151155	0.0216604	0.961114	0.00419116	0.00573022	0.0034919
b	0.0883478	0.0127961	0.064656	0.192741	0.273649	0.27319	0.047003	0.047617
u	0.0546372	0.00898557	0.0213179	0.184422	0.215401	0.335922	0.0289469	0.150367
s	0.0178543	0.00306161	0.10899	0.0829663	0.0248903	0.57986	0.100402	0.081976
u	0.00792032	0.00541013	0.00780846	0.0336834	0.475527	0.247102	0.104549	0.118
n	0.0249935	0.00397857	0.012138	0.00818794	0.0101712	0.397649	0.467264	0.0756177
y	0.00236467	0.000649889	0.000490038	0.00238215	0.00707861	0.0916629	0.765516	0.129856
ω	0.000470777	0.000185605	0.00023666	0.00226924	0.00192933	0.0216577	0.927886	0.0453649
s	7.34324e-05	0.000499922	0.000467101	0.00587438	0.014499	0.0112118	0.950996	0.0163782
í	0.00015799	0.000185073	0.000461417	0.00283609	0.0441077	0.112463	0.134783	0.705006
</S>	0.00255524	0.000811223	0.00691887	0.0119687	0.00722993	0.163457	0.0194983	0.787561
