 	il	accélère	sa	course	</S>
w	0.993553	0.0012486	0.00468659	0.00045299	5.88224e-05
a	0.982694	0.000862111	0.0139774	0.00230605	0.000160231
a	0.603364	0.154574	0.122858	0.0135703	0.105634
k	0.0960277	0.59196	0.149921	0.0272825	0.134809
y	0.0472972	0.809493	0.0753371	0.00233827	0.0655344
e	0.064288	0.886963	0.0381063	0.00197343	0.00866885
t	0.223149	0.246921	0.359269	0.0188695	0.151791
y	0.0370839	0.763972	0.138341	0.00658768	0.0540156
é	0.00600302	0.746961	0.201416	0.00946614	0.0361537
é	0.0144039	0.409388	0.267835	0.0261051	0.282268
n	0.0418074	0.0270323	0.598347	0.198458	0.134355
i	0.00506795	0.000529104	0.0572044	0.84025	0.0969487
</S>	0.00808905	0.00649616	0.33342	0.237498	0.414497
