 	apporte	moi	un	plant	de	palmier	</S>
y	0.930389	0.0468653	0.0111473	0.00907631	0.00178219	0.000585714	0.000154306
a	0.927262	0.0635067	0.00535742	0.0021225	0.000438274	1.61316e-05	0.0012964
á	0.934	0.056342	0.00545519	0.00344476	0.000196394	3.48125e-05	0.000527336
n	0.264116	0.517592	0.150484	0.0186185	0.0125337	0.00130133	0.0353544
g	0.0318583	0.929582	0.0116832	0.00106867	0.00534243	0.000235317	0.02023
á	0.0397351	0.940831	0.0139806	0.00155628	0.00101065	7.17296e-05	0.0028149
l	0.0025642	0.0657655	0.495956	0.299054	0.0814238	0.00224291	0.0529934
o	0.00958046	0.22841	0.406003	0.113699	0.0489026	0.00196777	0.191437
t	0.0422539	0.0247213	0.137572	0.753128	0.0232767	0.000874401	0.0181735
ω	0.00132623	0.00506458	0.151141	0.824079	0.0100613	0.00106527	0.00726287
ω	0.000742844	0.00335223	0.105895	0.776223	0.0932032	0.00264247	0.0179416
m	0.000178914	0.00895866	0.0496181	0.0382194	0.801314	0.0601767	0.0415347
í	0.000478633	0.00231416	0.0160732	0.0131015	0.272424	0.0940467	0.601562
b	0.00090944	0.00636937	0.0122182	0.0667646	0.20938	0.615789	0.0885688
í	0.000136592	0.000639614	0.00208722	0.00766047	0.0101496	0.966516	0.0128102
a	0.000152617	0.00330248	0.00483657	0.0120172	0.0114459	0.811715	0.15653
</S>	0.000485192	0.00375672	0.0146024	0.00342079	0.103244	0.45475	0.419741
