 	les	branches	sont	couvertes	de	bourgeons	</S>
m	0.542492	0.423469	0.0318179	9.94888e-05	0.00155123	0.000512273	5.8083e-05
y	0.303669	0.221105	0.385999	0.0200214	0.0237749	0.00103592	0.0443957
e	0.616949	0.340537	0.00812059	0.0202953	0.00280347	0.00585704	0.00543778
r	0.560162	0.395255	0.0198461	0.00567866	0.0032656	0.00282561	0.0129667
é	0.454579	0.332688	0.120163	0.0110645	0.0235757	0.00409653	0.0538335
i	0.351679	0.133124	0.452723	0.0223639	0.0108876	0.00222453	0.0269972
m	0.0925723	0.197844	0.270333	0.284958	0.0495331	0.00946182	0.0952973
i	0.17372	0.0949504	0.302409	0.342797	0.0518529	0.010598	0.0236718
t	0.0732423	0.055036	0.147377	0.61582	0.0474857	0.00968487	0.0513541
ω	0.0051597	0.0146597	0.0180201	0.936092	0.0128796	0.00362614	0.00956283
ώ	0.0341989	0.0564666	0.0909354	0.699138	0.0770782	0.00496315	0.0372194
m	0.0299625	0.0190694	0.115561	0.14141	0.533027	0.120154	0.0408167
i	0.0182121	0.0112307	0.0278135	0.311345	0.196793	0.20495	0.229656
t	0.00875974	0.0039212	0.0152065	0.0915163	0.21072	0.420623	0.249252
á	0.00730412	0.0227577	0.0118391	0.309411	0.09792	0.413532	0.137236
b	0.000845543	0.00197452	0.00701621	0.106875	0.0636585	0.478491	0.341139
h	0.00129401	0.00277772	0.00207539	0.0432813	0.0312133	0.651613	0.267745
e	0.00508281	0.00686637	0.00317782	0.0183856	0.0292529	0.666201	0.271033
b	0.00169453	0.00331352	0.00441329	0.0102982	0.162763	0.291976	0.525541
á	0.0381808	0.083254	0.0232536	0.0443919	0.0627522	0.527261	0.220907
b	0.0119364	0.00664958	0.0133199	0.00703168	0.0609488	0.524893	0.375221
v	0.00713723	0.0267377	0.0101652	0.00592107	0.0184122	0.858507	0.07312
ú	0.00823735	0.0026082	0.00088296	0.00260662	0.0112612	0.935076	0.0393279
a	0.00259575	0.00274907	0.00123569	0.0260463	0.117897	0.54394	0.305537
</S>	0.0131578	0.008389	0.0346289	0.0062646	0.217041	0.088102	0.632416
