 	il	casse	l'	os	pour	avoir	de	la	moëlle	</S>
w	0.493064	0.466569	0.024289	0.0042027	0.00495254	0.0024832	0.0028959	0.00141122	7.96154e-05	5.33352e-05
a	0.401082	0.520182	0.0465298	0.00144553	0.00807706	0.00638642	0.00883934	0.00555013	0.00183534	7.21908e-05
b	0.609309	0.277089	0.051721	0.00217531	0.0106986	0.0104468	0.0153405	0.011618	0.0052818	0.00632011
ó	0.111482	0.686704	0.129169	0.01895	0.0204851	0.016061	0.00757234	0.00165572	0.000507794	0.00741374
l	0.0596969	0.328439	0.308865	0.0360464	0.0489941	0.0346624	0.0384262	0.0250967	0.00785951	0.111913
á	0.121719	0.103297	0.188143	0.00859621	0.0929124	0.0760169	0.0896609	0.0487385	0.00699563	0.263921
a	0.518303	0.0844221	0.262438	0.0144936	0.0190925	0.0193051	0.0176035	0.0131212	0.00466019	0.0465615
b	0.0467362	0.157384	0.438546	0.298932	0.00626134	0.00874181	0.00673371	0.00915856	0.0081739	0.0193317
o	0.084213	0.307689	0.159986	0.415814	0.00856089	0.00533334	0.0047101	0.00395607	0.00218535	0.00755192
n	0.0146354	0.312182	0.18294	0.425023	0.00988	0.00275443	0.00698164	0.0109862	0.00779253	0.0268249
d	0.201482	0.10891	0.39141	0.187652	0.0393165	0.0170673	0.0135238	0.00776195	0.00391728	0.0289594
z	0.141952	0.078289	0.277052	0.299627	0.0463379	0.0152259	0.0154619	0.00787915	0.00511595	0.113059
á	0.188955	0.0374329	0.270757	0.241643	0.0589018	0.0257823	0.0237191	0.0051015	0.00304566	0.144662
e	0.0255222	0.00934457	0.128591	0.677163	0.100353	0.0308891	0.014261	0.0062503	0.00168093	0.00594421
b	0.00606554	0.0197352	0.0375943	0.721856	0.134294	0.0326677	0.0178686	0.0109167	0.00971972	0.00928209
h	0.00239364	0.0219823	0.0140477	0.879504	0.0434071	0.0208911	0.00892662	0.00304014	0.00355365	0.00225332
e	0.000658598	0.00507038	0.00513217	0.961222	0.00827199	0.00726389	0.00507685	0.0026114	0.00190271	0.00278968
s	0.00141801	0.00336641	0.00863436	0.821862	0.0552505	0.0301902	0.0193425	0.018805	0.0219527	0.0191788
é	0.00334812	0.00776489	0.0119725	0.240977	0.325529	0.156122	0.0933129	0.0249624	0.0251408	0.11087
m	0.00312894	0.00127582	0.00870241	0.0214862	0.377708	0.320554	0.138153	0.0662362	0.0114617	0.0512938
í	0.00575237	0.000565891	0.017075	0.00518026	0.180301	0.199706	0.184279	0.108414	0.0461053	0.252622
d	0.00403458	0.00211635	0.00626791	0.0097794	0.143995	0.200098	0.15669	0.166253	0.287048	0.0237176
i	0.00124453	0.000534903	0.00236769	0.00263158	0.029291	0.121985	0.0781477	0.121745	0.29924	0.342813
a	7.80877e-05	5.84072e-05	0.000356168	0.00150171	0.017345	0.0435994	0.0756925	0.20617	0.610356	0.0448422
l	0.000235998	0.000226584	0.00140018	0.00201508	0.0311628	0.0772816	0.200991	0.310174	0.134858	0.241654
ó	0.00300288	0.00236604	0.00894303	0.00763966	0.038122	0.0563627	0.114999	0.169162	0.168816	0.430586
s	0.00378276	0.00272113	0.0060065	0.00212982	0.0353548	0.032491	0.115154	0.15166	0.496869	0.153831
ω	0.00579437	0.00138506	0.0198509	0.00520472	0.0220662	0.0253612	0.0639841	0.117866	0.645406	0.0930814
ω	0.000206219	6.33001e-05	0.000276102	0.00079067	0.00720335	0.0115489	0.0481521	0.122751	0.643075	0.165934
</S>	0.00323799	0.00059278	0.00325654	0.00171513	0.0366427	0.0299144	0.16564	0.296833	0.191612	0.270555
