 	toutes	les	maisons	de	ce	village	sont	devenues	délabrées	</S>
a	0.40079	0.308082	0.0577092	0.03146	0.0706178	0.0627268	0.0570568	0.0100536	0.0013641	0.000140589
n	0.090301	0.494557	0.165315	0.0676698	0.0188662	0.0842397	0.00881395	0.0159031	0.0474194	0.00691512
d	0.115039	0.515742	0.193282	0.130943	0.0181808	0.00123214	0.00748007	0.000627985	0.00147284	0.0159997
é	0.132291	0.487132	0.128024	0.068307	0.011106	0.0294574	0.0135406	0.00166061	0.00420689	0.124274
e	0.17713	0.360205	0.210729	0.14289	0.0338511	0.0173851	0.00895533	0.00105192	0.00404323	0.0437597
m	0.0766618	0.220807	0.361356	0.11509	0.0885837	0.0307898	0.0550718	0.0169773	0.00196153	0.0327022
á	0.0917473	0.126312	0.308931	0.156327	0.23535	0.00945716	0.0285085	0.00611321	0.00827402	0.0289797
p	0.222765	0.0501116	0.0529098	0.0461604	0.0384722	0.568129	0.0106463	0.0038779	0.0018004	0.00512798
o	0.00595156	0.00432121	0.00664478	0.00895626	0.00284683	0.95821	0.00391377	0.00400429	0.00316252	0.00198918
o	0.00115485	0.00185984	0.00246218	0.00618675	0.00436045	0.975395	0.0046936	0.00186956	0.00107969	0.000937753
y	0.00546031	0.0113739	0.0631413	0.105645	0.526138	0.0436752	0.202434	0.0309378	0.00528765	0.00590641
é	0.0202511	0.0346929	0.122067	0.0936133	0.161066	0.226261	0.294632	0.0251947	0.0102416	0.0119805
á	0.0154058	0.0101746	0.0979346	0.121612	0.253416	0.047776	0.282083	0.103674	0.0332854	0.0346377
t	0.00194337	0.00546034	0.0138223	0.0398624	0.033698	0.0117318	0.0716209	0.724138	0.0593507	0.0383725
s	0.000345147	0.00368112	0.0192498	0.101669	0.0442056	0.0507439	0.0734622	0.588845	0.0662525	0.0515452
ω	0.00314194	0.00704184	0.039626	0.135193	0.184657	0.0401212	0.161363	0.348288	0.0606538	0.019915
á	0.00238058	0.00459162	0.0292183	0.0578685	0.143133	0.0381294	0.209357	0.371104	0.0903409	0.0538771
b	0.00828037	0.0100821	0.0292281	0.0699828	0.0843242	0.00371606	0.156278	0.351438	0.180818	0.105852
h	0.00741557	0.00558277	0.00505492	0.0227328	0.0369306	0.000123665	0.0235496	0.48481	0.372405	0.0413956
i	0.00190147	0.00215599	0.00576313	0.0491447	0.0819886	0.000598093	0.0356979	0.30088	0.432262	0.0896086
a	0.000973953	0.00219206	0.00523213	0.0218722	0.0563329	0.00703146	0.119295	0.281003	0.312756	0.193312
t	0.00201819	0.00630251	0.0135837	0.0196842	0.0172064	0.00143381	0.0382917	0.222452	0.473665	0.205363
u	0.000597496	0.00165418	0.00185569	0.00725352	0.00950549	0.0146486	0.0161354	0.400832	0.496848	0.0506698
m	0.000368732	0.00107013	0.00177969	0.0117965	0.0309349	0.0296556	0.0173704	0.0512439	0.505357	0.350423
b	0.000388763	0.00107668	0.00633225	0.0202633	0.0545935	0.00122506	0.058552	0.0410765	0.602879	0.213613
ú	0.00412281	0.00403921	0.0102995	0.0845253	0.595393	0.00017851	0.048153	0.0295816	0.181946	0.0417607
</S>	0.000989674	0.00315398	0.0113514	0.0176599	0.0739826	0.000952727	0.118243	0.0531124	0.157219	0.563335
