 	la	sève	de	la	plupart	des	arbustes	grimpants	a	de	la	glu	</S>
a	0.609524	0.0752169	0.186378	0.0250061	0.0338522	0.0528184	0.0011206	0.00455512	0.00289169	0.0044824	0.00285996	0.0012507	4.4005e-05
t	0.235787	0.23065	0.0962985	0.128636	0.168377	0.00544732	0.0182037	0.0212495	0.0140266	0.0171196	0.00811101	0.0485979	0.00749654
a	0.027289	0.642792	0.0532052	0.111729	0.122241	0.00424166	0.0117459	0.00707363	0.00743433	0.00286884	0.00180579	0.00450347	0.00307048
n	0.0985194	0.559487	0.104125	0.0791292	0.0572735	0.00581602	0.0119324	0.0242793	0.0132684	0.00998123	0.00587137	0.000807654	0.0295098
d	0.273703	0.593633	0.0571028	0.0214291	0.0161297	0.00444667	0.0119243	0.003395	0.00274684	0.00152844	0.00055409	5.25257e-05	0.0133545
e	0.261059	0.472701	0.077291	0.0387135	0.0129151	0.00886297	0.0657498	0.00841145	0.00776236	0.00382679	0.00123349	0.00019109	0.041282
m	0.126861	0.0762273	0.530924	0.0814313	0.0127222	0.0379802	0.0204056	0.0600931	0.0213157	0.0111243	0.00681336	0.000860253	0.0132419
í	0.222471	0.0179242	0.137075	0.0838606	0.0531196	0.2995	0.148263	0.00641737	0.00470238	0.00198073	0.00362216	0.00089843	0.0201651
n	0.241249	0.0239892	0.209402	0.0891746	0.092046	0.1236	0.160847	0.0208904	0.0107539	0.00421759	0.00283925	0.000436041	0.0205544
d	0.0222359	0.00206335	0.0652613	0.0381902	0.0618163	0.267718	0.504798	0.0077616	0.00475993	0.00624061	0.000789401	0.000136565	0.0182287
z	0.0067836	0.0012271	0.0593065	0.113125	0.166844	0.135666	0.48834	0.00639788	0.00611761	0.00560714	0.000715948	4.25395e-05	0.00982606
i	0.00408147	0.00207407	0.0240788	0.0409322	0.195075	0.0745638	0.640421	0.000846424	0.00153561	0.002856	0.00085656	6.30262e-05	0.0126159
n	0.0381963	0.0253708	0.141557	0.101475	0.276631	0.179677	0.104885	0.0173746	0.0107995	0.0167881	0.0043581	0.000407006	0.0824808
d	0.0195006	0.00264137	0.0635307	0.0634909	0.201403	0.354372	0.269043	0.0034026	0.00334642	0.00402477	0.000881551	1.20945e-05	0.0143519
z	0.00807839	0.00144284	0.019321	0.0312172	0.112863	0.188955	0.600923	0.00271739	0.00329167	0.00417248	0.00046023	5.00232e-05	0.026507
í	0.0164461	0.0159932	0.0441588	0.0709223	0.172986	0.138519	0.482323	0.00287178	0.00275276	0.00358578	0.000560464	0.000174873	0.0487063
i	0.0110681	0.00188682	0.0881775	0.0624164	0.082638	0.230795	0.112803	0.348275	0.0383789	0.0100173	0.00692698	0.0017605	0.00485652
i	0.00272518	0.00107961	0.0323032	0.0459871	0.0349935	0.0216354	0.0459326	0.433855	0.175986	0.0775911	0.0626471	0.0276835	0.0375804
y	0.00885763	0.00275046	0.0236219	0.0281275	0.0299981	0.0127553	0.0532056	0.33279	0.269609	0.0903585	0.0722994	0.0439998	0.0316269
í	0.000415668	0.000125472	0.00333979	0.00726778	0.0107379	0.00726578	0.0122775	0.340933	0.510224	0.0707478	0.0200108	0.00265666	0.0139975
í	0.00168902	0.000653043	0.0160164	0.0222546	0.0531403	0.0908509	0.0172744	0.22379	0.351334	0.0777044	0.0349422	0.00754553	0.102805
á	0.0016855	0.000317115	0.00841637	0.00509062	0.00610117	0.0228625	0.00447004	0.32204	0.339054	0.130475	0.0954608	0.0283284	0.035699
d	0.00110808	0.000199003	0.00400509	0.00539333	0.00352974	0.00122955	0.00463289	0.264777	0.313664	0.146194	0.187604	0.0362784	0.0313846
í	0.00164936	0.000116518	0.00581488	0.00452147	0.00388549	0.00195926	0.00236609	0.254341	0.392444	0.124538	0.0527456	0.00141055	0.154207
l	0.00100904	0.000123092	0.00538715	0.00340929	0.00474328	0.00710667	0.00128085	0.254012	0.167957	0.117783	0.165571	0.110613	0.161005
a	0.00140898	0.000541741	0.00662358	0.00854508	0.00569036	0.00179788	0.00452902	0.0914124	0.15073	0.116972	0.139477	0.036659	0.435613
l	0.00521479	0.000429118	0.0231279	0.0173436	0.0249355	0.0100688	0.00245351	0.107277	0.104749	0.223477	0.222946	0.142198	0.115779
e	0.00312477	0.000400951	0.0113687	0.011256	0.00927083	0.00357175	0.00288522	0.215343	0.23072	0.207211	0.192835	0.0720492	0.0399629
m	0.000367742	3.90051e-05	0.00193471	0.00360954	0.00432784	0.000513238	0.000892485	0.0478978	0.0650829	0.183598	0.473583	0.0795783	0.138575
b	0.00722113	0.00108905	0.0222259	0.0337559	0.0535494	0.0152847	0.0108003	0.00934065	0.0537564	0.0447902	0.223549	0.0687155	0.455922
o	0.0102522	0.00422734	0.00834609	0.0270457	0.104895	0.0135567	0.0775937	0.00455832	0.0105266	0.0383048	0.0596431	0.0125194	0.628531
</S>	0.00136754	0.000354987	0.00203051	0.0054255	0.0104245	0.00157286	0.00507779	0.0319324	0.029118	0.0932273	0.289122	0.123713	0.406633
