 	son	ami	l'	a	frappé	mais	sa	riposte	était	trop	fougueuse	</S>
o	0.745138	0.108784	0.0202202	0.0109791	0.0472648	0.0124252	0.0148462	0.0393947	0.000353141	0.000471191	8.48556e-05	3.8926e-05
b	0.0189001	0.960197	0.0109734	0.00166173	0.0005336	0.00183015	0.00114082	0.0015074	0.000741119	0.000737877	0.000156015	0.00162096
i	0.00164216	0.991758	0.000539045	0.000348935	0.00131316	0.000181976	0.000174809	0.0036799	0.000106331	7.72112e-05	0.00014451	3.42282e-05
a	0.0109938	0.930056	0.0175922	0.00763617	0.0102559	0.00505284	0.00306603	0.00456626	0.00313277	0.00274951	0.00113414	0.00376398
á	0.433017	0.00472282	0.340948	0.113546	0.0278589	0.00591543	0.0168505	0.00423798	0.0139229	0.0129124	0.00239061	0.0236772
b	0.0152341	0.00337103	0.378668	0.321335	0.158425	0.0237619	0.0147741	0.010283	0.0229516	0.0175998	0.00951484	0.0240813
έ	0.00664615	0.0143786	0.103574	0.237544	0.444267	0.0531543	0.0367602	0.035999	0.0210297	0.0207632	0.00618056	0.0197036
r	0.0408998	0.0137781	0.167063	0.266473	0.235645	0.0933687	0.0455099	0.0236491	0.0316959	0.0191404	0.0103013	0.0524749
i	0.0790824	0.00101684	0.177682	0.219306	0.0873141	0.111652	0.183815	0.0176976	0.021054	0.0520874	0.00775578	0.0415369
w	0.0281152	0.000620098	0.0880071	0.228256	0.137815	0.272395	0.146392	0.0198371	0.0172294	0.0198926	0.0103935	0.0310482
a	0.0393363	0.00023114	0.110381	0.213174	0.106041	0.130676	0.171291	0.0290272	0.0185519	0.123926	0.0217306	0.0356344
n	0.00284474	0.000122705	0.0103333	0.0571165	0.0834989	0.436006	0.240096	0.0903938	0.0262752	0.0229343	0.00367849	0.0267
d	0.0246855	0.000392369	0.0181688	0.0244089	0.0225242	0.750345	0.0879014	0.0331766	0.0102647	0.00468874	0.000601501	0.0228419
z	0.00222331	0.000425215	0.00543218	0.01319	0.0126245	0.762295	0.0995331	0.0437312	0.0182855	0.00636292	0.00190443	0.0339928
á	0.000774199	0.000149966	0.0111636	0.00782307	0.00287527	0.822288	0.118698	0.00517194	0.0146836	0.00327184	0.000748871	0.0123511
á	0.00125715	0.00196066	0.0441791	0.0347124	0.0381754	0.152894	0.398497	0.122055	0.0878661	0.0192996	0.00700208	0.0921016
e	0.00144098	0.000190252	0.0274683	0.0588844	0.0455022	0.149297	0.369284	0.235802	0.0799804	0.0211242	0.00501929	0.00600672
k	0.000209711	0.000381809	0.00497098	0.00577722	0.0242075	0.0622562	0.154238	0.27159	0.365834	0.0436479	0.0579325	0.00895459
a	2.07128e-05	0.000101661	0.00182835	0.00257556	0.0311304	0.021878	0.11893	0.589499	0.117687	0.024043	0.0764862	0.0158195
s	0.000389622	0.000225552	0.00333548	0.0049852	0.0546681	0.0110063	0.108204	0.592509	0.115891	0.0167167	0.041513	0.0505564
í	0.00112706	3.38167e-05	0.00390072	0.00476711	0.0117151	0.0253649	0.142635	0.55616	0.157924	0.0495903	0.0126075	0.0341744
l	0.000376804	7.25357e-06	0.00282131	0.00496287	0.0110243	0.0116176	0.080961	0.0733311	0.557774	0.112065	0.0522612	0.0927978
í	0.00279902	0.000667909	0.00847805	0.0111387	0.0177713	0.0237347	0.065402	0.267647	0.248354	0.076622	0.0226814	0.254704
l	0.00201924	0.0001544	0.00314701	0.00495168	0.00851939	0.0204833	0.0558703	0.148793	0.395193	0.25327	0.038262	0.069337
í	0.00367498	0.00036869	0.00469475	0.00643865	0.0105739	0.0210535	0.0303881	0.0760705	0.410953	0.171166	0.0278393	0.236779
y	0.00273025	0.000128033	0.00386829	0.0059402	0.00435609	0.0215752	0.077867	0.103221	0.265612	0.361848	0.0876988	0.0651549
