 	okomba	a	a	quitté	l'	école	pour	la	campagne	où	il	vit	misérablement	</S>
o	0.910771	0.0746355	0.00357379	0.000412579	0.0026638	0.00060894	0.00114035	0.000809499	0.0010827	0.000444019	0.000417326	0.00215108	0.0011648	0.000124531
k	0.99475	0.00166866	0.000450517	0.00063145	0.000180842	0.00075211	6.01703e-05	3.30025e-05	1.00629e-05	1.94483e-05	1.44934e-05	9.51823e-05	0.00114464	0.000189406
ó	0.984883	0.00491133	0.000289086	0.000330178	0.000259392	0.0010742	0.000181106	0.000225353	0.000102062	0.000246227	9.99452e-05	0.000158015	0.00695232	0.000287565
m	0.981593	0.00220385	0.000482275	0.000666429	0.000182951	0.00267608	0.000533163	0.000205725	5.51096e-05	0.000521198	0.000185242	0.000191177	0.00780717	0.00269624
b	0.940489	0.0141029	0.00463747	0.00188571	0.00278	0.00406111	0.00519031	0.00261638	0.00290025	0.00289994	0.00239172	0.00146361	0.00377586	0.0108056
a	0.654698	0.233378	0.0304739	0.00526449	0.00834064	0.00749559	0.00451505	0.0056366	0.00773173	0.00487786	0.00375559	0.00336042	0.0026735	0.0277983
á	0.0135146	0.63247	0.212886	0.0370043	0.0148155	0.00292902	0.0101687	0.00619181	0.00587224	0.0114812	0.0154524	0.0135228	0.000216284	0.0234756
t	0.00436973	0.0688307	0.230995	0.589158	0.0356354	0.0395337	0.00274435	0.0033831	0.00157696	0.0011041	0.001535	0.0103193	0.00267309	0.00814095
ó	0.000877811	0.0244655	0.157372	0.654719	0.0644041	0.0687072	0.00350253	0.00511777	0.00175193	0.00178904	0.0017511	0.00604219	0.00398865	0.00551138
n	0.014173	0.0400469	0.145157	0.481087	0.119909	0.141205	0.0103511	0.00808442	0.00348144	0.00483017	0.00251826	0.00748236	0.00869996	0.0129748
á	0.00361589	0.0671119	0.176642	0.340965	0.136125	0.142364	0.0224092	0.0185573	0.0131352	0.00753581	0.00612427	0.00662063	0.0191265	0.0396675
l	0.00105854	0.0395911	0.141394	0.065514	0.311528	0.13523	0.143156	0.0561913	0.0322909	0.0252847	0.0234379	0.014399	0.00267228	0.00825131
e	0.000721734	0.0130429	0.0892141	0.0459862	0.24919	0.271212	0.146024	0.066716	0.0179824	0.0262513	0.0142409	0.0178089	0.00153508	0.0400749
k	0.00227325	0.00723857	0.0156201	0.0175814	0.118954	0.422715	0.223414	0.0765411	0.0209035	0.029762	0.0146977	0.00840781	0.0140393	0.0278517
ώ	0.00129818	0.00149432	0.0021132	0.00486664	0.0284992	0.777977	0.026615	0.0392373	0.0758552	0.00527335	0.00191854	0.00397445	0.0221892	0.00868852
ώ	0.000688019	0.00150813	0.00267529	0.00197192	0.0168334	0.748231	0.0400986	0.0364331	0.0934549	0.0106179	0.00303706	0.00514876	0.0109161	0.0283861
l	0.000316386	0.00183437	0.0165319	0.00300622	0.117904	0.0669067	0.407648	0.165818	0.113536	0.0491891	0.0319248	0.0178605	0.00025646	0.00726852
i	0.000669894	0.00164429	0.00533367	0.00576997	0.061067	0.16654	0.23091	0.206646	0.0988391	0.0779305	0.0295451	0.0148431	0.00980297	0.0904591
á	8.25596e-05	0.00215758	0.00576252	0.00180315	0.0190674	0.0238516	0.278199	0.201086	0.132726	0.171428	0.0869827	0.0458213	0.00362238	0.0274101
b	0.00123546	0.00359889	0.0144338	0.0274132	0.0252727	0.0605432	0.0864303	0.117701	0.0691048	0.119345	0.0917377	0.304848	0.0258697	0.0524665
h	0.000683715	0.000947294	0.00171403	0.00159239	0.007774	0.0127325	0.0243297	0.139415	0.418831	0.0621094	0.0532112	0.224295	0.0105246	0.0418397
i	0.000239264	0.000225055	0.0019609	0.00309948	0.0156283	0.0312447	0.0479824	0.176648	0.477839	0.0431511	0.0391191	0.108594	0.00270399	0.0515645
á	3.3873e-05	0.00020712	0.00217712	0.00235002	0.0178435	0.0387679	0.0470427	0.143927	0.227128	0.122664	0.105149	0.171972	0.0337895	0.0869484
b	0.000179156	0.0015447	0.00545096	0.00423637	0.00796469	0.00790861	0.0254115	0.0298512	0.0322202	0.150139	0.253016	0.407026	0.0254884	0.0495631
