 	il	brigue	l'	honneur	d'	être	invité	par	le	chef	</S>
w	0.943903	0.0145743	0.0292226	0.00612065	0.00348756	0.000660644	0.000169136	0.000386801	0.0012571	0.000204193	1.3851e-05
a	0.935342	0.00244841	0.0355017	0.0143381	0.00500283	0.00146696	0.000803987	0.00160486	0.00320042	0.000277029	1.39914e-05
l	0.121303	0.676329	0.0867773	0.0357607	0.0270456	0.0167135	0.00198571	0.00955302	0.0127154	0.000773138	0.0110434
á	0.0424483	0.144208	0.170033	0.112821	0.0943946	0.14205	0.0480726	0.0773212	0.0256512	0.00115109	0.141848
a	0.394429	0.0376692	0.315756	0.0739311	0.0316303	0.021355	0.0135588	0.0255327	0.0274868	0.00775453	0.0508973
y	0.00752365	0.923292	0.0186768	0.035993	0.00583233	0.00259954	0.000844953	0.000957718	0.000244024	0.0012469	0.00278935
é	0.00226407	0.941051	0.0191454	0.0298396	0.00382417	0.00114494	0.000291543	0.000227023	8.28732e-05	0.000202138	0.00192721
n	0.03669	0.641872	0.243981	0.0478714	0.0160556	0.00345901	0.00101131	0.00163764	0.00158635	0.00108524	0.00475099
g	0.0219564	0.654156	0.185151	0.0979606	0.0261436	0.00757263	0.00084967	0.00267436	0.000854792	0.000212035	0.00246865
á	0.0158862	0.750121	0.196532	0.0148449	0.0119648	0.00454072	0.000179409	0.00100883	0.000683573	0.000200561	0.00403796
á	0.0213615	0.0280379	0.635865	0.173418	0.0854319	0.0307638	0.0146012	0.00481889	0.00377461	0.000874837	0.00105192
b	0.00413768	0.0055956	0.256629	0.477626	0.150074	0.0530291	0.0293664	0.0110254	0.0106425	0.000521998	0.00135263
é	0.00110334	0.00202588	0.0451784	0.613521	0.116866	0.0593527	0.14918	0.00855921	0.000915466	0.00145699	0.00184048
a	0.00199777	0.000739626	0.0573451	0.201181	0.160321	0.232701	0.269624	0.0282028	0.00290208	0.0018912	0.0430947
w	0.00160761	0.00401314	0.037686	0.287008	0.34101	0.250107	0.0295834	0.0222945	0.0121477	0.0041931	0.0103493
a	0.00163773	0.00352987	0.0329303	0.167663	0.400504	0.320773	0.0100937	0.0386569	0.00722077	0.0036885	0.0133018
m	0.00165647	0.00343578	0.0438033	0.0677667	0.269741	0.483297	0.0278437	0.0282549	0.0198547	0.00620407	0.0481416
b	0.00619587	0.000381	0.0221654	0.0297017	0.102386	0.351612	0.109077	0.105037	0.0724833	0.00176299	0.199197
v	0.000527364	0.000268951	0.00208507	0.00929962	0.0169842	0.122232	0.821511	0.0126562	0.00445903	0.00300928	0.00696798
á	0.00202119	0.00509468	0.00629483	0.012886	0.0617149	0.215569	0.567908	0.0234975	0.005007	0.0233434	0.0766639
a	0.00167474	0.000489022	0.0147852	0.0140391	0.0708241	0.347674	0.317068	0.0815743	0.019341	0.0226498	0.109881
o	0.00137761	0.00240934	0.011084	0.00887973	0.0309623	0.0912983	0.0297538	0.439997	0.278053	0.0299793	0.0762059
k	0.000467077	0.00676111	0.00667353	0.0183861	0.0272851	0.0331087	0.0180795	0.100881	0.246929	0.483737	0.0576916
o	2.33422e-05	0.00053986	0.000241889	0.00267501	0.00617721	0.00602551	0.00300334	0.00503849	0.0213256	0.941711	0.0132384
n	3.06606e-05	0.000561751	0.000243791	0.00141801	0.00426451	0.00595533	0.0137356	0.00310845	0.00680749	0.953116	0.0107583
d	0.000189053	0.000706825	0.00026678	0.00151047	0.012757	0.0140567	0.00372593	0.0184345	0.0134409	0.82104	0.113872
z	0.000155912	0.000997911	0.000117123	0.000359028	0.00535782	0.00496456	0.000688653	0.00219743	0.00132313	0.939537	0.0443013
i	0.000130934	0.000971441	0.000160774	0.000276064	0.00555643	0.00476699	0.00126161	0.0024542	0.000964345	0.956366	0.0270908
</S>	0.0014351	0.0025538	0.00208522	0.00225646	0.0105022	0.0133399	0.00775975	0.0752291	0.0395119	0.171436	0.67389
