 	le	feu	est	en	train	de	brûler	dans	le	champ	</S>
m	0.646329	0.32434	0.022049	0.00443453	0.000673778	0.000402148	0.000247852	0.000235436	0.000452316	0.000818506	1.70058e-05
í	0.0604926	0.836793	0.036442	0.0153227	0.0148709	0.00790893	0.00711257	0.00677998	0.0107469	0.000166048	0.00336444
á	0.284259	0.650227	0.0414069	0.0100345	0.00969342	0.00065788	0.00238388	0.00031845	0.00033003	0.000223305	0.000465672
b	0.101114	0.330779	0.378877	0.126375	0.0358374	0.0125195	0.0028384	0.00229431	0.00175716	0.000188815	0.00741978
ó	0.0167362	0.0179017	0.156423	0.408154	0.228249	0.0582948	0.0304022	0.00939604	0.0419198	0.00034123	0.0321817
m	0.116413	0.165779	0.216789	0.185319	0.121815	0.124226	0.0110417	0.0207708	0.010902	0.00046003	0.0264847
í	0.203644	0.445308	0.100612	0.0235552	0.0114477	0.0909889	0.0440196	0.0323137	0.0358442	0.000321421	0.0119445
i	0.19085	0.305567	0.119486	0.0430449	0.0219424	0.103369	0.1937	0.0130165	0.00298867	0.000589688	0.0054461
l	0.0307246	0.02622	0.0566605	0.0249436	0.0200558	0.200966	0.553234	0.0559851	0.0100562	0.000414402	0.0207394
o	0.00208403	0.00179009	0.00779913	0.0114425	0.0182136	0.098061	0.763836	0.0807347	0.00286522	7.17961e-05	0.0131023
á	0.00878648	0.00438935	0.0241519	0.0320726	0.030019	0.0935394	0.752304	0.0420565	0.00104778	0.000651547	0.010982
s	0.0090976	0.00375202	0.0110678	0.0131701	0.00204464	0.392066	0.149063	0.292406	0.0958314	0.0216034	0.00989842
á	0.00786521	0.00169105	0.00271199	0.00239409	0.000642531	0.124912	0.252769	0.312598	0.151924	0.0363978	0.106094
n	0.0130376	0.00520994	0.00526789	0.00282562	0.00132804	0.0255242	0.0638	0.0584049	0.0540304	0.750847	0.0197244
g	0.00463626	0.00169968	0.00063559	0.00062472	9.30821e-05	0.0274447	0.0355459	0.0750678	0.0843506	0.713355	0.0565469
o	0.00476484	0.00770896	0.00194069	0.00268142	0.0010361	0.0294934	0.0514364	0.0420093	0.0214931	0.822057	0.0153792
n	0.000300949	0.000259148	0.000261394	0.000312115	0.000193191	0.00818673	0.0583427	0.0375984	0.0117212	0.853402	0.0294217
d	0.00436056	0.00309387	0.00445121	0.00292829	0.000790581	0.0292702	0.0347552	0.183685	0.145559	0.0318388	0.559267
a	0.00466469	0.00174253	0.000936132	0.00272286	0.00134704	0.0231153	0.03728	0.0325568	0.0413356	0.420909	0.43339
</S>	0.00147549	0.00227099	0.00499948	0.00257745	0.000134895	0.049228	0.0267366	0.171845	0.375054	0.0176042	0.348074
