 	la	porte	de	la	case	est	mal	ajustée	elle	baille	</S>
á	0.66001	0.244423	0.0305216	0.0165964	0.00585533	0.00892308	0.0120752	0.0172793	0.00319257	0.000379298	0.000744169
k	0.127721	0.806672	0.0314806	0.0218461	0.00119663	0.00338504	0.00180698	0.00266487	0.00128951	0.00161711	0.000320643
a	0.00656154	0.970066	0.00912891	0.00835753	0.000225491	0.00133021	0.00059473	0.000726875	0.000432655	0.00130183	0.0012739
n	0.00645085	0.937445	0.0209163	0.00973018	0.000271639	0.00193196	0.00197783	0.00195728	0.00109841	0.0147534	0.00346716
i	0.24544	0.593846	0.0680331	0.0221175	0.00591288	0.012314	0.00963802	0.00952317	0.00744765	0.00350639	0.0222206
e	0.199601	0.0416269	0.490495	0.0969844	0.0355608	0.0414636	0.0236313	0.0309176	0.0167777	0.00129416	0.0216477
k	0.0425282	0.0304263	0.22633	0.414709	0.0777285	0.0906198	0.034055	0.0203249	0.0189435	0.0095405	0.0347943
u	0.0361684	0.0856262	0.135956	0.350062	0.00460162	0.236711	0.0258092	0.0659223	0.0160537	0.0178609	0.025228
y	0.0152346	0.0864303	0.111747	0.457783	0.0147215	0.118241	0.0271947	0.0175931	0.00859215	0.0636219	0.0788403
á	0.0631412	0.0709753	0.0532498	0.470172	0.107798	0.103146	0.0466767	0.0246158	0.0244995	0.0198257	0.0159004
n	0.0157704	0.00266864	0.0714999	0.124449	0.287519	0.195993	0.165097	0.0952686	0.0284675	0.00423992	0.00902712
d	0.00198082	0.000366503	0.00917391	0.0314099	0.895835	0.0188177	0.0295931	0.00166498	0.00195499	0.000269462	0.00893382
é	0.000420892	0.000292271	0.00494238	0.0272733	0.897958	0.0328279	0.0170177	0.00317523	0.00229936	0.00156194	0.012231
e	0.00673241	0.0145868	0.15596	0.19445	0.0676749	0.253473	0.139817	0.0295701	0.0600394	0.0311015	0.046594
y	0.00453113	0.00431461	0.0600172	0.053473	0.0367209	0.228175	0.228608	0.247549	0.114596	0.00596645	0.0160494
é	0.0102466	0.00189704	0.0383011	0.0669999	0.0667888	0.289391	0.261552	0.134713	0.11528	0.00381645	0.0110132
o	0.00389468	0.00136253	0.0173917	0.0489326	0.0185621	0.15768	0.144504	0.37418	0.195983	0.017708	0.0197999
b	0.00464228	0.0307656	0.0158642	0.0216755	0.00157105	0.0684097	0.0418884	0.224194	0.0909773	0.45936	0.0406518
é	0.00188343	0.0213047	0.0304693	0.030379	0.00232965	0.0591055	0.0513951	0.570017	0.104316	0.0925477	0.0362533
y	0.000351187	0.00154765	0.00374839	0.0125148	0.00045794	0.0520607	0.0323027	0.349213	0.0683203	0.259796	0.219687
í	0.00185895	0.00423478	0.00752477	0.0272651	0.00273876	0.0496256	0.0336988	0.494665	0.209369	0.12973	0.0392888
a	0.000450352	0.000334643	0.00304676	0.00432392	0.00215596	0.0235671	0.0594653	0.359498	0.315231	0.123529	0.108398
y	0.0033177	0.00200179	0.0188455	0.0110472	0.00263636	0.0215363	0.0603998	0.149831	0.510601	0.0918971	0.127887
é	0.00500944	0.00194342	0.018293	0.017733	0.00280418	0.0310329	0.0277925	0.0769539	0.473662	0.238165	0.106611
e	0.00170637	0.000250501	0.00297869	0.00392101	0.00517249	0.0131361	0.0424458	0.0671263	0.30304	0.243213	0.31701
k	0.000765967	0.000843618	0.00389416	0.00286902	0.000127855	0.0050285	0.00739306	0.0312042	0.147914	0.41948	0.38048
ú	7.48292e-05	0.00159625	0.00135055	0.0016385	4.52862e-05	0.0034878	0.00120703	0.0453206	0.0417988	0.817235	0.086245
m	0.000328272	0.00020779	0.000242389	0.000982372	1.85949e-05	0.000466402	0.000644195	0.00255224	0.00347254	0.93169	0.0593952
á	0.00690564	0.000749822	0.00595716	0.0149716	0.0112822	0.0138959	0.0642037	0.0726709	0.219163	0.206351	0.38385
n	0.0054977	0.00194507	0.0107558	0.0261518	0.0314836	0.0177973	0.0721823	0.033616	0.212756	0.296987	0.290828
d	0.00481659	0.000658584	0.00419502	0.0178397	0.0403803	0.00919897	0.0364452	0.00603609	0.0791929	0.174838	0.626399
z	0.00435494	0.00187034	0.00413942	0.0133414	0.112697	0.00639356	0.0179751	0.00366728	0.0328453	0.427209	0.375506
ó	0.000134921	0.000124413	0.000370455	0.00199564	0.00237644	0.00145452	0.00381482	0.00130715	0.0173246	0.692524	0.278573
r	1.92091e-05	0.000106987	0.000112889	0.000893352	0.000216103	0.00105966	0.00467821	0.00115166	0.00180437	0.76832	0.221638
o	8.44069e-05	0.000297451	0.000264635	0.00135092	9.87846e-05	0.000689321	0.00302298	0.00107179	0.00361532	0.725142	0.264363
</S>	0.00295443	0.00193351	0.00335833	0.00722677	0.00198482	0.0041841	0.0180766	0.00325107	0.0222751	0.33119	0.603565
