 	j'	ai	des	démangeaisons	</S>
n	0.905804	0.0405085	0.0175166	0.0334527	0.0027181
g	0.996515	0.00229441	0.000495131	0.000606697	8.91498e-05
á	0.985923	0.0106858	0.00199547	0.0013154	8.04348e-05
n	0.145802	0.240237	0.234593	0.297406	0.0819611
d	0.459938	0.115597	0.0400232	0.0288939	0.355548
z	0.259753	0.309368	0.136742	0.0833125	0.210824
ó	0.0206909	0.0797356	0.0853761	0.760123	0.0540741
r	0.227883	0.181651	0.269301	0.251024	0.0701405
o	0.0254186	0.0945258	0.146948	0.528071	0.205036
y	0.0445293	0.247455	0.366395	0.1665	0.17512
e	0.0142089	0.0964487	0.188482	0.536558	0.164302
e	0.0245295	0.0670032	0.198811	0.421666	0.28799
k	0.00183923	0.129076	0.223669	0.179524	0.465893
y	0.000935673	0.129012	0.359636	0.192714	0.317702
á	0.000693973	0.0831636	0.32191	0.384294	0.209939
s	0.00252731	0.0285523	0.165325	0.534546	0.269049
u	0.000372036	0.0113776	0.0699832	0.801649	0.116618
ε	0.000440766	0.00221736	0.0107701	0.430775	0.555797
</S>	0.000110887	0.0042884	0.0342208	0.20858	0.752799
