 	apporte	moi	la	serviette	pour	que	je	puisse	m'	essuyer	</S>
y	0.730503	0.143299	0.0416715	0.0393514	0.0287295	0.00873637	0.00379287	0.001092	0.00244667	0.000306944	7.01186e-05
a	0.488704	0.459655	0.00539349	0.00431879	0.000812031	0.00162987	0.0232252	0.000726216	0.00532969	0.00950014	0.000705785
á	0.592409	0.307765	0.0268372	0.0254105	0.0054207	0.00974637	0.0188967	0.00415523	0.00431703	0.00448824	0.000553617
n	0.154401	0.345719	0.317143	0.0121577	0.0121871	0.0140689	0.0383134	0.0144079	0.0427344	0.0176503	0.0312178
g	0.0247937	0.779816	0.021767	0.000327454	0.00537351	0.00582378	0.118107	0.00655665	0.0150833	0.00723143	0.0151203
á	0.062359	0.637049	0.0829888	0.00599012	0.00726032	0.00603767	0.16003	0.00494908	0.00821446	0.0186976	0.00642414
l	0.0114272	0.0704219	0.483433	0.16856	0.146334	0.053782	0.00492327	0.0170089	0.0164665	0.00633666	0.0213068
o	0.0337567	0.115052	0.421772	0.164782	0.0546928	0.0331187	0.0201983	0.0370367	0.0404969	0.00771857	0.0713761
t	0.0344845	0.0225491	0.0945229	0.609145	0.0997641	0.0308606	0.012212	0.0413237	0.00878126	0.0131048	0.0332523
u	0.00243687	0.0004695	0.00730276	0.978739	0.00730839	0.00114753	0.000115784	0.000873633	5.97443e-05	8.30151e-05	0.00146378
t	0.00123222	0.00032024	0.00611279	0.964076	0.00910304	0.00111178	8.05319e-05	0.00118584	0.000130429	0.000684976	0.0159626
u	0.000964432	0.000226763	0.00130135	0.984244	0.00642262	0.00151584	0.000177493	0.000782192	4.70121e-05	4.11023e-05	0.00427723
b	0.000664434	0.00670897	0.133241	0.125743	0.605117	0.0905498	0.00994686	0.00713878	0.00337701	0.000725253	0.0167875
h	0.00289142	0.00135231	0.0415289	0.565465	0.238539	0.116145	0.0075764	0.0133881	0.000967159	0.00018009	0.011966
a	0.000800934	0.000778733	0.0408178	0.466063	0.343281	0.107791	0.00803656	0.00498219	0.00163036	0.00150919	0.0243091
b	0.000618083	0.00320384	0.0713785	0.0153251	0.507934	0.296462	0.0538444	0.0184541	0.00730845	0.00174865	0.0237227
a	0.00334421	0.00108987	0.0245678	0.0483731	0.232178	0.449383	0.0269759	0.177902	0.0110262	0.000665992	0.0244944
á	0.00171165	0.000810488	0.0185816	0.00811596	0.180795	0.34596	0.176222	0.132451	0.0257351	0.00771332	0.101903
í	0.00338894	0.00442429	0.0321539	0.00171252	0.0455757	0.255709	0.304892	0.152841	0.10911	0.0227819	0.06741
y	0.0185845	0.00517583	0.0921804	0.0101469	0.0233562	0.0558876	0.195277	0.294087	0.109101	0.130119	0.0660852
á	0.00581943	0.010429	0.038622	0.00238428	0.0176789	0.169076	0.345378	0.129024	0.198876	0.0394413	0.0432721
á	0.000709869	0.00178763	0.019	0.0071721	0.0425059	0.146827	0.217905	0.219864	0.104676	0.0521848	0.187368
l	0.000509473	0.000929194	0.00598404	0.00101152	0.0321999	0.208524	0.182135	0.327077	0.201644	0.02356	0.0164266
a	0.0019397	0.000397011	0.00652798	0.00435509	0.0198481	0.0933573	0.116048	0.333546	0.116264	0.111035	0.196681
n	0.000596531	0.0011135	0.00221414	0.00190098	0.0185468	0.0894695	0.152274	0.408882	0.143592	0.157058	0.0243529
d	0.000859752	0.00143921	0.000421314	4.61822e-05	0.00188373	0.0128356	0.805644	0.0272051	0.0423829	0.098792	0.00849022
z	0.000231653	0.00152926	0.000243914	0.000118739	0.000922867	0.0072579	0.629827	0.0269307	0.0465535	0.269595	0.0167893
ó	3.33553e-05	0.000182074	0.00017681	0.00194096	0.00276501	0.00613251	0.0926881	0.00808112	0.00540161	0.866691	0.0159076
r	2.17637e-05	0.000282671	0.00525033	0.00714806	0.0367383	0.0363528	0.0582618	0.0234264	0.0269176	0.461277	0.344324
o	7.27556e-05	0.000289029	0.0054678	0.0352341	0.0343159	0.0149827	0.0137859	0.0508203	0.019756	0.50631	0.318965
</S>	0.000238896	0.00186283	0.00827263	0.000818219	0.0328574	0.0481823	0.0635794	0.180003	0.165917	0.073396	0.424873
