 	il	a	payé	cinq	cabris	au	chef	pour	l'	adultère	</S>
w	0.919336	0.0502039	0.0077278	0.0145346	0.00132805	0.00381328	0.00185741	0.000287996	0.000616437	0.00027106	2.32186e-05
a	0.932516	0.0353573	0.000945374	0.00162866	0.00180785	0.00807858	0.000691092	0.000826238	0.00381848	0.0142869	4.3229e-05
á	0.0522546	0.890075	0.0421361	0.00135182	0.00569504	0.00469134	0.000214221	0.00125129	0.00175586	0.000433506	0.00014161
f	0.0104343	0.543539	0.398475	0.00624833	0.0148726	0.00506184	0.00324602	0.0034106	0.00477254	0.00213874	0.00780046
u	0.00259457	0.156173	0.736266	0.0390234	0.00905833	0.00907655	0.00926056	0.00732283	0.00811895	0.00163258	0.0214723
r	0.00163367	0.0261426	0.821269	0.128907	0.0054637	0.00581071	0.00651387	0.00177751	0.000964344	0.000347227	0.00117056
u	0.00912944	0.0715072	0.808863	0.0856868	0.00245926	0.00665444	0.000685084	0.00304408	0.00746463	0.000524861	0.00398126
o	0.0237869	0.129944	0.160726	0.570763	0.0401453	0.0285433	0.00372063	0.00823856	0.0116772	0.0126566	0.00979918
k	0.00260423	0.0125813	0.235031	0.517541	0.182978	0.0150118	0.0242616	0.00398442	0.0022617	0.0013202	0.00242393
o	0.000600725	0.00569046	0.17709	0.551214	0.134845	0.0153213	0.0762238	0.0122749	0.00376679	0.00530721	0.0176656
n	0.000202204	0.00406217	0.075806	0.246948	0.492809	0.0178975	0.0816042	0.0195754	0.0048555	0.00370901	0.0525312
d	0.00247447	0.010108	0.12707	0.442683	0.109567	0.0268231	0.100117	0.0306314	0.0108932	0.00321582	0.136418
z	0.034314	0.0400898	0.112977	0.247163	0.0542286	0.00778592	0.0693362	0.0111322	0.00722758	0.00390145	0.411844
i	0.0156971	0.0188285	0.142872	0.229756	0.0368918	0.00948285	0.0753295	0.0252377	0.00941653	0.00853759	0.42795
a	0.0284216	0.047967	0.0415841	0.31025	0.197114	0.255095	0.0207926	0.0287666	0.013163	0.00209655	0.05475
m	0.0052395	0.0343259	0.0521458	0.10612	0.18222	0.35253	0.185535	0.0344708	0.0128661	0.00737076	0.0271762
b	0.000946618	0.00699099	0.00362653	0.00856118	0.477137	0.282669	0.0474819	0.081521	0.0338811	0.00755849	0.0496262
ó	2.38369e-05	0.000116227	0.000571919	0.0039903	0.872989	0.0357007	0.0572053	0.0172721	0.00399349	0.00245901	0.00567852
s	0.000118831	0.000555177	0.00223727	0.00120196	0.892126	0.0249677	0.0352588	0.00937488	0.00234082	0.00409577	0.0277225
i	0.00136108	0.00243676	0.0141998	0.0742826	0.268812	0.108702	0.277059	0.0438386	0.0182837	0.0103344	0.18069
á	0.00356135	0.00960519	0.00511801	0.021832	0.0476369	0.569368	0.0664447	0.185989	0.0518093	0.00844814	0.030187
t	0.00374038	0.0240363	0.0553888	0.0162574	0.036711	0.151223	0.212567	0.284804	0.105273	0.0434058	0.0665936
á	0.000133707	0.00274789	0.00940532	0.0390772	0.00380901	0.0796124	0.521912	0.146401	0.054151	0.0740164	0.0687346
á	0.000219283	0.00106318	0.0121978	0.0331585	0.00432237	0.123604	0.424928	0.144272	0.045121	0.0325088	0.178605
n	0.00351577	0.00186758	0.00307321	0.00521459	0.00600181	0.0647919	0.0405008	0.479427	0.282497	0.0635148	0.0495961
i	0.0436219	0.00353687	0.00113905	0.00504102	0.010787	0.0483043	0.0300827	0.266586	0.301563	0.0701822	0.219156
m	0.000471497	0.000509842	0.000326785	0.00247085	0.00209684	0.0458347	0.0212539	0.422054	0.281181	0.115427	0.108375
ó	0.000408285	0.00036168	0.000883919	0.000880775	0.0154242	0.0245756	0.00867634	0.26914	0.205684	0.0299684	0.443997
b	0.000260701	0.000545238	0.00053255	0.00201078	0.00339008	0.0197717	0.0285814	0.14402	0.13608	0.587284	0.0775226
ώ	0.000797821	0.00138309	0.000338123	0.00137094	0.00493549	0.0226127	0.0173803	0.130067	0.134919	0.633492	0.052704
s	3.42679e-05	3.12854e-05	3.62951e-05	0.000454556	0.000401037	0.0057042	0.0530626	0.0757549	0.0385073	0.797454	0.0285595
i	2.01306e-05	4.49189e-05	0.000829423	0.00146057	0.000960615	0.00440863	0.231318	0.152507	0.0383086	0.261622	0.30852
</S>	6.68885e-05	5.4477e-05	0.000229911	0.000577673	0.00027286	0.00855257	0.00255202	0.151796	0.302436	0.05959	0.473872
