 	il	travaille	avec	beaucoup	d'	adresse	</S>
w	0.956245	0.0149157	0.0129445	0.00650216	0.00830749	0.00086229	0.000222674
a	0.841263	0.0219172	0.0410348	0.0339834	0.0577107	0.00394044	0.000150192
l	0.541226	0.21035	0.113364	0.0650694	0.0532041	0.00803744	0.00874887
á	0.0936741	0.0882292	0.155534	0.147676	0.0723588	0.029743	0.412785
a	0.235065	0.207085	0.232216	0.11879	0.087913	0.0497713	0.0691601
s	0.0146115	0.901627	0.0479454	0.0105295	0.00264371	0.00493007	0.0177125
á	0.00593312	0.946891	0.0309406	0.00229559	0.00075658	0.0010889	0.012094
l	0.0909484	0.461832	0.249821	0.0336945	0.017142	0.00424274	0.142319
á	0.0519971	0.396253	0.233234	0.101557	0.0731868	0.00476216	0.13901
l	0.110926	0.119351	0.337131	0.16259	0.200317	0.0445122	0.0251726
a	0.024435	0.165148	0.348975	0.139061	0.0599007	0.0239375	0.238542
n	0.0479003	0.128031	0.419703	0.195273	0.0771345	0.083872	0.0480863
d	0.0120122	0.0685347	0.258037	0.243822	0.210226	0.0955634	0.111805
z	0.00726591	0.037294	0.17118	0.232968	0.195637	0.196639	0.159017
έ	0.0031142	0.0140118	0.106016	0.191185	0.130509	0.342347	0.212818
l	0.00222302	0.00980094	0.0738355	0.178578	0.230904	0.197348	0.307311
έ	0.00121055	0.00843587	0.0666279	0.28859	0.237338	0.155619	0.242179
n	0.00338025	0.0142463	0.0746869	0.206788	0.255307	0.117077	0.328514
d	0.00657901	0.0162043	0.0616712	0.216352	0.247797	0.103234	0.348163
z	0.0011554	0.00255593	0.027274	0.171884	0.307909	0.178976	0.310245
í	0.000231194	0.00144715	0.0209547	0.1362	0.169505	0.244945	0.426718
í	0.000207338	0.00380788	0.0325091	0.114116	0.161739	0.0764749	0.611145
</S>	0.00210762	0.00365204	0.0246069	0.144066	0.279786	0.0772698	0.468512
