 	il	a	des	démangeaisons	</S>
w	0.875652	0.0758548	0.0330749	0.0121621	0.00325649
a	0.861362	0.0542087	0.0449654	0.0363643	0.00309976
n	0.169031	0.549415	0.230066	0.0211	0.0303881
d	0.0702311	0.183736	0.0598783	0.0409855	0.645169
z	0.169285	0.472882	0.117076	0.172152	0.0686043
ó	0.0401212	0.156363	0.0800455	0.617281	0.106189
r	0.0939918	0.0661927	0.157699	0.362144	0.319973
o	0.0367889	0.0557064	0.112287	0.718511	0.0767068
y	0.0780021	0.178549	0.393781	0.167268	0.182401
é	0.140175	0.327234	0.358688	0.113424	0.0604785
e	0.186121	0.120136	0.375677	0.217155	0.100911
k	0.00344324	0.158976	0.36212	0.215335	0.260126
y	0.00131693	0.17106	0.33834	0.0830861	0.406198
á	0.00528751	0.246807	0.298198	0.0885921	0.361116
s	0.00539346	0.0794305	0.172166	0.168385	0.574625
u	0.00144326	0.0213739	0.0870174	0.633028	0.257137
ε	0.000312638	0.00245323	0.0259343	0.421519	0.549781
</S>	0.00192118	0.0105829	0.0880505	0.260237	0.639209
