 	quand	un	mouton	donne	des	coups	de	cornes	aux	gens	dans	le	village	il	faut	le	tuer	</S>
e	0.531285	0.3279	0.0664627	0.0227463	0.00898239	0.00594967	0.00889517	0.00576426	0.00603338	0.00172102	0.0026171	0.00592509	0.00179017	0.00225669	0.00042583	0.000778065	0.000413584	5.34047e-05
n	0.270938	0.142962	0.512955	0.0128352	0.0100866	0.0086922	0.00234854	0.00748345	0.0024538	0.000619212	0.00534354	0.00468945	0.00331569	0.0011864	0.0028332	0.0024147	0.00497837	0.00386492
d	0.0640332	0.26161	0.565418	0.00308649	0.0207532	0.0096672	0.0169604	0.0269699	0.0202457	0.00111151	0.00299455	0.00238305	0.000107728	0.000890619	0.000857441	0.00120488	3.26828e-05	0.0016735
ω	0.0588101	0.302941	0.600565	0.00149098	0.00478676	0.00264463	0.00220984	0.00432677	0.00885984	0.00149993	0.00186998	0.000825198	0.000423739	0.00126603	0.00183717	0.000533845	0.000207382	0.00490219
m	0.0346064	0.193634	0.651931	0.00337075	0.0124232	0.0176033	0.0114145	0.0390317	0.0136575	0.00123364	0.00194356	0.00221285	0.0001631	0.000914434	0.00130121	0.00318699	0.000522589	0.0108495
b	0.114118	0.139239	0.476537	0.111312	0.023791	0.01213	0.0361512	0.00694695	0.0210744	0.00213947	0.0139221	0.00864769	0.000366545	0.00809132	0.00306076	0.00233143	0.000963332	0.0191787
ω	0.120317	0.0857916	0.605174	0.0172214	0.012215	0.0133743	0.0326963	0.0681084	0.016705	0.00870995	0.000962344	0.00137224	1.75503e-05	0.000651223	0.000165396	0.000911693	0.00108223	0.0145249
w	0.1373	0.169222	0.164737	0.296474	0.0681586	0.0279976	0.0570039	0.0140087	0.0205253	0.00698901	0.00696957	0.00859209	0.000433824	0.006515	0.0013618	0.00416488	0.000855446	0.00869135
á	0.124766	0.0956714	0.375902	0.0659063	0.0161679	0.0249315	0.0219984	0.00346187	0.0276502	0.00482419	0.0171795	0.0153413	0.00301394	0.0468545	0.0430854	0.00965706	0.00315839	0.100431
á	0.0449831	0.0381928	0.00363256	0.248537	0.122713	0.0754009	0.0510136	0.0559077	0.0746714	0.0736194	0.0227409	0.0172879	0.0299227	0.0576153	0.043888	0.00788077	0.00345008	0.0285432
y	0.0450587	0.0141508	0.00374036	0.153406	0.291207	0.093998	0.110391	0.100901	0.0837897	0.00800798	0.0262243	0.0189843	0.00287439	0.0100242	0.00908211	0.0109341	0.000427751	0.0167977
é	0.0281059	0.0262251	0.00540622	0.123042	0.282145	0.0739206	0.176421	0.0894567	0.135969	0.000614753	0.0341163	0.00677854	0.00195387	0.00369772	0.00317932	0.00267152	9.35193e-05	0.00620282
e	0.01175	0.00908726	0.00213912	0.106191	0.30048	0.119732	0.216655	0.0958577	0.0719109	0.00152321	0.0197752	0.00950959	0.00300308	0.00609885	0.0043647	0.00449918	0.000136263	0.0172867
b	0.0246002	0.00584109	0.00417612	0.0495823	0.215442	0.144712	0.119295	0.190138	0.141489	0.00484598	0.0436403	0.0122626	0.0155103	0.00362555	0.00674429	0.00430093	0.00280849	0.0109859
έ	0.00900889	0.00509324	0.0161373	0.0234928	0.104444	0.253941	0.0403712	0.192892	0.147987	0.0149232	0.09011	0.0211733	0.00885435	0.00894427	0.0239319	0.00736922	0.0117102	0.0196167
r	0.00281951	0.00274466	0.00841199	0.0562901	0.0827607	0.109419	0.0704402	0.136718	0.195314	0.0195776	0.061741	0.0346447	0.00428453	0.0218966	0.0179677	0.0247774	0.00180142	0.148391
έ	0.0123688	0.0302371	0.0318227	0.0864774	0.126114	0.099037	0.072056	0.0503148	0.153073	0.00582522	0.0533246	0.0466897	0.00705178	0.0409656	0.0318147	0.0135419	0.000828664	0.138457
b	0.00224938	0.00373302	0.000374399	0.0350251	0.0939745	0.0300738	0.147403	0.104558	0.361653	0.0975607	0.0514247	0.0304376	0.00327685	0.0161659	0.00409578	0.00869119	0.000282726	0.00902018
a	0.00217321	0.00250604	0.00038201	0.0103182	0.0254265	0.0352537	0.0167554	0.127423	0.201143	0.491805	0.0438346	0.0183203	0.00212383	0.0114381	0.00538107	0.00228477	0.000911804	0.0025182
r	0.000327662	0.000612377	2.91402e-05	0.00132991	0.00903446	0.0137019	0.0110488	0.104843	0.128106	0.711229	0.00674003	0.00334587	0.000953782	0.00397522	0.0019387	0.000525405	0.00035691	0.00190199
e	0.00233328	0.00667548	0.00249969	0.00242184	0.0461686	0.014174	0.0631831	0.363933	0.376426	0.019092	0.0201793	0.013719	0.000134576	0.00697096	0.00353696	0.00233012	7.37794e-05	0.0561487
i	0.000772645	0.00135157	0.000448503	0.00992658	0.0398031	0.0227917	0.0734968	0.0452953	0.457944	0.0762753	0.160031	0.0617843	0.00110334	0.0226423	0.00804363	0.0110318	7.76357e-05	0.0071805
b	0.0296689	0.0120794	0.0131189	0.0174416	0.0216238	0.0152217	0.023218	0.0217528	0.0582344	0.0330628	0.299593	0.200066	0.0866152	0.0436987	0.0360753	0.0243626	0.00940414	0.0547629
v	0.00275912	0.00355607	0.00188469	0.00338923	0.0230224	0.0457318	0.0227176	0.140461	0.0632981	0.429544	0.102592	0.0667358	0.0184644	0.0162935	0.0217312	0.0100212	0.0238204	0.00397714
u	0.00240181	0.00109934	0.00132466	0.00339326	0.0169606	0.0266034	0.0231226	0.199262	0.129687	0.208437	0.180307	0.124953	0.00399317	0.025613	0.0139794	0.0137366	0.00526502	0.0198613
