 	cette	femme	a	mis	de	l'	ordre	dans	sa	maison	</S>
o	0.94952	0.0357186	0.00426325	0.00211086	0.00235362	0.00104412	0.000402942	0.00245303	0.00201323	5.2563e-05	6.81991e-05
y	0.184991	0.789598	0.00831378	0.000531013	0.000398304	0.000725449	0.00276369	0.00390502	0.00459902	0.00126779	0.0029068
ú	0.841249	0.146981	0.000675353	0.000205767	0.000210454	0.000190585	0.00512007	0.00100844	0.000265557	0.00364498	0.000448205
r	0.903374	0.027295	0.000433492	0.00013072	0.00093509	0.00235294	0.0190763	0.0126728	0.00353017	0.00686587	0.0233333
u	0.719966	0.0627373	0.0628632	0.00505071	0.0181908	0.0230395	0.0271869	0.0126985	0.0209758	0.0267959	0.0204953
w	0.171305	0.131395	0.545601	0.0697774	0.01656	0.0119746	0.00522565	0.00920886	0.00603396	0.00277521	0.0301434
ó	0.143522	0.0240607	0.526288	0.117025	0.0622436	0.0337596	0.00606883	0.016415	0.00926642	0.00310817	0.0582424
á	0.00974343	0.000806597	0.796481	0.0774079	0.0512359	0.0253199	0.00321975	0.00904458	0.0040897	0.00142915	0.0212221
k	0.000455156	0.000801736	0.0254634	0.803092	0.0555059	0.0376808	0.0236053	0.025991	0.00576757	0.000682522	0.020955
a	0.00193773	6.43716e-05	0.0185287	0.890298	0.0528245	0.0237609	0.0031515	0.00342545	0.00124388	6.3439e-05	0.00470177
n	0.00504431	0.000123446	0.0102407	0.905443	0.0323491	0.0134045	0.0230451	0.00731819	0.000372722	8.59506e-05	0.00257322
i	0.0237029	0.000430361	0.0425529	0.440869	0.225203	0.112438	0.049738	0.0330036	0.0208073	0.0297705	0.021484
o	0.00497021	0.00027031	0.069195	0.092474	0.321424	0.304676	0.10907	0.0670219	0.013129	0.00921072	0.00855879
y	0.000575618	0.00019114	0.000358642	0.0109491	0.0352836	0.0825497	0.665107	0.116016	0.0334027	0.0505233	0.00504315
e	0.00167765	0.000217179	0.0003379	0.00321349	0.0178893	0.0738012	0.787308	0.0608535	0.0186754	0.0214326	0.0145937
s	0.00120059	4.52465e-05	0.000759012	0.00197471	0.0356934	0.113002	0.615838	0.109789	0.0239506	0.0115674	0.0861797
i	0.000946255	6.16253e-06	9.9763e-05	0.000902476	0.0142446	0.0484694	0.814825	0.0602824	0.0268092	0.0189933	0.0144214
s	0.000682148	4.36312e-06	0.00331683	0.010071	0.0409405	0.0953394	0.11399	0.61009	0.0822273	0.0109311	0.0324073
á	0.00022903	1.82941e-06	5.23854e-05	0.000738141	0.00415496	0.0124644	0.179214	0.0875852	0.184701	0.307998	0.222862
n	0.00258717	3.36334e-05	0.000359957	8.55693e-05	0.00149533	0.00581072	0.0498523	0.0573928	0.182474	0.675678	0.0242297
d	5.74924e-05	1.01937e-06	5.9332e-06	8.44782e-06	7.53878e-05	0.000212714	0.00638981	0.00723255	0.0363103	0.946884	0.00282251
é	8.05227e-05	7.36877e-05	1.05114e-05	6.25031e-06	2.99368e-05	0.000104052	0.00233667	0.001215	0.00810539	0.984911	0.00312735
e	1.83464e-05	1.56152e-05	4.76486e-05	0.000118695	0.00127192	0.006111	0.100554	0.0308755	0.0511389	0.537003	0.272845
y	0.000620941	1.68419e-05	0.00208699	0.00154356	0.00797589	0.0272913	0.0230101	0.190688	0.238955	0.0942351	0.413577
á	0.000939932	2.37643e-05	0.0020731	0.00212314	0.0125908	0.0255405	0.0397483	0.169671	0.413324	0.142986	0.190979
w	0.00065094	3.63703e-05	0.001988	0.000747682	0.00587377	0.0096744	0.0426556	0.15746	0.420027	0.15253	0.208356
a	0.00121959	2.01684e-05	0.000469712	0.00605278	0.00604627	0.0130217	0.0169816	0.173535	0.426184	0.080697	0.275772
</S>	7.09028e-05	6.2889e-06	0.000276287	0.000309491	0.00115645	0.00331526	0.00493032	0.0358886	0.0893108	0.0700295	0.794706
