 	cet	homme	a	augmenté	le	prix	de	sa	maison	</S>
m	0.680107	0.28611	0.00846391	0.00468069	0.00657396	0.00541925	0.00318461	0.00514196	0.000210621	0.000107626
o	0.942813	0.0377188	0.00385115	0.00512845	0.0011353	0.00323925	0.000655945	0.00100047	0.00105032	0.00340712
r	0.688411	0.244235	0.00451229	0.047066	0.0044025	0.00813727	0.00175168	0.000394723	9.15745e-05	0.000998584
o	0.870263	0.0905703	0.00140012	0.00121671	0.000750311	0.00366809	0.00102552	0.00222927	0.0140942	0.0147824
w	0.59374	0.346214	0.0449251	0.00674473	0.000952964	0.00105011	0.00086346	0.000329281	0.000257994	0.00492197
ó	0.325908	0.188049	0.222357	0.0441875	0.0931784	0.0376775	0.0512509	0.0120758	0.00101352	0.0243028
á	0.0400465	0.0328884	0.756178	0.01825	0.0262309	0.00559585	0.0126913	0.00790655	0.000648881	0.0995634
m	0.00102954	0.0071361	0.20873	0.565016	0.11908	0.0295395	0.0206001	0.00449686	0.00148964	0.0428829
i	0.00311631	0.0226861	0.40832	0.30879	0.185292	0.0260972	0.0243862	0.00795066	0.000311237	0.0130492
l	0.000747688	0.0025106	0.0307206	0.79006	0.121398	0.0358558	0.00869198	0.00228579	0.000664521	0.00706486
é	0.000154461	0.00188672	0.00645675	0.817967	0.105123	0.0414449	0.007218	0.00204118	0.000764314	0.0169434
é	0.000588174	0.00491304	0.081836	0.312672	0.462761	0.0725814	0.0301327	0.0100188	0.000712945	0.0237843
s	0.00174959	0.00205049	0.040192	0.0812393	0.439081	0.207662	0.125125	0.078839	0.00851963	0.0155427
á	0.000411009	0.000693648	0.00284024	0.128747	0.301478	0.225916	0.116103	0.119268	0.0376476	0.0668963
n	0.00176404	0.00247913	0.0128207	0.0265306	0.148433	0.336615	0.187735	0.16673	0.106123	0.0107701
d	0.000455033	0.000327983	0.000217959	0.0551353	0.0234679	0.176744	0.0283021	0.0332723	0.670541	0.0115367
é	0.00120508	0.000218896	0.000416368	0.0203091	0.0116418	0.100089	0.0195339	0.0260546	0.796609	0.0239225
e	0.000857364	0.00105139	0.00569535	0.0356164	0.0962373	0.289174	0.225184	0.0989455	0.0667978	0.180441
y	0.00273171	0.0011876	0.00750459	0.00571943	0.0620501	0.0799779	0.357759	0.274654	0.0427826	0.165633
á	0.024353	0.00829004	0.00978115	0.00959617	0.0631862	0.119499	0.179221	0.359427	0.132896	0.0937508
w	0.00121799	0.000563168	0.00783094	0.00527018	0.0368667	0.0786058	0.0695883	0.579905	0.192135	0.0280172
a	0.000381308	0.000541945	0.00191967	0.00980588	0.0413839	0.12025	0.187549	0.381593	0.174921	0.0816543
o	0.000187246	0.000159313	0.00201737	0.00482841	0.0232638	0.0439727	0.208221	0.303115	0.132592	0.281643
m	0.000272411	0.00104075	0.00814088	0.00803586	0.0694642	0.109372	0.251982	0.11792	0.023977	0.409795
b	0.00321393	0.0127523	0.0293758	0.014099	0.0749895	0.111402	0.206844	0.161994	0.00476261	0.380567
v	0.00357884	0.00746862	0.00148114	0.0257656	0.0531436	0.280793	0.366847	0.115856	0.0131093	0.131956
ú	0.00737344	0.00415302	0.000831567	0.018914	0.0507084	0.247148	0.349502	0.123257	0.0109449	0.187167
n	0.00871643	0.00121458	0.00588306	0.0187405	0.0840292	0.1106	0.215175	0.0738742	0.00575177	0.476015
u	0.00129981	0.000465585	0.000963578	0.0218565	0.0412924	0.289609	0.205599	0.194876	0.0497003	0.194338
</S>	0.000542527	0.000404524	0.00298695	0.00404095	0.0218097	0.0405905	0.132435	0.269991	0.0851875	0.442011
