 	le	dépeceur	est	en	train	d'	aiguiser	son	couteau	</S>
o	0.737435	0.218364	0.0301736	0.00926797	0.0017269	0.00152013	0.0002791	0.00118944	4.08956e-05	2.77875e-06
k	0.0180966	0.969795	0.00841212	0.00200125	0.0011097	4.88682e-05	7.81262e-05	0.000127916	2.45897e-05	0.00030564
y	0.000443756	0.998927	0.000302664	6.56763e-05	3.54481e-06	1.66319e-05	8.02793e-05	2.68149e-05	1.3945e-05	0.000119244
έ	0.00120287	0.992617	0.00225138	0.00225066	0.000483384	0.000278411	0.000718897	6.68364e-05	0.000101729	2.84152e-05
s	0.0586477	0.860369	0.0596497	0.00976779	0.000343087	0.00204253	0.0011858	0.00205474	0.00017381	0.00576557
i	0.122204	0.79019	0.0530351	0.00799718	0.000219496	0.00389496	0.00505038	0.00453723	0.000221631	0.01265
n	0.236687	0.0863767	0.481092	0.0858203	0.00381289	0.0161815	0.0153262	0.0171617	0.00146418	0.0560775
y	0.326127	0.0187195	0.251773	0.203685	0.00892827	0.0188607	0.02859	0.0274749	0.000323579	0.115518
a	0.142933	0.0338553	0.507246	0.135515	0.00390691	0.0219867	0.138842	0.00997606	0.000231353	0.00550786
m	0.055501	0.0909753	0.300727	0.428524	0.0553058	0.0114082	0.0391473	0.00645951	0.000158177	0.0117939
a	0.552096	0.135287	0.169787	0.0375905	0.00982754	0.0370812	0.034304	0.0125865	0.000310586	0.0111293
b	0.0725386	0.0196359	0.13441	0.238339	0.0259635	0.239897	0.136528	0.0665687	0.011084	0.0550362
ó	0.170118	0.0193854	0.110493	0.0685726	0.00683707	0.210305	0.135829	0.167515	0.0121655	0.0987795
l	0.0774167	0.00918372	0.113765	0.233534	0.0117117	0.127314	0.101078	0.294578	0.00877904	0.0226397
á	0.0302894	0.00416771	0.0167978	0.00676134	0.00118162	0.136975	0.122345	0.0640893	0.0205949	0.596798
a	0.0330134	0.00203354	0.041817	0.011833	0.0010489	0.349911	0.300442	0.179351	0.0407443	0.0398052
p	0.0212659	0.182576	0.00553236	0.00272043	0.00143884	0.146899	0.548059	0.026678	0.0231624	0.0416683
y	0.00164312	0.14987	0.00545432	0.0033539	0.000710527	0.145605	0.548521	0.024277	0.0136668	0.106898
é	0.0115649	0.11385	0.0202906	0.00683634	0.000464214	0.177133	0.574558	0.0323208	0.0148646	0.0481177
r	0.00146572	0.00422122	0.00534887	0.00305328	0.000185452	0.189491	0.528122	0.171542	0.0159813	0.08059
á	0.00291322	0.0038994	0.0116019	0.00442115	0.000113507	0.338164	0.420628	0.181933	0.00709999	0.0292255
i	0.00207892	0.00125442	0.00427437	0.00216997	0.000308925	0.108734	0.244422	0.565944	0.0441895	0.0266236
b	0.00240275	0.00406139	0.00207769	0.000512635	0.000204501	0.0394236	0.130743	0.0627881	0.703424	0.0543627
á	0.000381207	0.000705569	0.00114726	0.000829722	0.000365273	0.00253015	0.00198376	0.00805441	0.982046	0.00195644
á	0.000458237	0.00161348	0.000289472	0.0013395	0.00418048	0.0161381	0.0174532	0.0248446	0.87184	0.0618429
</S>	0.00269106	0.000881416	0.00471723	0.002592	0.000357454	0.0160423	0.0297811	0.169975	0.176735	0.596228
