 	repartons	en	campagne	il	ya	trop	de	souffrance	à	brazaville	</S>
l	0.618764	0.258311	0.0912102	0.0108206	0.0030159	0.00457273	0.00539201	0.00176596	0.00304878	0.00272839	0.000370171
é	0.417584	0.253221	0.054241	0.0878481	0.0617922	0.00558148	0.0116623	0.00248016	0.089074	0.00973774	0.00677767
b	0.663634	0.115699	0.0266772	0.0444805	0.0325018	0.0187195	0.0252285	0.0129599	0.0122309	0.00788407	0.0399845
v	0.681839	0.0714507	0.211372	0.00536694	0.00473512	0.00346469	0.00514173	0.00881928	0.000614302	0.000800929	0.0063946
ú	0.643162	0.148301	0.184401	0.00480356	0.00374327	0.00244669	0.00201879	0.00867909	0.000275687	0.000272871	0.00189524
r	0.664502	0.184458	0.0846844	0.00424646	0.0478861	0.00124588	0.00107669	0.000784123	0.000577305	0.00755321	0.00298608
a	0.522348	0.180661	0.0314307	0.0606162	0.0413907	0.0292572	0.0186849	0.0103524	0.00742897	0.0108035	0.0870268
m	0.133347	0.462506	0.131807	0.140266	0.017042	0.0306297	0.0229917	0.00979332	0.0107005	0.000280258	0.0406365
b	0.0259814	0.0875879	0.0320011	0.285508	0.37506	0.11976	0.0352935	0.00681173	0.00828942	0.000623566	0.0230832
ó	0.101737	0.185587	0.145057	0.182533	0.307571	0.0491523	0.0157078	0.00395249	0.00150762	0.000267799	0.00692639
a	0.0246051	0.173356	0.416994	0.107476	0.143719	0.0606632	0.0355882	0.0193093	0.00261655	4.963e-05	0.0156223
n	0.0204117	0.133935	0.163671	0.285546	0.0594885	0.178246	0.0813439	0.0363222	0.0221078	0.000722117	0.0182062
g	0.0176798	0.0322554	0.0100043	0.233561	0.382661	0.0886521	0.0284074	0.00524875	0.0264691	0.0248323	0.15023
y	0.00376208	0.00765456	0.00960286	0.0293026	0.895309	0.00985296	0.00386325	0.00232529	0.00133031	0.0338719	0.00312471
ε	0.00427603	0.00895351	0.00663851	0.147356	0.633698	0.0927393	0.0217522	0.0111538	0.021645	0.0220718	0.0297167
l	0.0617521	0.0575555	0.0534296	0.103577	0.0588046	0.141989	0.0752481	0.0305484	0.168753	0.0535297	0.194813
έ	0.0324831	0.0617259	0.135068	0.135162	0.105956	0.182696	0.126364	0.041943	0.0308758	0.00665171	0.141075
w	0.00164987	0.0180411	0.0158565	0.16652	0.0117698	0.281342	0.282964	0.0690434	0.125971	0.00664732	0.0201947
á	0.00212465	0.0194034	0.0266274	0.130478	0.0353828	0.225008	0.301794	0.195732	0.0299171	0.000716947	0.0328168
r	0.00287008	0.011224	0.00854322	0.0628855	0.00802854	0.117754	0.272834	0.431875	0.0241138	0.00928255	0.050589
é	0.00340225	0.00859834	0.00653184	0.145738	0.0778043	0.2213	0.20747	0.117737	0.0363597	0.0488327	0.126226
p	0.000430278	0.00551167	0.0102949	0.0414394	0.00387741	0.146553	0.321569	0.215019	0.200149	0.0119809	0.0431758
á	0.00267552	0.00487298	0.00891117	0.0118136	0.00211781	0.057793	0.156583	0.668284	0.0618878	0.00583666	0.0192239
s	0.00248187	0.00521564	0.00625454	0.00673734	0.00178752	0.0165996	0.0782413	0.744605	0.0522063	0.0129114	0.0729595
i	0.000530884	0.000566249	0.00119	0.0010871	0.000231087	0.00563513	0.034233	0.834608	0.0616902	0.0221586	0.0380699
</S>	0.000383477	0.00214773	0.00326964	0.00691556	0.00125057	0.0226765	0.0800822	0.232908	0.338272	0.110367	0.201727
