 	l'	homme	partit	le	fusil	en	bandoulière	</S>
m	0.951207	0.0482333	0.000227306	7.66832e-05	3.53079e-05	0.000200455	2.08098e-06	1.74405e-05
o	0.754562	0.203313	0.014041	0.005652	0.00739923	0.0109372	0.000188142	0.00390679
r	0.323355	0.675349	0.000369596	0.000123779	0.000185266	0.000262621	3.16929e-05	0.000322965
o	0.920512	0.063077	0.00155773	0.00107699	0.000734044	0.000646305	0.0048993	0.00749638
a	0.86216	0.0888564	0.0141885	0.00711666	0.000741422	0.00102502	0.000366665	0.0255457
d	0.0467752	0.0933929	0.39688	0.317985	0.0682339	0.0559149	0.0102189	0.0105985
z	0.0142073	0.0289654	0.274256	0.356283	0.0282559	0.0169369	0.0197672	0.261328
w	0.148997	0.0224415	0.397869	0.129835	0.0642128	0.0142153	0.1684	0.0540288
é	0.0197081	0.00320137	0.277453	0.33968	0.134066	0.0885405	0.0785854	0.0587655
l	0.017648	0.00247883	0.266814	0.429212	0.0570015	0.0978393	0.0421134	0.0868933
a	0.00362928	0.00142959	0.491309	0.220247	0.0594841	0.032315	0.0153355	0.176251
ω	0.0115522	0.0043193	0.416244	0.169618	0.152667	0.0522352	0.0944034	0.0989609
t	0.00286343	0.0144433	0.289032	0.0818883	0.387239	0.0615081	0.142963	0.0200635
á	0.000176255	0.00477991	0.221547	0.0868537	0.524702	0.0573988	0.0556522	0.0488906
m	0.000702091	0.00403349	0.242557	0.104495	0.28209	0.0929613	0.140536	0.132626
ó	0.00355678	0.00107977	0.0271997	0.0378404	0.225126	0.550412	0.0168608	0.137925
e	0.00902169	0.00170731	0.0186632	0.0341886	0.0417192	0.170015	0.49176	0.232925
t	0.00176917	0.00423402	0.0365205	0.0290466	0.107245	0.147749	0.553992	0.119443
ú	0.000863319	0.00239979	0.0639308	0.0274545	0.140656	0.0897777	0.4876	0.187317
s	0.000324253	0.000177615	0.0178557	0.00928126	0.038181	0.0284233	0.289219	0.616538
u	0.000919529	0.000313124	0.05024	0.0248252	0.164101	0.0934777	0.327508	0.338616
</S>	0.0010948	0.000575384	0.0135285	0.0225646	0.0124682	0.0667806	0.102958	0.78003
