 	il	se	fit	blâmer	par	son	chef	</S>
o	0.388634	0.508164	0.0469634	0.0479548	0.00349647	0.00421673	0.000194454	0.00037651
k	0.0275567	0.0878088	0.585531	0.262637	0.00482437	0.00713592	0.0197237	0.00478238
o	0.0163694	0.0810297	0.777214	0.0328548	0.00518603	0.00551847	0.0637689	0.0180591
n	0.00129647	0.0314669	0.67593	0.00859466	0.00128756	0.00363396	0.264693	0.0130977
d	0.075957	0.0783486	0.714203	0.0144017	0.00724657	0.00632303	0.0199918	0.0835285
z	0.0896432	0.0401399	0.593878	0.0130978	0.00489793	0.00307242	0.0991444	0.156127
i	0.144562	0.0455353	0.537523	0.0918592	0.0133554	0.00497085	0.0709377	0.0912571
á	0.206634	0.116496	0.0438813	0.093025	0.34928	0.160058	0.00150291	0.0291225
n	0.00909536	0.0237822	0.0302611	0.0836413	0.197422	0.337198	0.222896	0.0957035
g	0.0178576	0.0385072	0.0546335	0.501157	0.146368	0.185397	0.00275502	0.0533253
a	0.0126692	0.0401375	0.579233	0.235818	0.0417806	0.066307	0.00945336	0.0146013
l	0.0271054	0.0461244	0.0928664	0.0632235	0.220381	0.413107	0.0163445	0.120849
á	0.0270453	0.0272209	0.0313949	0.0401123	0.227367	0.300369	0.120385	0.226106
w	0.0265735	0.0138186	0.00421103	0.0184637	0.336172	0.477754	0.0451285	0.0778783
a	0.0599694	0.032347	0.00967013	0.0113522	0.358332	0.424699	0.0176236	0.0860066
</S>	0.0196348	0.00550917	0.00226302	0.00219066	0.240672	0.294983	0.0353901	0.399357
