 	la	silhou	ette	du	chien	est	longue	</S>
e	0.837115	0.0862854	0.0303472	0.0424549	0.00109806	0.00239291	6.27732e-05	0.00024426
y	0.0467905	0.885175	0.0568424	0.00182136	0.00225807	0.000725493	0.00489274	0.0014946
i	0.0093327	0.843856	0.122783	0.0194539	0.00132942	0.000880919	0.00176148	0.000602119
i	0.0231953	0.791479	0.145153	0.0124312	0.00267827	0.000750575	0.00189077	0.0224221
n	0.197758	0.194787	0.446644	0.0875816	0.00559672	0.00772808	0.000562436	0.0593422
í	0.0882536	0.175784	0.569309	0.0641791	0.0538865	0.00992617	0.000780914	0.037881
y	0.0686509	0.0427136	0.466174	0.348316	0.00508883	0.0346204	0.00160702	0.0328291
á	0.0814719	0.043848	0.28982	0.519804	0.017848	0.028	0.00408893	0.0151192
m	0.0306266	0.00320969	0.06967	0.806374	0.0718573	0.0115391	0.00386676	0.00285667
b	0.0179879	0.000505953	0.0181762	0.19778	0.757912	0.00400542	0.000652196	0.00297967
v	0.000942646	5.46734e-05	0.00405919	0.0211052	0.970535	0.000451485	0.000513708	0.00233835
á	0.000565432	0.000380589	0.00427139	0.00853921	0.96791	0.000270667	0.000456324	0.0176068
n	0.00458508	0.000817454	0.0493264	0.0376717	0.76432	0.00435212	0.00126758	0.137659
d	0.0131356	0.00625246	0.106464	0.271703	0.417558	0.0615914	0.00406124	0.119235
é	0.00330795	0.00537617	0.0657093	0.0801898	0.687033	0.0462319	0.013038	0.0991138
é	0.0166317	0.00996554	0.11825	0.0898487	0.0126899	0.609138	0.0368076	0.106668
d	0.0161056	0.0164016	0.0369158	0.0658591	0.00675772	0.535888	0.238231	0.0838412
í	0.00411135	0.0205031	0.147411	0.0261731	0.00553946	0.201415	0.159337	0.43551
e	0.00453448	0.00598209	0.148792	0.0777516	0.0140468	0.177896	0.203634	0.367363
l	0.00416009	0.00532922	0.0137593	0.0168086	0.0233587	0.0360179	0.535973	0.364593
a	0.0065577	0.0138525	0.0399439	0.00811212	0.0092513	0.0275092	0.689574	0.205199
á	0.000462148	0.000792081	0.00616292	0.0139907	0.000590199	0.0659551	0.614354	0.297693
</S>	0.00727532	0.00581807	0.0653174	0.106678	0.0165465	0.152086	0.177621	0.468658
