 	cet	homme	est	un	bon	forgeron	</S>
i	0.718329	0.160389	0.063462	0.0188629	0.0380505	0.000604433	0.00030188
b	0.0590631	0.917241	0.013054	0.00179142	0.000816074	0.0077105	0.000324108
a	0.00407867	0.993237	0.00154923	0.000175768	0.000213682	0.000692582	5.31946e-05
a	0.0322712	0.945709	0.00960095	0.00149765	0.00180557	0.00354965	0.0055665
d	0.739336	0.103236	0.065986	0.0120827	0.00827296	0.0028335	0.0682534
í	0.130346	0.00973262	0.0432742	0.0317319	0.00240352	0.000322949	0.782189
í	0.0279506	0.0401029	0.449339	0.15067	0.0465277	0.00171975	0.28369
i	0.0259364	0.00940132	0.26867	0.370294	0.163245	0.0184748	0.143978
d	0.00596527	0.0534618	0.195904	0.237328	0.122825	0.290388	0.094128
í	0.00221777	0.00630785	0.277578	0.377005	0.0390664	0.0237571	0.274069
o	0.00277323	0.00165767	0.112677	0.169536	0.212329	0.212811	0.288216
k	0.000721279	0.00418612	0.00906146	0.0267295	0.047291	0.844594	0.0674166
u	5.98159e-05	0.00073605	0.000528867	0.000961727	0.00161136	0.980868	0.0152346
b	0.00123626	0.000884523	0.00245075	0.00338125	0.00991901	0.965526	0.0166018
h	0.0956886	0.00239154	0.0364404	0.156561	0.355693	0.13554	0.217686
a	0.00462245	0.000945409	0.0273876	0.157748	0.197485	0.126007	0.485805
ω	0.00765599	0.000805988	0.0109638	0.0716496	0.284643	0.0396595	0.584622
n	0.00553932	0.00758323	0.0736705	0.107116	0.284923	0.025013	0.496155
έ	0.0418073	0.00177848	0.0138119	0.0790606	0.0303119	0.0127925	0.820437
</S>	0.000293948	0.000289884	0.0108544	0.0532807	0.0431492	0.00824114	0.883891
