 	il	menace	de	pleuvoir	aujourd'	hui	</S>
b	0.712397	0.094176	0.0863793	0.00889793	0.09116	0.00610368	0.000885783
v	0.232188	0.00848068	0.144278	0.595512	0.0182982	0.000115014	0.00112832
u	0.0618283	0.0780095	0.189773	0.666066	0.0028916	1.39742e-05	0.00141777
s	0.0420864	0.662489	0.16671	0.0986833	0.0173405	0.000228076	0.0124633
á	0.544274	0.239101	0.159872	0.0238311	0.0155274	0.000239456	0.0171543
b	0.311406	0.190175	0.244509	0.0389428	0.0908496	0.0108335	0.113283
á	0.49779	0.190018	0.151776	0.0155427	0.0826677	0.00479527	0.0574098
p	0.416935	0.0921721	0.254784	0.0541242	0.0836005	0.0451564	0.0532276
á	0.0326346	0.817639	0.0298507	0.00785837	0.00861814	0.0974408	0.00595898
b	0.031121	0.679112	0.0295288	0.00341487	0.0104253	0.19211	0.0542875
h	0.0439135	0.381568	0.245195	0.0465859	0.172812	0.0264555	0.0834696
á	0.0787405	0.459095	0.157859	0.0245312	0.0671008	0.122807	0.0898662
ó	0.0462255	0.0115824	0.14025	0.0339356	0.636065	0.0818211	0.0501199
d	0.0310955	0.0417906	0.273737	0.057655	0.388868	0.109361	0.0974936
i	0.00803388	0.0017222	0.0793501	0.0365856	0.103695	0.00506243	0.76555
l	0.00838122	0.00242463	0.387216	0.0391756	0.18105	0.0136333	0.368119
a	0.00877729	0.000908946	0.0954199	0.0144513	0.409334	0.0602115	0.410897
m	0.00304315	0.00364812	0.0948407	0.0641523	0.285997	0.0312779	0.517041
b	0.0151579	0.00129894	0.21098	0.322032	0.164128	0.0119375	0.274466
v	0.0028935	0.000254392	0.0860571	0.844094	0.0261911	0.00120947	0.0393002
ú	0.00132128	0.00288677	0.0616257	0.796955	0.0120545	0.00213515	0.123022
á	0.0125939	0.0147119	0.137405	0.0288034	0.0563155	0.0959025	0.654268
</S>	0.00666591	0.00236786	0.0551625	0.0133284	0.310569	0.0940738	0.517833
