 	oponzo	m'	a	donné	la	petite	part	du	gibier	</S>
o	0.838568	0.053035	0.0284756	0.028642	0.0202923	0.0146572	0.00936928	0.00565079	0.000242956	0.0010668
p	0.854454	0.0748764	0.0144898	0.00434474	0.00531279	0.00264661	0.00771939	0.00469326	0.0171475	0.014316
ó	0.734253	0.0887196	0.0269774	0.0471329	0.0327862	0.00950194	0.00731935	0.0207511	0.0154918	0.0170671
n	0.855024	0.00775962	0.0359429	0.0258503	0.0161069	0.00907693	0.00648008	0.0107428	0.00216314	0.0308539
d	0.663091	0.191502	0.0376023	0.0230677	0.0149252	0.00665956	0.00485783	0.0125942	0.0159431	0.0297574
z	0.718472	0.090123	0.0581538	0.0329148	0.0218517	0.00731744	0.00715684	0.00333242	0.00224581	0.0584326
ó	0.725051	0.0127236	0.018705	0.0200199	0.0175637	0.0173379	0.0228777	0.00484382	0.00247089	0.158406
á	0.02625	0.0824681	0.587444	0.176291	0.0773731	0.0286934	0.00734302	0.00752829	0.00089359	0.00571549
k	0.00502859	0.028844	0.311773	0.369899	0.0929787	0.0434246	0.0193525	0.0192933	0.00660662	0.102799
y	0.00212676	0.00330692	0.106161	0.418274	0.111099	0.0953831	0.111897	0.0541732	0.0116608	0.085918
ε	0.0053749	0.0044481	0.113373	0.505646	0.147436	0.0938815	0.0620003	0.0366422	0.00593326	0.0252656
l	0.0179251	0.0359189	0.15491	0.184389	0.200413	0.172155	0.0749787	0.0671326	0.0252729	0.0669054
i	0.00658138	0.0174491	0.0545897	0.204374	0.255437	0.146192	0.0736673	0.17424	0.0440679	0.023402
i	0.00127158	0.0653152	0.0573677	0.0516084	0.10259	0.164418	0.175899	0.149556	0.138507	0.0934669
n	0.00168656	0.00497178	0.0106651	0.0198073	0.0581902	0.142552	0.276159	0.170019	0.184892	0.131058
g	0.00103948	0.00697612	0.00095299	0.000971873	0.0111621	0.0380315	0.0732471	0.0605539	0.786943	0.0201221
á	0.00366215	0.0929819	0.00361491	0.00171279	0.0173025	0.0303805	0.0653589	0.0637975	0.697531	0.0236579
n	0.00639135	0.000203318	0.00197225	0.00553728	0.0467872	0.124261	0.0876768	0.379427	0.263669	0.0840753
y	0.00242881	0.00298335	0.0010351	0.000741691	0.00644437	0.0257478	0.109469	0.101572	0.617099	0.132479
a	0.000615887	0.00744889	0.000415343	0.000308027	0.00154129	0.0043291	0.0192729	0.022912	0.914388	0.028769
m	0.000743344	0.00048548	0.00891813	0.0103202	0.0295416	0.071347	0.17925	0.30058	0.169468	0.229346
a	0.00645547	0.000926614	0.00302253	0.00460798	0.0652366	0.0855813	0.0361469	0.086769	0.106259	0.604995
</S>	0.00176739	0.00171891	0.00957767	0.0125119	0.0197802	0.072223	0.10002	0.230055	0.0680868	0.484259
