 	ici	on	se	lève	avec	le	jour	</S>
w	0.672875	0.301592	0.0136034	0.00261955	0.00359208	0.00510345	0.000497818	0.000117389
á	0.48482	0.467302	0.0151695	0.00295869	0.0071793	0.0161697	0.00614938	0.000251453
r	0.397408	0.534947	0.0365754	0.00931926	0.00380951	0.00445523	0.00343882	0.0100464
é	0.360524	0.425025	0.0382428	0.00933509	0.00905622	0.00688372	0.00734667	0.143587
b	0.196845	0.530805	0.187423	0.0106092	0.0122654	0.0217687	0.00570055	0.0345823
á	0.174477	0.403985	0.314443	0.0401917	0.0356367	0.0109626	0.0115434	0.00876026
a	0.117066	0.266138	0.319681	0.145781	0.0500994	0.0219864	0.0188175	0.0604303
l	0.01561	0.0935977	0.524694	0.311792	0.0232453	0.00646077	0.0044568	0.0201434
a	0.0046646	0.0519662	0.385544	0.435901	0.060786	0.0116889	0.00548986	0.0439591
a	0.0168791	0.0242203	0.163781	0.622724	0.0643767	0.0113409	0.00357082	0.0931076
n	0.0359934	0.0514854	0.195692	0.25271	0.297148	0.136059	0.00755454	0.0233578
g	0.0581908	0.0851755	0.149957	0.266122	0.226296	0.139291	0.0103746	0.0645937
á	0.0400076	0.123125	0.144675	0.212969	0.27761	0.118314	0.0112191	0.0720818
l	0.0100512	0.00524862	0.0238518	0.125538	0.341677	0.416205	0.061564	0.0158646
a	0.0133147	0.0251338	0.046039	0.124948	0.312857	0.159906	0.0733104	0.244492
i	0.0239526	0.0080475	0.0093642	0.0400404	0.146714	0.258139	0.421056	0.092686
k	0.00265773	0.00333877	0.00744966	0.0410748	0.109411	0.129653	0.630343	0.0760715
á	0.00125093	0.000837145	0.00280119	0.0491855	0.061851	0.0556614	0.801914	0.0264993
n	0.00792949	0.00444337	0.00873979	0.0626889	0.0710884	0.0426454	0.722391	0.0800738
g	0.00767999	0.00619954	0.019134	0.188974	0.222056	0.117526	0.238097	0.200333
a	0.0802317	0.0620603	0.0160069	0.0668794	0.18027	0.196268	0.187403	0.210881
</S>	0.00708047	0.00476756	0.0175428	0.0135751	0.109436	0.276261	0.14028	0.431057
