 	cette	femme	qui	arrive	est	veuve	son	mari	est	mort	du	sida	</S>
o	0.643955	0.0952226	0.0189497	0.0246536	0.0275642	0.0600239	0.0627532	0.0252047	0.0274864	0.00718625	0.00445486	0.00205361	0.000492137
y	0.195007	0.711335	0.0145591	0.00585943	0.00625777	0.00935119	0.00767533	0.0149498	0.0121638	0.00966521	0.00496204	0.00608745	0.00212699
ú	0.950861	0.0212907	0.00492624	0.000602013	0.00172348	0.0031905	0.00252906	0.00641612	0.00143221	0.0012473	0.00147196	0.00386745	0.000441502
r	0.282243	0.0222651	0.0206566	0.00877267	0.0277792	0.137193	0.0696502	0.212515	0.0591345	0.065446	0.0434571	0.0365594	0.0143275
u	0.227222	0.0653843	0.0274948	0.0262449	0.109894	0.265215	0.068607	0.0660394	0.0428796	0.0336087	0.0339964	0.0237344	0.00967951
y	0.151253	0.123596	0.454842	0.0873617	0.042122	0.0253967	0.0357063	0.01492	0.0160835	0.014707	0.0116237	0.00753114	0.0148581
e	0.660605	0.0988603	0.107401	0.0110114	0.0105437	0.0125071	0.022816	0.021984	0.0135328	0.00621916	0.00666567	0.0226781	0.00517573
é	0.593555	0.00903949	0.231811	0.0420121	0.0287753	0.0125094	0.0310789	0.011217	0.010701	0.00447793	0.0110754	0.0038237	0.00992387
y	0.0803054	0.0336764	0.0634618	0.444589	0.122482	0.0428793	0.0308079	0.0218145	0.0355229	0.0675822	0.00929932	0.00713457	0.0404444
a	0.546441	0.0254451	0.0798412	0.0621059	0.050496	0.0386621	0.0539114	0.0424934	0.00777936	0.0154431	0.0207585	0.0343368	0.0222861
a	0.36632	0.00831294	0.0815157	0.123461	0.098412	0.0567047	0.0426828	0.0266682	0.0149413	0.0291731	0.0453391	0.0175721	0.0888969
w	0.0279464	0.00143099	0.128191	0.201867	0.255179	0.0853412	0.181611	0.0172328	0.0286462	0.0146976	0.0340832	0.0062629	0.0175105
ó	0.0532444	0.00234107	0.0961146	0.187337	0.0663777	0.0586061	0.138899	0.0754446	0.0723606	0.0584041	0.0663087	0.00870359	0.115858
a	0.0164488	0.00141599	0.0804506	0.212519	0.113085	0.0240268	0.104754	0.0921604	0.0689921	0.0503745	0.0370375	0.0135493	0.185185
d	0.00618997	0.000410694	0.0278537	0.185634	0.225299	0.0875696	0.135738	0.151316	0.0573803	0.039651	0.0425224	0.00555434	0.0348822
i	0.00634803	0.00182617	0.0114572	0.115322	0.214022	0.0770869	0.0575425	0.0680562	0.10707	0.10108	0.0518083	0.0435246	0.144856
k	0.0153621	0.00089192	0.0140462	0.0778622	0.297635	0.199814	0.0831047	0.0800756	0.0869188	0.0557624	0.0544134	0.00959567	0.0245182
w	0.00232699	0.000261234	0.0101685	0.126125	0.13233	0.319691	0.139676	0.168236	0.046989	0.0243694	0.00378955	0.00193344	0.0241029
é	0.00520937	7.97321e-05	0.0071274	0.0709855	0.0999944	0.26524	0.117693	0.316911	0.046122	0.0307484	0.0100595	0.00128747	0.0285425
é	0.00310199	0.000138096	0.0111044	0.0794118	0.0642948	0.158247	0.0732999	0.12449	0.0381629	0.0501287	0.00737524	0.00644076	0.383804
l	0.00155998	6.37362e-05	0.00566857	0.0319279	0.109607	0.124387	0.216424	0.0670279	0.258638	0.0875911	0.0578015	0.00973848	0.029565
é	0.00342622	5.9748e-05	0.00684444	0.0454604	0.0676475	0.110131	0.19173	0.0576469	0.146137	0.106836	0.111338	0.0102949	0.142449
