 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
y	0.105358	0.17249	0.0939576	0.360596	0.134402	0.0486745	0.0393742	0.0263422	0.0161779	0.0026286
é	0.0184205	0.072382	0.0153236	0.129693	0.681111	0.0351098	0.0183676	0.0249481	0.00412909	0.000515781
n	0.0172422	0.238626	0.0205572	0.531148	0.115881	0.0108271	0.0151311	0.0367555	0.00561879	0.00821272
g	0.00237858	0.0508984	0.0586858	0.518184	0.0108995	0.00219476	0.00426401	0.333946	0.00357664	0.0149723
o	0.00341891	0.0487614	0.0615919	0.837369	0.00786982	0.000844996	0.00107848	0.0336082	0.00258206	0.00287475
n	0.00306787	0.0409872	0.0833923	0.620503	0.0532341	0.0141152	0.0175435	0.111726	0.0471059	0.008324
d	0.112555	0.136848	0.0923322	0.0912631	0.148618	0.0451646	0.0426786	0.0426209	0.0318981	0.256021
a	0.0421048	0.0883128	0.093112	0.372509	0.147245	0.0237175	0.0395282	0.0599458	0.0864845	0.0470401
y	0.123853	0.107433	0.292538	0.115906	0.194601	0.0658069	0.0496051	0.0281303	0.00840712	0.0137201
á	0.130116	0.0696166	0.471161	0.0465836	0.108658	0.0825244	0.0328657	0.0246143	0.0126837	0.0211762
n	0.0135782	0.0218005	0.487543	0.11557	0.0413673	0.0350407	0.040821	0.214331	0.0223995	0.0075492
g	0.00253081	0.0143746	0.44041	0.127892	0.0343074	0.00816324	0.0109875	0.336186	0.0191517	0.00599607
á	0.00327083	0.0161993	0.280141	0.170065	0.119739	0.0547348	0.0472941	0.183254	0.0965032	0.0287981
y	0.00612169	0.00524729	0.0350537	0.021505	0.169691	0.385268	0.190717	0.107776	0.066995	0.0116255
é	0.00748112	0.0268005	0.0595934	0.00782607	0.0924192	0.363685	0.24785	0.0560195	0.120711	0.017614
y	0.00315313	0.00623217	0.024281	0.00324134	0.0284209	0.359447	0.319553	0.0507006	0.152382	0.0525889
á	0.00328016	0.0151506	0.0257242	0.00597327	0.0971669	0.302457	0.174088	0.0436514	0.303659	0.0288499
n	0.00373579	0.00453751	0.0149357	0.00214593	0.0250452	0.249779	0.387599	0.0612516	0.163258	0.0877128
g	0.000970772	0.00520983	0.0155212	0.00947545	0.0187229	0.0637191	0.105634	0.390145	0.353827	0.0367745
ó	0.000264763	0.00178136	0.0414078	0.036444	0.0206107	0.0304056	0.0378217	0.428347	0.37394	0.028977
l	0.00016974	0.00102859	0.00840551	0.00988673	0.0102139	0.0306216	0.0349502	0.121876	0.657991	0.124857
o	0.000882095	0.00366227	0.00464939	0.00599193	0.0161344	0.0951024	0.0891481	0.0985124	0.573625	0.112292
m	0.000599456	0.0017062	0.00907837	0.00109269	0.0060169	0.053112	0.0923861	0.0656792	0.523283	0.247046
i	0.0139319	0.0201719	0.0138695	0.000689338	0.0813779	0.186482	0.187991	0.0778484	0.164513	0.253125
</S>	0.00536891	0.0042484	0.00235598	0.00034002	0.00830501	0.0346426	0.11836	0.0579059	0.0178629	0.75061
