 	parmi	ces	enfants	quel	est	celui	qui	n'	arrive	pas	à	lire	</S>
s	0.384102	0.49728	0.0352591	0.00592675	0.00561823	0.00355069	0.00535962	0.00706302	0.0171235	0.015194	0.017402	0.00350947	0.00261219
á	0.0920977	0.283568	0.0379657	0.0145304	0.00841803	0.046098	0.0171506	0.0215335	0.0343127	0.0647899	0.0307672	0.0153649	0.333404
b	0.152257	0.573754	0.113253	0.00654243	0.00686859	0.0208429	0.0163833	0.0251042	0.00996508	0.0185446	0.0316711	0.0187997	0.00601316
á	0.0138335	0.123311	0.678372	0.000727136	0.000463973	0.0011256	0.00298511	0.00491496	0.00662883	0.0144892	0.0170312	0.119892	0.0162254
n	0.0130829	0.088399	0.853777	0.00615917	0.00425552	0.0038811	0.00283995	0.00312408	0.00454383	0.0020639	0.0081346	0.00255529	0.00718385
a	0.155591	0.41153	0.196202	0.018506	0.014763	0.0249505	0.0126045	0.0152928	0.0120182	0.0175524	0.0444089	0.0196471	0.0569336
b	0.190672	0.229923	0.0698156	0.0889545	0.0426163	0.0396507	0.0503618	0.0598144	0.0299705	0.0328767	0.12377	0.0160914	0.0254838
á	0.0796012	0.096233	0.525232	0.0529849	0.0234632	0.0101581	0.00716549	0.0107144	0.0248676	0.0150427	0.0199072	0.00523489	0.129396
o	0.0488307	0.0377065	0.20902	0.0915781	0.0689613	0.0460727	0.0490714	0.0617471	0.0787119	0.0447831	0.127966	0.031455	0.104096
k	0.0184513	0.00885234	0.014451	0.154475	0.1204	0.0733144	0.0919356	0.104964	0.092407	0.072977	0.0375615	0.179617	0.0305942
ώ	0.00548989	0.00143098	0.000530693	0.00803255	0.0228344	0.018041	0.044511	0.0926221	0.17606	0.122256	0.0327789	0.433433	0.0419787
n	0.000367403	0.000983224	0.00137326	0.00542279	0.0132774	0.0263623	0.0685523	0.0779575	0.154145	0.206094	0.153204	0.257159	0.0351023
d	0.0163937	0.012429	0.00265881	0.0318991	0.0438178	0.0615266	0.0394916	0.073569	0.136583	0.247069	0.133773	0.119023	0.0817664
i	0.0556993	0.0582006	0.00643563	0.0627814	0.0535501	0.0763341	0.0625475	0.0938198	0.0969498	0.190321	0.0677269	0.101791	0.0738424
p	0.0023707	0.00059422	8.7854e-05	0.024211	0.0399933	0.0332897	0.0601291	0.11535	0.221506	0.143308	0.272945	0.0534119	0.032803
i	0.00875869	0.00959355	0.0422981	0.0172064	0.0291601	0.0383187	0.0231845	0.0505972	0.188483	0.0875396	0.0435763	0.393632	0.0676522
r	0.00038365	0.000430508	0.0012403	0.0254847	0.0577401	0.0708737	0.0453294	0.0834754	0.188653	0.129935	0.121006	0.180393	0.0950549
i	0.00206424	0.0031278	0.000455143	0.0199906	0.0204922	0.0495035	0.0252484	0.039393	0.0610944	0.139335	0.0609931	0.330717	0.247587
o	0.000711945	0.000577128	0.000305526	0.0290919	0.036322	0.044598	0.0621089	0.0742088	0.119093	0.169354	0.2514	0.0653974	0.146831
t	0.00354693	0.00202899	0.00014345	0.0016707	0.00551955	0.0112071	0.0401993	0.0536821	0.0730246	0.157687	0.130346	0.322396	0.198548
á	0.000879986	0.00191475	0.000372591	0.00209413	0.00900456	0.0283367	0.0408682	0.0495355	0.0971235	0.158043	0.0557403	0.430261	0.125826
n	0.00160856	0.000939076	0.00106998	0.00870335	0.0263774	0.0285561	0.0179545	0.0735086	0.149676	0.139651	0.143837	0.142013	0.266106
g	0.0011427	0.00141701	0.0015851	0.00872806	0.010259	0.0224894	0.0145935	0.0349645	0.0531707	0.1219	0.12934	0.150451	0.449958
a	0.00445805	0.0071747	0.0144516	0.00714844	0.00589834	0.0355131	0.012115	0.021916	0.0435516	0.119955	0.0623672	0.238437	0.427014
n	0.00159099	0.0014735	0.00044203	0.0111636	0.0135281	0.029331	0.0293853	0.0480144	0.0795735	0.1331	0.213903	0.0653603	0.373134
d	0.0073714	0.0105868	0.00298654	0.0118695	0.00599523	0.0241673	0.00567551	0.00638716	0.0067323	0.0745246	0.0395389	0.163292	0.640872
a	0.000953501	0.00203184	0.000581281	0.00453414	0.00196418	0.0118776	0.0023568	0.00260163	0.00219542	0.0193619	0.00878581	0.0699985	0.872757
</S>	8.93265e-05	0.000186898	6.3972e-05	0.00389863	0.00264724	0.0124422	0.00353502	0.00402142	0.00271291	0.016635	0.0099571	0.0252751	0.918535
