 	nous	avons	attrapé	un	voleur	dans	le	poulailler	</S>
b	0.868077	0.0939051	0.00103327	0.0235002	0.00104322	0.00773558	0.00156127	0.00197756	0.00116636
í	0.943982	0.0269793	0.000873803	0.0170781	0.00682423	0.00287537	0.0011242	0.000122662	0.000140597
s	0.982243	0.0115508	0.000681141	0.000802917	0.00452842	6.0824e-05	8.56611e-05	6.7794e-06	4.0769e-05
í	0.339584	0.454747	0.00408514	0.0600336	0.0807613	0.0150288	0.0270836	0.00152132	0.0171547
l	0.02583	0.229049	0.288093	0.0140425	0.0183288	0.0127332	0.0392867	0.00454511	0.368092
é	0.00404068	0.020043	0.18025	0.0504211	0.0158951	0.0340548	0.0883472	0.00714715	0.599801
p	0.00577658	0.512707	0.429436	0.00971659	0.00435226	0.0029019	0.0112427	0.000444001	0.0234231
i	0.000234094	0.00630965	0.977672	0.00547011	0.00148758	0.00178007	0.001648	0.00435326	0.0010458
i	0.000502927	0.0112817	0.943906	0.036437	0.000575454	0.00389433	0.0016997	0.00113182	0.000570704
m	0.0778041	0.068238	0.0548693	0.48552	0.145055	0.0768246	0.0352977	0.00758285	0.0488084
ú	0.00399679	0.00263897	0.00112087	0.126615	0.823317	0.031068	0.00793625	0.00081149	0.00249552
b	0.000395816	0.00101677	0.00336209	0.130492	0.753086	0.0913206	0.0152046	0.000756347	0.00436523
h	0.00439081	0.000902679	0.011767	0.503294	0.00517163	0.301074	0.0868353	0.0271659	0.0593994
u	0.000265305	0.000297759	0.0151445	0.383958	0.00713766	0.31514	0.109544	0.038867	0.129645
s	4.38797e-05	7.00976e-05	0.000847488	0.187809	0.00371472	0.562158	0.177491	0.013157	0.0547077
á	0.00249129	0.000173418	0.00430159	0.128199	0.00579054	0.343984	0.226281	0.0780219	0.210758
n	0.0043767	0.0022785	0.00161918	0.041219	0.013817	0.336802	0.154591	0.394492	0.0508053
d	0.0494411	0.0035175	0.000270671	0.029466	0.00616774	0.101903	0.26408	0.0667827	0.478371
é	0.00186065	0.00133048	0.000436241	0.00785479	0.00381283	0.0790211	0.41072	0.078218	0.416745
e	5.10504e-05	0.000705807	0.00152155	0.0305269	0.00231535	0.121338	0.2848	0.118072	0.44067
y	3.51002e-05	0.000236456	0.000258147	0.0139836	0.000149299	0.149268	0.356664	0.0727417	0.406664
á	0.000606554	0.0037484	0.00251814	0.0222705	0.000229907	0.0458243	0.349594	0.382158	0.193049
t	0.000340139	0.000674305	0.000299643	0.00414742	0.000168432	0.0122596	0.085454	0.836545	0.0601112
s	0.000617728	0.000158461	0.000379936	0.000594859	0.000112312	0.00666352	0.0237736	0.942677	0.0250228
ó	9.89912e-06	5.46487e-06	0.000202659	0.00026801	8.10061e-06	0.00200149	0.00876959	0.975267	0.0134673
s	3.62195e-06	8.25062e-06	0.000128671	0.000686485	9.78427e-06	0.00788672	0.0204699	0.868486	0.102321
ó	3.38399e-05	1.3995e-05	0.00148515	0.00239181	0.000243921	0.0182461	0.132055	0.449018	0.396512
</S>	0.000393982	0.000602206	0.000625341	0.00678499	0.000363346	0.0278116	0.118998	0.0468324	0.797588
