 	le	notable	est	passé	dans	ce	village	hier	</S>
m	0.714894	0.271601	0.00432426	0.000363299	0.00233713	0.00587458	0.000277047	0.000271574	5.684e-05
w	0.0101643	0.98272	0.00411539	0.000378901	0.000972715	0.000505643	5.21342e-05	7.67792e-06	0.00108343
ε	0.00227066	0.997625	7.08658e-05	1.06599e-06	2.19795e-05	6.16812e-06	2.75215e-06	4.03015e-07	9.75382e-07
n	0.117575	0.804961	0.0537069	0.00919745	0.00361602	0.00260285	8.19249e-05	0.000157393	0.00810156
έ	0.641901	0.214167	0.0304884	0.00630393	0.0168863	0.013461	0.00116141	0.000550457	0.0750807
á	0.11496	0.0200665	0.618836	0.0874756	0.0187879	0.0147947	0.00885387	0.00702599	0.109199
p	0.0145252	0.00449245	0.263994	0.605387	0.0543575	0.0183088	0.0065502	0.00632652	0.0260575
é	0.00223315	0.00195539	0.180275	0.565977	0.110441	0.0300093	0.0719045	0.0117755	0.0254301
n	0.0170846	0.00170569	0.108443	0.449591	0.25777	0.0898547	0.0585975	0.00573252	0.0112203
d	0.0293466	0.00227484	0.146877	0.311304	0.338196	0.100691	0.0475214	0.00752187	0.0162681
i	0.00949737	0.00203073	0.0755231	0.330056	0.437627	0.0865667	0.0313974	0.0016176	0.0256839
p	0.0170007	0.000770157	0.0444304	0.100895	0.398275	0.313215	0.0992803	0.00766399	0.0184695
o	0.00797863	0.00166271	0.0241647	0.0248847	0.237907	0.155209	0.45232	0.0685788	0.0272943
o	0.00368075	0.000322111	0.00707737	0.0153824	0.0894489	0.134037	0.713661	0.0292302	0.00715976
y	0.000818298	3.77777e-05	0.00463814	0.0284273	0.304581	0.588779	0.039111	0.0141416	0.0194658
é	0.0319614	0.000740652	0.0138934	0.0210027	0.114937	0.201266	0.52245	0.0433939	0.0503552
l	0.00462461	5.81803e-05	0.00750035	0.0413977	0.238302	0.428119	0.0711077	0.0869332	0.121957
a	0.000871185	8.98407e-05	0.00276662	0.0270688	0.128867	0.127754	0.124223	0.126716	0.461643
p	0.000907757	1.23813e-05	0.00237065	0.00670509	0.100171	0.274535	0.208405	0.268432	0.138461
ó	0.000313988	7.63916e-05	0.00100111	0.00101465	0.00745244	0.0315053	0.455984	0.475085	0.0275664
a	0.000122041	3.80855e-05	0.00123124	0.00401292	0.0148121	0.045864	0.332377	0.487748	0.113795
</S>	0.0014343	5.05462e-05	0.0111032	0.0298858	0.0424154	0.12493	0.0112371	0.260216	0.518728
