 	il	boude	parce	que	sa	mère	lui	a	refusé	de	l'	argent	</S>
w	0.859466	0.0285763	0.0496943	0.0172568	0.0212271	0.00057538	0.00919512	0.00330245	0.00400172	0.00257296	0.00396217	0.000123609	4.55719e-05
a	0.829326	0.0130929	0.0660063	0.0218487	0.0366097	0.00135885	0.00339004	0.00197237	0.0178502	0.00104222	0.00554049	0.00194434	1.8364e-05
á	0.449853	0.295026	0.0352278	0.0268382	0.023144	0.00697384	0.0572521	0.0324885	0.0266527	0.0102927	0.0258199	0.00701578	0.00341512
m	0.197808	0.561013	0.0206537	0.0134114	0.00653624	0.00811202	0.00450647	0.0346047	0.0986555	0.0158049	0.0208495	0.00181416	0.0162305
i	0.101497	0.193058	0.0636897	0.161533	0.0282745	0.00886559	0.167852	0.0623147	0.00770323	0.0307141	0.0150042	0.00288389	0.15661
l	0.103383	0.736726	0.0347692	0.0411974	0.00606844	0.00742978	0.00860815	0.00842559	0.00537978	0.00666311	0.00485235	0.000623468	0.0358729
ώ	0.061789	0.401711	0.135027	0.170939	0.0230264	0.0493804	0.00424692	0.00941347	0.0661966	0.0130936	0.0289698	0.00446029	0.0317458
ώ	0.0244855	0.44483	0.17867	0.090508	0.00677198	0.092344	0.00486646	0.00903738	0.0323659	0.0167449	0.0556244	0.012009	0.031742
l	0.0309347	0.0604415	0.639269	0.155558	0.0200614	0.0122814	0.0192719	0.0124081	0.0234232	0.00885126	0.012003	0.00198252	0.00351411
a	0.0198844	0.0211601	0.212214	0.42137	0.0365616	0.00800085	0.010214	0.0117645	0.0293858	0.0380181	0.026204	0.00498032	0.160242
n	0.00518961	0.00164136	0.323403	0.442669	0.0690445	0.0602682	0.050171	0.00569098	0.0117283	0.00474361	0.00905378	0.0116358	0.00476065
g	0.00525642	0.00153479	0.12779	0.387342	0.0934411	0.157856	0.00178942	0.00124131	0.147814	0.00486193	0.00518527	0.0474026	0.0184852
ó	0.000983631	0.00094599	0.0164456	0.0375432	0.0381682	0.781913	0.0026667	0.00250419	0.0852613	0.00330439	0.00416422	0.0218671	0.00423236
o	0.00110487	0.0011854	0.0313727	0.0290262	0.0229361	0.205185	0.00735811	0.00195115	0.27913	0.00930651	0.0316224	0.367292	0.0125301
t	0.00920377	0.00532808	0.0371236	0.080547	0.065768	0.0302237	0.267848	0.245476	0.129928	0.0764634	0.0390055	0.00418022	0.00890579
s	0.0133452	0.00845664	0.269528	0.244331	0.139728	0.00998704	0.0185941	0.0258776	0.0426692	0.152578	0.0343657	0.00734175	0.0331982
í	0.0013461	0.00682837	0.222954	0.0895725	0.0418749	0.00197442	0.0151059	0.0557613	0.231911	0.196732	0.0265772	0.00709615	0.102267
n	0.00702133	0.00601127	0.188925	0.111175	0.120472	0.0397795	0.041575	0.0287662	0.313154	0.0351645	0.0174718	0.0232375	0.0672472
a	0.0196868	0.000745694	0.0424865	0.0757007	0.144584	0.0113912	0.0260617	0.0125037	0.297538	0.0161082	0.0179378	0.0377227	0.297533
a	0.00232838	0.000454046	0.0205937	0.0476624	0.0932048	0.0159617	0.170683	0.277823	0.126105	0.119876	0.109211	0.00845659	0.00764035
n	0.0323257	0.0207514	0.0081176	0.00905565	0.00992504	0.00217752	0.00841301	0.223005	0.302986	0.288107	0.087048	0.0032941	0.00479392
y	0.00176933	0.000531662	0.00103004	0.0116997	0.0310229	0.00457422	0.0133354	0.0418124	0.660581	0.0568079	0.0905056	0.0330383	0.0532914
i	0.000440526	0.000832184	0.0105905	0.0164742	0.0367673	0.00511676	0.0106771	0.0501844	0.567093	0.120499	0.127263	0.024894	0.0291681
m	0.000210603	0.0009894	0.00541865	0.00714224	0.00524934	0.00293655	0.00269273	0.0304461	0.740308	0.0858514	0.0830531	0.00891787	0.0267845
i	0.00589026	0.00135224	0.0065802	0.0327259	0.0372561	0.00665431	0.0161962	0.0318593	0.0241813	0.318588	0.309741	0.129753	0.0792221
w	0.00205264	0.000674497	0.00652574	0.0165712	0.0337344	0.000259464	0.0562599	0.103219	0.0850491	0.159012	0.420597	0.0532956	0.0627502
a	0.00844206	0.00240124	0.0259181	0.0693319	0.18854	0.000468645	0.0915276	0.130744	0.0894121	0.117121	0.176038	0.042536	0.0575191
m	0.000731376	0.000431352	0.00454456	0.0138461	0.0507278	0.000363893	0.0472867	0.0347877	0.0213219	0.142374	0.395086	0.049022	0.239476
b	0.00081818	0.000280187	0.000403332	0.00220624	0.0109691	0.000160679	0.0185396	0.00852377	0.00164474	0.025164	0.234865	0.581084	0.115341
ω	7.38163e-05	5.70023e-05	0.000167567	0.000700243	0.00110775	8.91687e-06	0.00357719	0.0019174	0.000650977	0.0144227	0.0298258	0.924152	0.0233382
n	0.000128405	0.000216522	0.000197325	0.000537803	0.000769656	0.00011582	0.00262593	0.0044466	0.00360473	0.04783	0.0558657	0.68484	0.198821
g	0.00016427	0.00110314	0.000917539	0.00166608	0.000984019	8.5959e-05	0.00351384	0.00537795	0.0166574	0.138254	0.165217	0.191371	0.474688
ω	0.000206443	0.00013511	0.00215874	0.00555111	0.00933722	0.000210627	0.00620212	0.000874716	0.0118209	0.0152574	0.0353105	0.688919	0.224016
</S>	0.000358929	0.000534205	0.00067134	0.00213226	0.00116784	2.3047e-05	0.00391227	0.00784347	0.0053449	0.121761	0.113514	0.0184579	0.72428
