 	j'	ai	préparé	les	feuilles	de	taro	</S>
n	0.900158	0.0482572	0.00817507	0.0208401	0.0114917	0.00956407	0.00116761	0.000346096
g	0.923795	0.0586048	0.00596214	0.00705483	0.00151546	0.00252723	0.000493045	4.70239e-05
á	0.706029	0.255629	0.0307872	0.00330941	0.00149417	0.00205927	0.000575088	0.000117079
í	0.0230694	0.326593	0.133266	0.0975782	0.0319451	0.0546727	0.0277779	0.305097
l	0.00542206	0.224865	0.723472	0.0221099	0.0117341	0.00165942	0.00120832	0.00952922
á	0.000731606	0.114673	0.812853	0.0234105	0.0233221	0.00246184	0.00202329	0.0205254
m	0.00207233	0.114404	0.753431	0.06159	0.0573643	0.00571297	0.00135503	0.00407119
b	0.00194402	0.0332061	0.348691	0.245445	0.268862	0.0589694	0.0253699	0.0175121
i	0.0260699	0.238559	0.338598	0.263933	0.0613261	0.0375775	0.00174478	0.0321914
i	0.0121305	0.0453073	0.0405035	0.344599	0.268545	0.250815	0.0116319	0.026468
l	0.00070537	0.0169413	0.0799654	0.262421	0.389902	0.112893	0.0919804	0.0451914
e	0.000177614	0.0103002	0.0841684	0.156663	0.510361	0.153718	0.0466621	0.0379494
b	1.8827e-05	0.00427573	0.0487092	0.136505	0.477304	0.185994	0.0968426	0.0503508
h	0.000184497	0.00424393	0.0361716	0.195161	0.314712	0.0983583	0.247134	0.104034
é	0.000227835	0.00407342	0.022061	0.160026	0.169171	0.157799	0.230143	0.256497
</S>	6.34283e-06	0.0014567	0.00735901	0.0608384	0.183919	0.342913	0.31136	0.0921471
