 	ce	qui	fait	le	rythme	dans	la	danse	ikango	c'	est	le	son	doux	et	lourd	produit	en	battant	les	mains	</S>
i	0.522604	0.282316	0.0790955	0.0364502	0.0155619	0.0125846	0.00393364	0.0042286	0.000629684	0.000650299	0.000383227	0.00310648	0.0070014	0.00266704	0.0139754	0.00501349	0.00327213	0.00148394	0.00209788	0.00272531	0.000182422	3.61301e-05
k	0.161281	0.485666	0.0678305	0.0179556	0.0526516	0.011799	0.00261314	0.00139805	0.00103401	0.000474177	0.000731891	0.00566459	0.00950476	0.0683263	0.102363	0.00254151	0.00233999	0.000741534	0.00121229	0.00108022	0.000680873	0.00211062
a	0.174983	0.0474195	0.109752	0.0455553	0.115019	0.0139183	0.00605941	0.00382791	0.00235665	0.00668255	0.00686247	0.02469	0.0239879	0.132641	0.062848	0.124769	0.0306923	0.0146536	0.0115469	0.0103649	0.0265483	0.00482188
n	0.04492	0.0517854	0.310062	0.0698432	0.107254	0.025058	0.00405711	0.00184969	0.000604902	0.0014839	0.00154556	0.0117841	0.0241871	0.133696	0.0667025	0.0574005	0.025807	0.0142348	0.0102783	0.012982	0.0091722	0.015292
g	0.450943	0.216432	0.134688	0.036609	0.051202	0.00993668	0.00319284	0.00240575	0.000543119	0.000611214	0.000864412	0.00642042	0.0133376	0.0234204	0.0165517	0.0109087	0.00465019	0.00541759	0.0020637	0.00223802	0.0012235	0.00633937
o	0.31599	0.276858	0.220062	0.0606787	0.101957	0.00378132	0.00149835	0.00120991	6.64393e-05	6.03031e-05	9.25517e-05	0.00148043	0.00450574	0.00135938	0.00107105	0.000440846	0.000230766	0.000964587	0.000167635	0.00138876	0.000324447	0.00581136
b	0.0417727	0.0347151	0.369197	0.2594	0.215728	0.0458447	0.0132998	0.00427917	0.000622818	0.000397057	0.000553297	0.00112684	0.00134339	0.0012607	0.000822667	0.00041474	0.00109993	0.0011625	0.000870122	0.00095284	0.000329378	0.00480756
á	0.173816	0.051931	0.0842031	0.151638	0.152956	0.084364	0.0445233	0.0147876	0.00503642	0.00532238	0.010058	0.0109064	0.0110681	0.00338202	0.00334113	0.00732777	0.0124169	0.0290284	0.0382026	0.0221793	0.0339246	0.0495876
a	0.0697949	0.0458503	0.241879	0.209205	0.107245	0.158581	0.047115	0.00605598	0.00132074	0.00214351	0.00399365	0.00421908	0.00692194	0.00642786	0.00559887	0.00359048	0.00570634	0.0119458	0.0157946	0.00868482	0.00609637	0.0318306
s	0.0124286	0.00826745	0.12452	0.249003	0.0796387	0.20445	0.0948227	0.0174094	0.0165529	0.0069595	0.00650998	0.00912871	0.00663872	0.013799	0.00594523	0.0198459	0.00602261	0.00735433	0.00614966	0.00289999	0.00281835	0.0988361
