 	nous	sci	ons	les	planches	dans	la	forêt	</S>
b	0.847133	0.138042	0.000527218	0.00586966	0.00216721	0.00379727	0.00209542	0.000353079	1.55332e-05
í	0.88815	0.0773635	0.00132169	0.00589019	0.00967918	0.00614304	0.00940415	0.00160281	0.000445969
s	0.969683	0.0212431	0.000538159	0.00075774	0.00611581	0.000689371	0.000384495	0.000103777	0.000484724
í	0.813631	0.101463	0.000830666	0.0165007	0.0361268	0.0141651	0.0125982	0.000999116	0.00368507
l	0.258366	0.136165	0.0605113	0.0268727	0.0127755	0.0483651	0.0315963	0.0111214	0.414226
é	0.044787	0.329188	0.0488302	0.18778	0.0235258	0.127437	0.0488258	0.00850948	0.181117
e	0.0525912	0.833399	0.0615558	0.0305039	0.0027202	0.0111749	0.00334115	0.00040677	0.00430708
p	0.000662911	0.0380138	0.954997	0.00409146	0.000532559	0.000416494	0.000127876	6.951e-05	0.00108825
a	0.000479248	0.00109864	0.996724	0.00117495	2.90099e-05	0.000120009	3.16541e-05	5.53077e-05	0.000287297
s	0.000539524	0.00115872	0.993087	0.00462242	5.59454e-05	0.000225112	3.92726e-05	7.01302e-05	0.000202104
á	0.00939163	0.0346354	0.644676	0.194042	0.0679436	0.029587	0.00766739	0.00391758	0.00813868
á	0.0067936	0.0335825	0.0419313	0.36028	0.440057	0.0793593	0.0216757	0.0107833	0.00553673
a	0.0129962	0.024305	0.00292533	0.317013	0.412289	0.181689	0.0381944	0.0083172	0.00227106
b	0.0126577	0.0113035	0.0664896	0.166719	0.16983	0.290357	0.0689863	0.202174	0.0114826
á	0.0247467	0.00385309	0.0196081	0.100242	0.244083	0.243035	0.0890321	0.248851	0.0265486
y	0.0106127	0.00150713	0.0015574	0.0272852	0.710986	0.100197	0.0466618	0.0574366	0.0437567
á	0.00207737	0.00331471	0.273752	0.193776	0.112647	0.151551	0.0960527	0.090286	0.0765422
s	0.00104934	0.00386327	0.00170293	0.0349974	0.0645935	0.299193	0.316429	0.192706	0.0854658
á	0.00590802	0.00468813	0.00770898	0.0173712	0.0419349	0.109601	0.178946	0.360507	0.273334
k	0.00204603	0.000676401	0.000572299	0.00659425	0.00963856	0.0340108	0.0998708	0.80773	0.0388609
ω	0.00068722	2.00168e-05	0.000182437	0.000189738	0.000608845	0.0033155	0.00734886	0.979642	0.00800576
</S>	0.000117001	1.16195e-05	0.000293615	0.000813936	0.00147754	0.00325329	0.00627568	0.97417	0.0135872
