 	j'	ai	déjà	souffert	des	hémorroïdes	</S>
n	0.981282	0.0154227	0.000663793	0.000988982	0.000635965	0.000814522	0.000191551
g	0.963654	0.0336121	0.00123075	0.000269127	0.000598365	0.000509732	0.000125428
á	0.827009	0.132473	0.00660904	0.0171399	0.00387669	0.0106666	0.00222555
l	0.179946	0.540975	0.144336	0.0215442	0.0300108	0.0272898	0.0558988
á	0.277756	0.288365	0.177948	0.0348369	0.0319475	0.0174661	0.171681
m	0.00392434	0.0345819	0.157978	0.292032	0.154476	0.240771	0.116236
o	0.0021643	0.242107	0.651391	0.0290994	0.0636896	0.00410248	0.0074453
ó	0.00121721	0.0480153	0.840035	0.0552788	0.0356268	0.0104897	0.00933751
k	0.000119219	0.00461	0.122012	0.562176	0.112213	0.134981	0.0638888
ω	1.80106e-06	6.47248e-05	0.00686266	0.955698	0.00327398	0.0180507	0.0160483
n	0.000118762	0.00276325	0.0255793	0.861913	0.0362381	0.0553277	0.0180598
ώ	0.00153745	0.0118902	0.010568	0.570654	0.136929	0.139208	0.129213
o	0.00159727	0.0471573	0.00306981	0.0386187	0.44372	0.348522	0.117315
s	5.32416e-05	0.0010581	0.00295486	0.0103341	0.0963962	0.735831	0.153373
ω	0.000334753	0.00159974	0.0053574	0.00498153	0.0741978	0.702165	0.211363
b	1.81609e-05	0.000792485	0.00373802	0.00826943	0.0233516	0.450565	0.513265
h	0.00448244	0.00451475	0.00297387	0.0211347	0.183057	0.57469	0.209146
ώ	6.52043e-05	0.000400386	0.00386193	0.0276592	0.115676	0.582223	0.270114
</S>	0.000378247	0.00126891	0.000956762	0.00492775	0.130938	0.150273	0.711258
