 	il	a	fait	cela	pour	m'	être	agréable	</S>
w	0.724914	0.151519	0.0507479	0.0307545	0.0246386	0.0064255	0.00499564	0.00442404	0.00158087
a	0.587289	0.209131	0.0264906	0.0435867	0.0637139	0.0240311	0.0291584	0.0154089	0.00119041
á	0.202441	0.383979	0.180407	0.0817408	0.0682727	0.0304711	0.0250748	0.00327022	0.0243432
k	0.0236013	0.285935	0.337528	0.162933	0.036222	0.00819981	0.0230971	0.0212416	0.101243
y	0.013434	0.0851414	0.270074	0.328243	0.130604	0.00568097	0.0306595	0.0200377	0.116125
e	0.0686527	0.133989	0.354465	0.287811	0.113541	0.00486213	0.0105591	0.0160997	0.010021
b	0.0276311	0.107654	0.247175	0.229327	0.210196	0.0307279	0.0222052	0.0200183	0.105066
v	0.0493377	0.0580487	0.112365	0.296678	0.282897	0.131982	0.037229	0.0149934	0.0164687
ú	0.039971	0.0835795	0.138187	0.251738	0.324505	0.137921	0.0117636	0.00302094	0.00931308
u	0.00634073	0.0228067	0.0992136	0.190754	0.528147	0.0524828	0.0333312	0.00903984	0.0578845
m	0.00904704	0.0179748	0.0902768	0.190297	0.352059	0.101588	0.111441	0.0812071	0.0461095
ó	0.0131868	0.0199556	0.0403919	0.062737	0.215155	0.103731	0.300081	0.0214072	0.223355
i	0.0141917	0.0217687	0.0343069	0.116678	0.293872	0.0591771	0.105818	0.301839	0.0523476
k	0.00145877	0.00698891	0.0136157	0.0442933	0.0592043	0.0173341	0.0709631	0.567352	0.218789
y	0.00218518	0.00820895	0.0183513	0.0578087	0.0622253	0.0019794	0.0231221	0.768926	0.0571932
a	0.00240994	0.00483676	0.0210315	0.0673059	0.131345	0.013335	0.116864	0.504681	0.138191
l	0.000276923	0.00125662	0.00635211	0.0139444	0.033786	0.0196554	0.100952	0.397504	0.426272
á	0.00101342	0.00278475	0.0139471	0.0372521	0.0611816	0.0333251	0.1313	0.421175	0.298021
n	0.0124346	0.00445667	0.0111908	0.0236799	0.0628825	0.370267	0.209019	0.181332	0.124738
g	0.000724749	0.000534498	0.00061264	0.00347258	0.00769224	0.951759	0.0118487	0.00864904	0.0147063
á	0.000259432	0.000874058	0.000751886	0.00184495	0.00299579	0.968513	0.00807138	0.00353548	0.0131539
o	0.00449267	0.00283314	0.00973491	0.0251711	0.0571731	0.036328	0.28888	0.327274	0.248113
b	0.00127998	0.0250831	0.0287743	0.0440723	0.0561162	0.00543173	0.0669995	0.428516	0.343727
v	0.000871023	0.010367	0.0233739	0.0438692	0.0415354	0.00112563	0.0429149	0.693537	0.142406
έ	0.000447987	0.000958302	0.00487089	0.01233	0.021774	0.00326232	0.0604295	0.827276	0.0686514
</S>	0.000382087	0.000687908	0.00366385	0.00585622	0.0198339	0.0799018	0.108873	0.0988898	0.681911
