 	le	voleur	s'	éclipse	sur	la	pointe	des	pieds	</S>
m	0.741705	0.17923	0.0368828	0.00588411	0.0105271	0.00808556	0.0112477	0.0038018	0.00247766	0.0001579
ú	0.0200494	0.970878	0.00505028	0.00143432	0.000793016	0.00053197	0.000278143	0.000385905	1.94586e-06	0.000596652
b	0.0232236	0.97502	0.000291747	0.000877068	0.000232612	0.000114687	4.53428e-05	6.99462e-05	3.51335e-06	0.000121699
h	0.362339	0.533127	0.0445243	0.0179704	0.0136817	0.00654118	0.00628753	0.00308336	0.00103732	0.0114088
u	0.550989	0.326477	0.0550619	0.0322783	0.0109639	0.00736106	0.00661792	0.00232971	0.000544723	0.00737721
b	0.618917	0.0124558	0.30492	0.00933891	0.0135334	0.00838872	0.00773075	0.00517604	0.000797905	0.0187419
ó	0.334364	0.00885146	0.331202	0.0204127	0.0551005	0.0522879	0.114462	0.0495743	0.00207751	0.0316676
m	0.407203	0.00450912	0.397769	0.0432767	0.0398571	0.0266062	0.0223127	0.0280848	0.00254516	0.0278361
ó	0.364337	0.022605	0.187012	0.271545	0.10964	0.0193126	0.00803488	0.00889929	2.12355e-05	0.00859315
o	0.521028	0.00799004	0.191344	0.20637	0.0450694	0.0134287	0.00535152	0.00518291	0.000775695	0.0034595
d	0.0603517	0.0180431	0.186881	0.527389	0.12957	0.0346105	0.0115212	0.00489913	0.00938329	0.0173513
u	0.0175758	0.0288112	0.0508577	0.587788	0.187209	0.0739963	0.0114955	0.00456485	0.000839909	0.0368616
m	0.122151	0.00393967	0.233387	0.499946	0.0936904	0.0258763	0.0080575	0.00369586	0.00037303	0.00888345
á	0.0120429	0.00466267	0.0796207	0.571324	0.161204	0.0654681	0.0478264	0.0254351	0.0018154	0.0306016
m	0.00616767	0.000474224	0.0298084	0.24361	0.200804	0.229256	0.203584	0.0652264	0.0108011	0.0102682
y	0.00617389	0.0343878	0.00993205	0.413499	0.280334	0.128249	0.0676129	0.025833	0.000254803	0.0337237
a	0.00109322	0.00442327	0.00129364	0.815802	0.0795926	0.0478687	0.0163973	0.00735991	0.00299976	0.0231699
l	0.00603848	0.00166319	0.0122712	0.429349	0.173744	0.209743	0.0814255	0.0199021	0.011591	0.054272
i	0.00437378	0.00284269	0.0186237	0.325118	0.182418	0.246852	0.0960401	0.0265474	0.000784991	0.0963998
m	0.00112347	6.74829e-05	0.0417046	0.0309829	0.131443	0.273864	0.233324	0.129515	0.0115659	0.14641
y	0.0194668	0.0014958	0.0196031	0.0865686	0.160572	0.176661	0.137233	0.170197	0.000617623	0.227585
a	0.00311403	0.00901352	0.002311	0.426185	0.0906848	0.136042	0.0778902	0.0526545	0.00742709	0.194678
l	0.00134608	0.000720102	0.0021059	0.0437605	0.0389384	0.15004	0.135295	0.067949	0.058279	0.501566
i	0.00313279	0.00203795	0.0110943	0.0905103	0.0660299	0.223092	0.185952	0.193959	0.00368367	0.220508
</S>	0.000885614	5.38731e-05	0.0116949	0.00593457	0.0213369	0.0787446	0.0928206	0.211739	0.0243368	0.552454
