 	cette	femme	est	reconnue	coupable	d'	un	meurtre	dans	sa	famille	</S>
o	0.974307	0.0211611	0.000412007	0.000662477	0.00143237	0.00101278	0.000459703	5.66801e-05	0.000184959	8.30721e-05	0.000207166	2.06473e-05
y	0.00428261	0.99535	0.000175795	1.27361e-05	4.20075e-05	2.70954e-05	1.28631e-05	1.73436e-05	1.67589e-05	1.49715e-05	3.0435e-05	1.7198e-05
ú	0.888975	0.108256	0.000693104	4.77247e-05	0.000273591	0.000254702	0.000159961	0.000622558	0.000340226	0.000165878	0.000100431	0.00011073
r	0.958778	0.0170368	0.0004201	0.000172882	0.00138613	0.00190503	0.00152718	0.00883592	0.00468163	0.00150908	0.00120878	0.00253804
u	0.820052	0.00491807	0.0135037	0.0104792	0.0155891	0.0514498	0.0351916	0.0114867	0.00809385	0.00607335	0.011836	0.0113263
w	0.322602	0.153321	0.2629	0.0515892	0.0073708	0.0163447	0.0291618	0.00664049	0.0281247	0.0302423	0.0127955	0.0789064
ó	0.293782	0.0039152	0.250482	0.05035	0.0281663	0.0708755	0.095927	0.0179158	0.0267508	0.0367696	0.0213951	0.10367
á	0.0280157	0.00103777	0.747248	0.0392121	0.0129328	0.0305914	0.0284906	0.0112841	0.0158915	0.021539	0.00886639	0.054891
m	0.00103496	0.000376157	0.417604	0.438846	0.0337451	0.0349202	0.0118159	0.00577197	0.0121059	0.0196411	0.00698563	0.0171528
i	0.0160051	0.000798522	0.327132	0.399438	0.14104	0.0546397	0.0219927	0.00610606	0.00675048	0.0066448	0.00114098	0.0183114
b	0.0034196	0.00236932	0.162263	0.675728	0.0892474	0.0391679	0.00747627	0.00524631	0.00317193	0.00306094	0.00113998	0.0077094
v	0.000870503	0.000508311	0.0378889	0.680766	0.196343	0.0437981	0.0238128	0.000539626	0.00241944	0.00172085	0.000577621	0.0107549
á	3.59502e-05	1.94586e-05	0.0261325	0.708085	0.202055	0.0483985	0.0124137	0.000532434	0.000932575	0.000493645	0.000222109	0.000679704
b	0.000379766	2.62316e-06	0.057219	0.396869	0.216732	0.112842	0.111882	0.0125153	0.0230268	0.00908861	0.0047056	0.0547372
v	0.000220877	1.7012e-05	0.0202956	0.349365	0.245658	0.23263	0.128932	0.00512851	0.00909976	0.00350194	0.00092744	0.00422324
a	0.000439844	5.82105e-05	0.0064797	0.110975	0.564176	0.137594	0.147767	0.0101912	0.0162166	0.00198598	0.000279484	0.00383694
n	0.000277255	1.52267e-06	0.00550859	0.041462	0.461318	0.292041	0.163099	0.0119043	0.00993297	0.00155939	0.00103555	0.0118606
g	0.0046247	2.33243e-05	0.00103954	0.00595696	0.146466	0.176841	0.127548	0.458086	0.0515643	0.00641624	0.00215332	0.0192808
a	0.0040382	1.76716e-05	0.000757157	0.00329469	0.199722	0.279456	0.094149	0.364359	0.0191246	0.00234194	0.00416989	0.0285698
s	0.000238873	1.3386e-06	0.00261673	0.00192797	0.0521205	0.196891	0.308677	0.199887	0.18358	0.0300819	0.00725567	0.0167223
á	0.00168419	4.54254e-06	0.000453594	0.00117499	0.0688659	0.109463	0.157806	0.205095	0.285829	0.0566675	0.030801	0.0821548
n	0.00487579	7.79286e-05	0.000845303	0.000810805	0.0173623	0.0477003	0.167948	0.381037	0.192509	0.0932281	0.0791093	0.0144961
d	0.000447376	3.09695e-06	4.80627e-05	0.000106034	0.00169001	0.00541945	0.0226074	0.8926	0.0562854	0.0110948	0.00576481	0.00393353
é	0.000115074	6.8121e-05	3.69289e-05	2.91163e-05	0.000595235	0.00319005	0.0144071	0.909212	0.0406138	0.0130071	0.0103035	0.00842193
e	1.90761e-05	9.87809e-06	0.000486575	0.000465267	0.00768447	0.0290171	0.049833	0.385213	0.158159	0.105777	0.163175	0.100161
y	0.000129895	5.59268e-06	0.00252829	0.00126144	0.00386706	0.0202841	0.079961	0.073927	0.350047	0.293396	0.0924196	0.082173
á	0.00119179	3.70127e-06	0.00311604	0.000967985	0.00709108	0.0154245	0.0920511	0.143071	0.193622	0.241398	0.193132	0.10893
b	0.000761225	1.5017e-05	0.00271821	0.00146366	0.00608441	0.0110509	0.0465072	0.0808448	0.0969711	0.218817	0.490732	0.0440348
á	0.000558548	1.24743e-05	0.00144671	0.00669215	0.0303857	0.027377	0.072543	0.0254165	0.148852	0.229355	0.427771	0.0295901
a	0.00237698	9.21768e-06	0.00255729	0.0101942	0.0401759	0.0470139	0.110366	0.0135235	0.0660514	0.202644	0.365244	0.139844
</S>	3.88964e-05	1.2585e-06	0.00171556	0.00164446	0.000870677	0.0034332	0.0130593	0.0090634	0.0982935	0.236176	0.231959	0.403744
