 	le	forgeron	tord	le	fer	</S>
o	0.892009	0.0909726	0.0147771	0.00183991	0.000274987	0.000126018
k	0.163006	0.82369	0.00710684	0.000826616	0.00389868	0.0014722
u	0.00299693	0.995557	0.000153484	9.87225e-05	0.000891952	0.000301498
b	0.00049521	0.997719	0.000154159	0.000162453	0.00112227	0.000347235
h	0.116195	0.780264	0.0420022	0.00574599	0.0141782	0.0416149
a	0.629143	0.253328	0.0719094	0.00532736	0.00278688	0.0375061
l	0.395602	0.151496	0.316813	0.0613134	0.00535207	0.0694239
á	0.317688	0.00398276	0.116928	0.0786981	0.0197858	0.462918
a	0.598958	0.00526545	0.263526	0.0791956	0.00959343	0.0434611
w	0.10995	0.0375038	0.466923	0.239145	0.0793554	0.067123
ú	0.0182077	0.0775886	0.359235	0.212858	0.247378	0.0847318
n	0.026238	0.0461181	0.396192	0.327241	0.110901	0.0933095
y	0.133337	0.0546429	0.274531	0.30269	0.132117	0.102682
á	0.0976596	0.0462616	0.17814	0.280864	0.12121	0.275864
á	0.0150771	0.00131884	0.0643516	0.485421	0.36886	0.0649716
e	0.0294701	0.00117025	0.0620809	0.467607	0.373326	0.066346
d	0.0122797	0.00914415	0.016902	0.0507631	0.863632	0.0472796
u	0.00170861	0.00193576	0.00292427	0.0702138	0.8299	0.0933174
n	0.0135582	0.000562571	0.0125529	0.10695	0.723793	0.142584
g	0.00128129	0.000134725	0.0108308	0.0494394	0.738541	0.199773
a	0.0116581	0.00121295	0.0788669	0.109707	0.409624	0.388931
</S>	0.0149835	0.00118833	0.0322024	0.224959	0.240694	0.485973
