 	il	exalte	sa	bravoure	</S>
w	0.974861	0.00442548	0.0156911	0.00342556	0.00159702
a	0.952153	0.00137508	0.0417022	0.00398313	0.000786616
l	0.429938	0.463375	0.0853304	0.00135611	0.0200007
á	0.122844	0.0794416	0.209896	0.0214135	0.566405
a	0.431596	0.0566689	0.187055	0.0236277	0.301052
d	0.0481287	0.720815	0.148718	0.0226648	0.059673
z	0.00715109	0.747413	0.102166	0.0466442	0.0966252
ω	0.269298	0.491468	0.144436	0.0165179	0.0782799
ώ	0.0105586	0.075587	0.624279	0.0860024	0.203574
i	0.0316168	0.0177081	0.616943	0.216892	0.11684
b	0.0331449	0.0135595	0.36946	0.342442	0.241394
o	0.0099076	0.00129008	0.0305125	0.875099	0.0831905
a	0.00295887	0.00738538	0.0985547	0.568352	0.322749
</S>	0.0329804	0.00580902	0.30175	0.151586	0.507875
