 	j'	ai	mal	au	pied	</S>
n	0.806243	0.0518185	0.0516215	0.0601575	0.0197135	0.0104459
g	0.923843	0.0672796	0.00759715	0.000998353	0.000119577	0.000162016
á	0.872363	0.104015	0.0212317	0.00126443	0.000946212	0.000179481
i	0.0765881	0.278799	0.164449	0.14301	0.0761957	0.260959
d	0.00484951	0.0815698	0.526502	0.118104	0.191617	0.0773575
í	0.02721	0.39499	0.513915	0.0282773	0.00560999	0.029998
e	0.0267205	0.112969	0.399189	0.314321	0.0230075	0.123793
k	0.00152647	0.0390245	0.154103	0.346213	0.36578	0.093352
o	8.4505e-05	0.00360673	0.0688907	0.128708	0.76406	0.0346497
o	5.61021e-05	0.00291071	0.0236928	0.103415	0.75341	0.116516
l	0.000258393	0.017681	0.0681979	0.32138	0.26338	0.329103
a	0.000502206	0.0173725	0.116634	0.205067	0.220039	0.440386
b	0.00793039	0.0949906	0.108516	0.224089	0.151983	0.412491
v	0.0198714	0.061773	0.122322	0.348867	0.39389	0.0532767
ú	0.000252025	0.002856	0.0202113	0.0949498	0.777168	0.104563
a	0.000477071	0.00320735	0.0319894	0.0631202	0.392814	0.508392
</S>	0.000274626	0.00796376	0.0181678	0.101107	0.0758733	0.796614
