 	nous	avons	les	semences	de	l'	oseille	rouge	</S>
b	0.838846	0.142684	0.0137334	0.000962634	0.00152127	0.00154425	0.000646047	5.05509e-05	1.18044e-05
í	0.794907	0.138772	0.022827	0.00241233	0.00368534	0.0080305	0.0286235	0.000353909	0.000388698
s	0.871764	0.067834	0.023528	0.00310015	0.0114141	0.0182138	0.00278563	0.000214149	0.00114642
í	0.842178	0.117758	0.0128918	0.0029645	0.00861363	0.0101394	0.00221252	0.000589557	0.00265214
l	0.148028	0.271942	0.103704	0.0135197	0.0172953	0.0488783	0.0358693	0.0134333	0.34733
e	0.0751162	0.267921	0.143467	0.0241789	0.0697473	0.138878	0.0333395	0.00737021	0.239982
d	0.0429975	0.570149	0.287427	0.0579085	0.0112811	0.00872191	0.00444557	0.00249386	0.0145752
í	0.0981901	0.444994	0.255835	0.0939813	0.0158886	0.00867612	0.000507658	0.00761686	0.0743104
l	0.1038	0.220538	0.293165	0.0433103	0.0455167	0.0479748	0.00818245	0.0413779	0.196135
a	0.0284135	0.0937437	0.339042	0.120826	0.121414	0.0650753	0.00558293	0.0239799	0.201924
m	0.0285275	0.0270217	0.119664	0.69108	0.0619817	0.0182221	0.00577285	0.0299368	0.017793
b	0.00367478	0.00531933	0.0439177	0.858279	0.0540162	0.011232	0.00121253	0.012554	0.00979492
ó	0.0012925	0.00218217	0.0499437	0.784715	0.110315	0.0262091	0.00492598	0.00940112	0.0110161
r	0.00123779	0.00442619	0.0232298	0.889761	0.0551019	0.00747034	0.00228256	0.00551382	0.0109764
o	0.000688911	0.00279632	0.0334712	0.858692	0.0592762	0.0134767	0.000806692	0.00360268	0.0271887
y	0.0115458	0.0120429	0.0959674	0.159568	0.319253	0.212862	0.0831085	0.0146807	0.0909719
á	0.012836	0.0264313	0.0662598	0.238122	0.355608	0.165127	0.00720056	0.0671348	0.0612811
l	0.0753355	0.0178687	0.0122112	0.0550951	0.286741	0.175997	0.15313	0.1777	0.0459211
e	0.016228	0.0151802	0.0148341	0.0821562	0.312868	0.122971	0.103194	0.151196	0.181373
n	0.00110146	0.00152491	0.00803064	0.0912545	0.352748	0.124364	0.0774061	0.275562	0.0680081
g	0.00140099	0.00569996	0.0130047	0.191953	0.315068	0.210046	0.0419828	0.102464	0.118381
ó	7.81184e-05	0.000296701	0.00333899	0.299929	0.316705	0.208245	0.0708542	0.0824771	0.0180754
n	9.26918e-05	0.00019281	0.00459877	0.0918797	0.290303	0.226012	0.0780967	0.161939	0.146886
g	0.000235606	0.00237897	0.0211543	0.0478539	0.163449	0.156008	0.0804257	0.163126	0.365368
a	0.000331189	0.00018858	0.00268386	0.263326	0.330977	0.188253	0.0774469	0.0594124	0.077382
</S>	0.000220753	0.00114741	0.00440668	0.00223804	0.0718069	0.194886	0.0947871	0.169695	0.460812
