 	votre	maison	est	petite	</S>
n	0.452953	0.524526	0.0179606	0.00373435	0.000825925
d	0.343134	0.652335	0.00198127	0.00202035	0.000529447
é	0.137906	0.855822	0.00129633	0.00309976	0.00187583
e	0.129385	0.691104	0.0384595	0.0556675	0.0853839
y	0.109434	0.257682	0.416423	0.0776647	0.138797
á	0.306452	0.241841	0.219978	0.042385	0.189344
b	0.854523	0.0602342	0.0686466	0.00670474	0.00989139
í	0.937147	0.0205307	0.0119754	0.0286786	0.00166833
n	0.994325	0.00244898	0.00182044	0.00101731	0.000388609
í	0.860834	0.0907346	0.00780534	0.00128763	0.0393383
é	0.0131595	0.109648	0.664627	0.110969	0.101596
d	0.00292083	0.00647026	0.659209	0.260792	0.0706078
í	0.00265889	0.00198424	0.238689	0.0659326	0.690736
e	0.0118067	0.00328746	0.381579	0.173904	0.429422
t	0.0150863	0.00274604	0.0458595	0.532197	0.404111
í	0.00135447	0.00378895	0.0647809	0.640166	0.28991
i	0.00228692	0.00151092	0.0307159	0.214071	0.751415
s	0.000799203	0.00101918	0.0268672	0.268293	0.703021
í	0.000532832	0.000711239	0.0170766	0.414364	0.567315
</S>	0.0164967	0.00062947	0.0304908	0.133374	0.819009
