 	il	est	parti	après	la	tornade	</S>
w	0.721118	0.264587	0.000991407	0.00585966	0.00619466	0.00105345	0.000195992
a	0.717485	0.252693	0.000583822	0.00414243	0.0225255	0.00246546	0.000104798
á	0.170362	0.757949	0.0418552	0.00779241	0.0131032	0.00308169	0.00585577
d	0.0454354	0.659969	0.202712	0.0166668	0.0307162	0.0153961	0.0291054
z	0.00956542	0.199591	0.577536	0.0106596	0.0195112	0.00760269	0.175534
w	0.0446239	0.10129	0.759824	0.0718383	0.00789208	0.00778696	0.00674486
z	0.0329165	0.0629421	0.711401	0.0568374	0.0455889	0.0208081	0.0695061
ω	0.0961592	0.119336	0.319473	0.189363	0.14449	0.0339941	0.0971841
n	0.0100326	0.044967	0.258281	0.519003	0.048778	0.050737	0.0682017
g	0.00523654	0.00298198	0.00956714	0.923351	0.0104366	0.030364	0.0180627
ω	0.00130864	0.00175405	0.00461646	0.963189	0.00862784	0.0142687	0.00623522
n	0.00179584	0.00233467	0.00223624	0.808631	0.043074	0.07961	0.0623178
g	0.00325798	0.0036984	0.00698255	0.749081	0.0980642	0.043762	0.0951543
ω	0.00353682	0.000686481	0.00466492	0.862617	0.0370307	0.052155	0.0393091
m	0.00431678	0.00983187	0.00801431	0.283501	0.470555	0.0974785	0.126303
á	0.0535342	0.0307705	0.0093118	0.0472194	0.296189	0.0601494	0.502826
m	0.0267163	0.0230365	0.0129149	0.0425915	0.230761	0.628032	0.0359478
b	0.00352326	0.010152	0.0415532	0.00680164	0.0933768	0.209739	0.634854
v	0.000388474	0.000515999	0.0133851	0.0189234	0.046287	0.679943	0.240557
ú	0.000631159	0.000635169	0.0349051	0.00691522	0.0226179	0.391445	0.542851
á	0.00092445	0.0032414	0.017282	0.00486618	0.0494486	0.065348	0.858889
</S>	0.00203881	0.00325745	0.00355842	0.0283632	0.150386	0.211114	0.601283
