 	quelle	est	la	personne	qui	vous	avait	payé	</S>
o	0.260565	0.103549	0.161028	0.244057	0.154393	0.0157562	0.0336948	0.000701086	0.0262555
f	0.0173644	0.0886925	0.0922083	0.111691	0.081401	0.00976612	0.124053	0.412274	0.06255
u	0.00278689	0.0399141	0.0932256	0.118891	0.0592005	0.00148052	0.077279	0.587451	0.0197719
r	0.000298884	0.0469274	0.133468	0.189985	0.0992215	0.00103378	0.0135785	0.495131	0.0203564
u	0.0538395	0.120427	0.192177	0.144712	0.334304	0.014435	0.0390488	0.0885815	0.0124758
b	0.0493804	0.0577848	0.119147	0.111449	0.327348	0.197569	0.11044	0.00453752	0.0223447
í	0.0374448	0.0407331	0.0347304	0.0296962	0.0534188	0.71908	0.0609367	0.000870179	0.0230899
n	0.0242371	0.00530074	0.0100091	0.0165163	0.0218308	0.908479	0.00684563	0.00147623	0.00530537
í	0.122437	0.011217	0.0298465	0.0324592	0.0931646	0.60934	0.0235079	0.00240116	0.0756268
á	0.00407609	0.0225915	0.0733633	0.0572549	0.147169	0.0690281	0.576633	0.00421033	0.0456737
d	0.00123103	0.0174456	0.0116463	0.00505886	0.0221376	0.0206597	0.431771	0.418692	0.0713579
z	0.0018306	0.00964659	0.00836529	0.00319277	0.0192218	0.0203976	0.305924	0.155434	0.475987
e	0.00898882	0.016487	0.0210798	0.0260892	0.127052	0.0174172	0.243625	0.350508	0.188753
n	0.00249735	0.0153276	0.0576302	0.0373498	0.144652	0.0936118	0.131008	0.215206	0.302717
d	0.00444846	0.00296363	0.0079731	0.00687577	0.0257919	0.293168	0.0430039	0.012758	0.603017
a	0.0017335	0.0011354	0.00327307	0.00237916	0.00738222	0.129589	0.0256109	0.0492393	0.779657
</S>	0.000141507	0.00121811	0.0101899	0.0126449	0.0197952	0.00445658	0.0442246	0.0196279	0.887701
