 	il	apporte	la	marmite	à	son	père	</S>
w	0.879694	0.0205411	0.0461857	0.0376482	0.00698477	0.00790586	0.000873402	0.000167391
a	0.85308	0.0235898	0.0764015	0.00384553	0.0167538	0.0212971	0.00484221	0.000189811
l	0.390197	0.360799	0.109352	0.01581	0.0270501	0.0246599	0.017528	0.054604
á	0.203638	0.128348	0.157531	0.01816	0.0721096	0.0530451	0.0194254	0.347743
a	0.297872	0.0962664	0.26936	0.0843387	0.0382788	0.0502195	0.0291136	0.134551
b	0.0401663	0.8274	0.0596601	0.0323688	0.00462639	0.00162145	0.00192226	0.032235
é	0.141415	0.650695	0.147036	0.00261546	0.0267679	0.00657893	0.00191046	0.0229819
r	0.0362231	0.603387	0.204389	0.0669179	0.0160019	0.000828846	0.000331593	0.0719209
á	0.0613742	0.109361	0.276024	0.255844	0.197465	0.0112037	0.00134517	0.0873829
t	0.0238671	0.0430117	0.243185	0.452714	0.152629	0.0276029	0.0417352	0.0152542
á	0.0141674	0.0160091	0.0500656	0.694799	0.0439397	0.011065	0.138488	0.0314668
á	0.00433838	0.0174132	0.0833248	0.0683302	0.0659212	0.0344161	0.422179	0.304077
n	0.00731997	0.00882086	0.0942382	0.0544784	0.520121	0.218536	0.0689181	0.0275673
d	0.00451	0.00150638	0.0858641	0.276992	0.371474	0.224031	0.0028775	0.0327455
z	0.000317823	0.000365273	0.0106724	0.797329	0.0989264	0.0676746	0.0048958	0.0198187
ú	5.69094e-05	8.69456e-05	0.0094761	0.928837	0.0435373	0.012351	0.00063193	0.0050223
n	0.000354994	0.000144004	0.00961255	0.944032	0.0334081	0.00226915	3.65589e-05	0.0101427
g	0.00180901	0.00291034	0.0820245	0.192621	0.605726	0.0569493	0.00284524	0.0551139
u	0.000611842	0.000862944	0.0636827	0.501887	0.329364	0.0722675	0.00203594	0.0292881
</S>	0.00110493	0.00148412	0.0494808	0.00789181	0.254234	0.335387	0.0328306	0.317587
