 	cet	homme	a	mis	un	gris-gris	dans	son	safoutier	</S>
m	0.676242	0.301834	0.00996741	0.00360555	0.00151874	0.000250036	0.00321876	0.00230485	4.83609e-05	0.00101008
o	0.964401	0.0219974	0.00513272	0.000478676	0.000738289	7.57092e-06	0.000647056	0.00351614	6.9171e-06	0.00307402
r	0.729956	0.199588	0.00864263	0.0180105	0.0134519	0.020902	0.000537904	0.000456629	0.000388819	0.00806582
o	0.90777	0.0649679	0.0014269	0.000424148	0.0026346	0.00231666	0.00160023	0.00381349	0.0021582	0.0128883
w	0.771031	0.16152	0.0568967	0.00330714	0.00286051	0.000497285	0.00042768	0.00075459	0.000279391	0.00242578
ó	0.206871	0.053915	0.420619	0.124403	0.0911394	0.000711983	0.0345258	0.036415	0.000824372	0.0305752
á	0.024435	0.0238675	0.54534	0.159628	0.0493871	0.00497846	0.0224828	0.0150146	0.0112676	0.143599
m	0.000951365	0.00499362	0.0919955	0.413838	0.169579	0.212284	0.0213673	0.0106694	0.0430921	0.0312295
i	0.00817517	0.0219457	0.0799788	0.281362	0.33729	0.209534	0.0258409	0.023574	0.00316883	0.00913094
s	0.000316625	0.000627111	0.00368095	0.078766	0.0454792	0.821569	0.00593484	0.00295961	0.0380276	0.00263915
u	0.000469225	0.000504928	0.0030912	0.0418171	0.07511	0.782524	0.00777734	0.00658009	0.0732863	0.00883979
l	0.0015829	0.000560496	0.0396916	0.211912	0.222098	0.274972	0.0494959	0.049993	0.0758133	0.0738806
á	0.0018831	0.00078295	0.0684162	0.256737	0.15639	0.0190171	0.143483	0.137269	0.0177525	0.19827
o	0.00181812	0.000900142	0.0327783	0.0530177	0.0691963	0.0147222	0.207547	0.526902	0.0681063	0.0250112
s	0.000753422	0.00193694	0.00135811	0.00786918	0.0238059	0.109325	0.152074	0.0667922	0.620891	0.0151949
á	0.000633876	4.35936e-05	0.000320835	0.00223282	0.00903614	0.0473014	0.0149712	0.0263732	0.882933	0.0161542
á	0.00056029	7.94334e-05	0.00234853	0.00452353	0.00912656	0.00450032	0.0219724	0.0696088	0.769246	0.118034
m	0.00124588	0.00101088	0.0186204	0.0141524	0.0152923	0.00121085	0.163852	0.424197	0.0467797	0.313639
á	0.209669	0.0436842	0.0148662	0.00444644	0.0210536	0.0021626	0.156669	0.355261	0.0238029	0.168385
w	0.00956303	0.00333788	0.0195709	0.0107585	0.0188879	0.00279298	0.0890912	0.427282	0.138091	0.280625
a	0.00193804	0.00635901	0.0263167	0.0456397	0.0425099	0.000738455	0.107125	0.648799	0.00564118	0.114934
</S>	0.00096154	0.000477066	0.0045486	0.0048366	0.00966834	0.000291102	0.102488	0.333286	0.133355	0.410088
