 	il	est	arrivé	trois	jours	après	le	départ	de	son	père	</S>
w	0.851932	0.0574325	0.0153928	0.0179795	0.00879274	0.0142247	0.0188243	0.00447874	0.00236957	0.0081234	0.000360383	8.91284e-05
a	0.891305	0.048767	0.00791563	0.0218021	0.00128476	0.00777865	0.0089663	0.000491205	0.000860317	0.0101223	0.000661602	4.51076e-05
á	0.0811937	0.602413	0.138288	0.0600141	0.0130005	0.030293	0.0384497	0.00366574	0.0133721	0.0129274	0.00295326	0.00342887
p	0.0309559	0.57336	0.245321	0.0545337	0.00746356	0.00477374	0.00607332	0.00884846	0.0234283	0.0117798	0.0075556	0.025907
f	0.00473996	0.173919	0.489031	0.0448366	0.0779711	0.0142081	0.0175907	0.0195157	0.0504796	0.00893495	0.0130233	0.0857501
e	0.00988922	0.311361	0.54217	0.0624133	0.0329339	0.00564606	0.0050603	0.0129867	0.0111724	0.00126339	0.00095234	0.00415133
i	0.00868235	0.0672152	0.298199	0.386217	0.0232937	0.0175023	0.018321	0.0161649	0.0155536	0.0124918	0.0113839	0.124975
k	0.00842954	0.0486665	0.241067	0.324187	0.181643	0.0667452	0.0260355	0.0185014	0.0278608	0.0122248	0.0095074	0.0351317
ω	0.000537937	0.0166973	0.185682	0.127028	0.497956	0.0705502	0.0234867	0.0234518	0.0316058	0.00252037	0.00188099	0.0186025
ω	0.00147558	0.0236936	0.0877182	0.0721544	0.602278	0.11252	0.0515854	0.0185172	0.0138751	0.00258489	0.00145544	0.0121423
í	0.00479495	0.0128216	0.056182	0.33869	0.267536	0.138096	0.122484	0.0255558	0.0153337	0.00900374	0.000546396	0.00895644
s	0.00228274	0.036111	0.128741	0.209549	0.22695	0.077613	0.0884009	0.113015	0.0740652	0.0172437	0.0066476	0.0193807
á	0.000635331	0.0150776	0.0513412	0.402389	0.0626407	0.0884956	0.043515	0.020875	0.0848678	0.0341417	0.00969928	0.186321
r	0.00311321	0.00344815	0.0254237	0.419993	0.0524674	0.210968	0.138369	0.0181124	0.0259774	0.0310595	0.0154535	0.0556147
