 	il	m'	a	demandé	où	se	trouve	l'	église	</S>
w	0.858766	0.0835759	0.0103753	0.00888257	0.0122282	0.0114634	0.00769522	0.00613512	0.000470969	0.000407095
a	0.663765	0.226201	0.0141153	0.0160645	0.0211608	0.0183858	0.00489351	0.0328455	0.00227359	0.000294903
á	0.113394	0.319117	0.333517	0.0965152	0.043474	0.0367882	0.0241804	0.0221227	0.000448673	0.0104425
m	0.0336192	0.119472	0.472865	0.235608	0.0369958	0.0171824	0.0242584	0.0178633	0.00127923	0.0408573
a	0.0232227	0.0523563	0.429197	0.252117	0.0977074	0.0358572	0.0118113	0.0116937	0.00010711	0.0859302
a	0.011484	0.0169662	0.358581	0.453191	0.0579793	0.0163554	0.017958	0.0071283	0.000877471	0.0594793
s	0.00184013	0.00986861	0.132231	0.519593	0.17896	0.0417089	0.0230801	0.0183696	0.00427781	0.0700702
i	0.00100558	0.00911057	0.138082	0.68727	0.0841754	0.023634	0.0138797	0.0153305	0.00511771	0.022395
n	0.00671197	0.0463696	0.153695	0.322703	0.188272	0.0785279	0.0213696	0.0226202	0.00505285	0.154678
g	0.0169471	0.216175	0.0429157	0.342817	0.193441	0.0536072	0.00893833	0.0208655	0.0324767	0.0718159
á	0.00941261	0.333104	0.0191406	0.107685	0.142575	0.0449233	0.0097358	0.013296	0.237821	0.0823071
e	0.00275887	0.00316126	0.0195216	0.0483635	0.41715	0.375185	0.0702544	0.0406245	0.00458754	0.0183936
k	0.00036369	0.000227374	0.00990786	0.0307121	0.256808	0.299536	0.370621	0.0168207	0.00520157	0.00980188
y	0.000172189	3.80155e-05	0.00144108	0.00655152	0.255663	0.229385	0.467695	0.0199132	0.00180369	0.0173369
é	0.000193143	0.000109426	0.00343949	0.0124716	0.136614	0.227013	0.558754	0.0342501	0.00473711	0.0224182
n	0.000469003	0.000299113	0.0104664	0.0179857	0.155647	0.208644	0.42242	0.0434008	0.00450721	0.136161
á	0.000535567	0.000563502	0.00546567	0.0150211	0.121935	0.27816	0.327006	0.074386	0.0187749	0.158151
á	0.00896836	0.00808916	0.0174089	0.0207843	0.10431	0.283503	0.252992	0.189034	0.027198	0.0877128
y	0.0028214	0.00519489	0.0174003	0.0272313	0.0345206	0.082536	0.187904	0.444441	0.0917316	0.10622
é	0.00174082	0.00267002	0.0271969	0.0696605	0.0232708	0.0397234	0.141202	0.340566	0.239613	0.114356
é	0.000720379	0.000455034	0.00391936	0.0152835	0.0272608	0.0589258	0.118953	0.433184	0.154377	0.186921
d	0.000247212	0.000452727	0.00888355	0.0163246	0.0159079	0.0230695	0.168781	0.41828	0.117034	0.23102
i	0.000101117	0.000117698	0.00681995	0.0310098	0.00486512	0.0132867	0.0903391	0.404938	0.0669684	0.381554
n	0.000112664	5.53056e-05	0.00178043	0.0211059	0.013347	0.0388451	0.174765	0.476263	0.0994902	0.174235
d	3.22323e-05	0.000234031	0.000682666	0.00651492	0.0027545	0.00578659	0.0199853	0.155851	0.60376	0.204398
é	2.37984e-06	6.8009e-05	4.03861e-05	0.000306405	0.000350299	0.00071107	0.00257551	0.0140068	0.956698	0.0252412
e	2.46227e-06	1.06502e-05	0.000116101	0.00180717	0.00375533	0.00601602	0.0174062	0.0688938	0.550171	0.351821
y	0.000243169	0.000149408	0.000689025	0.00129644	0.0141856	0.0411212	0.0862715	0.28854	0.132191	0.435312
á	0.00139461	0.00049219	0.00317913	0.00696565	0.0153103	0.0231452	0.0738125	0.340998	0.42055	0.114152
n	0.00300938	0.00460942	0.00462006	0.00848882	0.015056	0.024723	0.0434285	0.415365	0.364339	0.116362
z	0.000203543	0.00179937	0.000115299	0.000920645	0.000649493	0.00116126	0.00277157	0.0286241	0.877774	0.0859806
a	0.00037596	0.00426064	0.000253992	0.00212569	0.00178513	0.002151	0.00560154	0.0672008	0.804665	0.11158
m	7.98122e-06	3.86679e-05	0.00028176	0.00183803	0.00466259	0.0180167	0.0401969	0.129129	0.0676797	0.738149
b	0.00115222	0.000397337	0.000595361	0.0033497	0.00304379	0.0118472	0.0257219	0.269826	0.161675	0.522392
é	0.00325119	0.000363884	0.000307903	0.00394995	0.0178138	0.0336275	0.0770523	0.21424	0.397106	0.252288
</S>	0.000253575	9.4802e-05	0.000543027	0.000764104	0.00468566	0.0173717	0.0398304	0.148848	0.0265761	0.761033
