 	il	aime	plaisanter	avec	les	petits	enfants	</S>
w	0.931184	0.0277061	0.0252308	0.00987534	0.00302441	0.00291614	4.44886e-05	1.85804e-05
a	0.738905	0.075137	0.160137	0.0187262	0.00439081	0.00224385	0.000444323	1.59091e-05
a	0.615443	0.256029	0.0663534	0.0176893	0.016017	0.0120291	0.00489298	0.0115455
d	0.170865	0.381021	0.226748	0.0543022	0.0374459	0.0277855	0.0393546	0.0624776
í	0.068304	0.577305	0.0601712	0.0313259	0.0520949	0.0141187	0.00475996	0.19192
l	0.0447478	0.347406	0.16781	0.0319211	0.0563396	0.023181	0.00776119	0.320833
a	0.13623	0.346016	0.212369	0.054604	0.059067	0.0547964	0.0181386	0.118778
p	0.0949219	0.586449	0.186814	0.0393367	0.0285751	0.0272215	0.00878116	0.0279007
ó	0.0718344	0.369604	0.423972	0.0712702	0.0205106	0.00344587	0.0117263	0.0276359
s	0.0493288	0.295288	0.366788	0.140031	0.0433221	0.00459948	0.00572957	0.0949138
á	0.00519613	0.230176	0.365001	0.159828	0.0663792	0.00182366	0.00184922	0.169747
o	0.0428869	0.0801894	0.617173	0.0995633	0.0561177	0.0535379	0.0174301	0.0331018
k	0.00574821	0.135581	0.56886	0.257307	0.0212002	0.000872906	0.0010915	0.0093398
y	0.000469789	0.0107641	0.463412	0.472925	0.0327014	0.000914887	0.00339266	0.0154201
á	0.00611047	0.0271395	0.439342	0.435203	0.0551743	0.00263243	0.0104773	0.0239213
w	0.0134866	0.0265111	0.204749	0.180979	0.167818	0.0586317	0.0164618	0.331363
u	0.00629892	0.00603325	0.201568	0.269441	0.128361	0.127063	0.0666206	0.194615
o	0.00301488	0.0026756	0.0621688	0.213062	0.292245	0.216882	0.0452236	0.164728
m	0.00363746	0.0364657	0.114282	0.521263	0.268763	0.00926876	0.0241922	0.0221286
a	0.00162504	0.0243315	0.014829	0.272837	0.471234	0.0290285	0.0994156	0.0866986
l	0.000414683	0.0122379	0.0257261	0.505284	0.398254	0.00847057	0.00932579	0.0402874
a	0.00184086	0.0171304	0.0441887	0.207085	0.293453	0.0282117	0.0438737	0.364216
b	0.000490261	0.00303003	0.0512626	0.118402	0.392971	0.0650605	0.0582587	0.310524
á	0.00380785	0.00692394	0.189869	0.130562	0.15033	0.112324	0.191669	0.214513
n	0.00185421	0.00219222	0.0384037	0.055608	0.160767	0.231411	0.366188	0.143576
a	0.00295371	0.00187074	0.00375255	0.0113079	0.0525823	0.709149	0.137032	0.0813524
b	0.000307045	0.000851105	0.00329759	0.033085	0.129806	0.0926921	0.228712	0.51125
á	0.0021894	0.00284798	0.0315249	0.0603611	0.0802534	0.103461	0.675528	0.0438337
n	0.00345839	0.00394717	0.0293467	0.0283119	0.0738886	0.127098	0.27542	0.458529
d	0.00263055	0.00497792	0.00678405	0.0200274	0.0753527	0.492452	0.142038	0.255738
z	0.000275472	0.00128393	0.00525431	0.0547989	0.149767	0.304066	0.121905	0.36265
é	7.94799e-05	0.00187965	0.0171143	0.126137	0.302163	0.0978888	0.044544	0.410194
s	0.000227139	0.00717711	0.0409251	0.101279	0.185877	0.0607421	0.0318308	0.571942
i	0.00160316	0.00764157	0.0322327	0.180675	0.35577	0.156713	0.072239	0.193126
</S>	0.00107196	0.00169345	0.00526147	0.0139921	0.06062	0.0601312	0.129467	0.727763
