 	okusu	avait	marqué	sa	génération	par	sa	beauté	</S>
o	0.804158	0.186183	0.00481641	0.00142861	0.00215811	0.000430921	0.000567864	0.000249129	8.38079e-06
k	0.983105	0.0162116	0.000547778	7.79775e-05	4.61051e-06	1.76722e-05	1.25331e-05	1.02567e-05	1.26943e-05
u	0.96105	0.0341699	0.00270216	0.000621456	9.85876e-06	0.000293198	0.000153758	0.000568344	0.000431647
s	0.966255	0.0122907	0.0125617	0.000962094	2.21431e-05	0.000529823	0.000348008	0.000292157	0.00673854
u	0.87714	0.0202398	0.0923746	0.00337073	0.000297502	0.00137128	0.000732691	0.00080213	0.00367167
a	0.113864	0.361012	0.467728	0.0239058	0.00300936	0.0061083	0.00689686	0.00148717	0.0159886
p	0.00853642	0.0813097	0.711712	0.100857	0.0406193	0.017248	0.0171167	0.00419524	0.0184051
é	0.00251247	0.0146689	0.664843	0.279131	0.0113176	0.0151589	0.00343663	0.00302444	0.00590777
n	0.00829466	0.0359778	0.632469	0.210385	0.020695	0.0302077	0.015383	0.00642269	0.0401651
d	0.00636979	0.0536631	0.575832	0.221481	0.0783548	0.0402286	0.00790706	0.00317137	0.0129929
á	0.00711094	0.0533354	0.582789	0.221867	0.0268683	0.0332166	0.00973674	0.00910102	0.0559752
a	0.00136405	0.0138636	0.177188	0.416827	0.120942	0.0939002	0.123513	0.0177763	0.0346263
b	0.00447923	0.0169078	0.0265348	0.193621	0.315561	0.284287	0.116102	0.0352694	0.00723804
í	0.0030756	0.00227307	0.00189747	0.0893776	0.533989	0.255292	0.0365822	0.0544238	0.0230886
a	0.000180759	0.0025732	0.0198187	0.0458117	0.148074	0.227102	0.110756	0.192355	0.253329
m	0.000825396	0.00137887	0.00514876	0.0259471	0.033278	0.146481	0.359007	0.200927	0.227007
o	0.00224623	0.00301279	0.00138395	0.0185711	0.00144767	0.11063	0.291661	0.249315	0.321732
s	0.0256491	0.00124779	0.00191766	0.012192	0.000720615	0.0577179	0.137525	0.624304	0.138726
w	0.0058725	0.00134609	0.00319978	0.011589	0.00189112	0.0410946	0.159807	0.638317	0.136883
á	0.00326604	0.00081987	0.00410471	0.013777	0.000517898	0.0583095	0.179462	0.433519	0.306223
l	0.000105111	8.88972e-05	0.000940672	0.00665526	0.000584915	0.0239415	0.0607495	0.155288	0.751647
á	0.000350279	0.0013542	0.00570216	0.00769684	0.000594947	0.0642919	0.0821443	0.316485	0.52138
</S>	0.00290245	0.00085411	0.00551869	0.0121134	0.00570498	0.0638537	0.168744	0.279512	0.460797
