 	je	l'	ai	succédé	comme	chef	du	village	</S>
n	0.920888	0.0474662	0.0204832	0.00427198	0.00418865	0.000325618	0.0019661	0.000395599	1.43846e-05
g	0.977712	0.0157024	0.00399065	0.00220992	0.000281798	5.65687e-05	4.42304e-05	8.68231e-07	1.88556e-06
á	0.966486	0.0217329	0.00626643	0.00496439	0.000419856	4.00046e-05	8.45356e-05	1.36982e-06	4.55263e-06
í	0.13074	0.49511	0.160369	0.0887455	0.0180213	0.00399217	0.0213543	0.000459978	0.0812078
k	0.0625001	0.391938	0.348234	0.16132	0.0124268	0.00341441	0.00154898	0.000123135	0.0184952
i	0.00360516	0.255527	0.610414	0.0426726	0.0124897	0.0399937	0.00647156	0.000664983	0.0281613
i	0.0079088	0.240903	0.46774	0.10322	0.00751475	0.141978	0.00442159	0.000465501	0.0258488
s	0.0440446	0.105443	0.385817	0.344603	0.0906293	0.00129866	0.0196659	0.00161787	0.00688117
i	0.00302671	0.18089	0.257972	0.497122	0.0385713	0.00240484	0.00377051	0.000950251	0.0152923
w	0.00338096	0.0637338	0.136204	0.524095	0.233529	0.00380783	0.0114305	0.00109611	0.0227227
a	0.011595	0.143423	0.326374	0.198946	0.193947	0.00678807	0.0483135	0.00136997	0.0692432
m	0.00332525	0.067945	0.168845	0.288797	0.397513	0.00248375	0.0351142	0.00149761	0.0344802
ó	0.000203772	0.011095	0.00752285	0.19749	0.716261	0.00345762	0.0182993	0.00136122	0.0443089
m	0.00193886	0.0166326	0.0271987	0.073985	0.282952	0.482464	0.0520372	0.0366039	0.0261874
b	0.000307882	0.00506074	0.00276448	0.0780713	0.643669	0.152271	0.0100264	0.0044234	0.103406
á	0.000338093	0.00197636	0.00383287	0.0586182	0.385157	0.536422	0.00128126	0.00608489	0.00628958
r	0.00034307	0.00311026	0.00424055	0.0597585	0.697233	0.0733832	0.00971562	0.00133533	0.150881
á	0.000965458	0.014743	0.0155524	0.322802	0.327637	0.137468	0.0229974	0.00119094	0.156643
y	0.000148073	0.00302703	0.00689792	0.0197691	0.0861363	0.0728391	0.71443	0.0309965	0.0657559
ó	0.00215106	0.0975274	0.0813867	0.107298	0.174849	0.0605937	0.214557	0.11357	0.148067
k	0.00461479	0.0129158	0.0149116	0.0214763	0.0351217	0.271273	0.133139	0.459863	0.0466849
o	7.60769e-06	9.47577e-05	0.000310133	0.000258729	0.000407629	0.930464	0.00688295	0.0543068	0.00726768
n	3.13594e-06	0.000412009	0.000807829	0.00395987	0.00410442	0.937483	0.0118381	0.0372302	0.00416121
d	1.97531e-05	0.000596116	0.000324863	0.00247483	0.00186223	0.909103	0.0127628	0.0364609	0.0363954
z	0.000345915	0.0010333	0.00142117	0.00332319	0.00857604	0.833703	0.0267531	0.0857788	0.0390657
i	7.87842e-05	0.000413954	0.000478328	0.00193063	0.00635641	0.430089	0.0364203	0.469874	0.0543576
y	0.000995295	0.0163685	0.0211849	0.0187557	0.0369066	0.0261976	0.451258	0.0724983	0.355836
a	0.00082777	0.0442433	0.0378616	0.0289802	0.0326313	0.0178243	0.151582	0.43256	0.253489
p	0.00224938	0.0198049	0.0377191	0.016817	0.0143853	0.00999506	0.0587418	0.775878	0.0644095
o	0.000306647	0.000603542	0.00249769	0.000537873	0.0010191	0.00222011	0.00464376	0.981668	0.00650314
o	0.000479334	0.000547511	0.00123934	0.000954167	0.000887872	0.00511837	0.00703767	0.97081	0.0129257
</S>	0.00154662	0.0181146	0.0282779	0.0254969	0.0221118	0.00325971	0.279389	0.0888336	0.53297
