 	nous	devons	aider	les	pauvres	comme	le	recommande	dieu	</S>
k	0.271453	0.570402	0.0435781	0.0561033	0.0453924	0.00951642	0.00220805	0.000470127	0.000392211	0.000485177
á	0.150594	0.535045	0.0563789	0.133578	0.0942934	0.0124341	0.00622349	0.00222576	0.00565716	0.00357011
a	0.129079	0.65486	0.0304562	0.0846658	0.0244422	0.0418356	0.0128094	0.00603551	0.0014665	0.0143492
l	0.476434	0.360318	0.0450312	0.0452432	0.0189946	0.0175738	0.0138224	0.00424818	0.000781911	0.017552
é	0.173573	0.415858	0.0844163	0.090051	0.038165	0.0446401	0.0542831	0.0150084	0.00219182	0.0818135
e	0.16786	0.47658	0.0929487	0.0464804	0.0212572	0.0393781	0.0488968	0.014077	0.00798965	0.0845327
s	0.0109625	0.424503	0.354806	0.0620643	0.051453	0.00942629	0.0198855	0.00829357	0.00595233	0.0526534
e	0.0024256	0.77578	0.201887	0.00708998	0.00362612	0.00102455	0.00156769	0.000923511	0.00263108	0.0030436
n	0.0108274	0.517461	0.377288	0.0396031	0.0148628	0.00349986	0.00679668	0.00642875	0.00642116	0.0168105
g	0.0129666	0.291298	0.442671	0.126475	0.0328007	0.0220652	0.018389	0.014555	0.00342433	0.0353556
i	0.102491	0.25367	0.363687	0.110306	0.0334378	0.0352401	0.0306491	0.00534437	0.00309605	0.0620794
s	0.0522822	0.0750117	0.437471	0.32537	0.0410477	0.021808	0.016201	0.00768998	0.0025731	0.0205458
á	0.0153034	0.122488	0.397199	0.221736	0.0684917	0.0330784	0.0368821	0.0143539	0.00910932	0.0813584
a	0.0626407	0.0302751	0.189877	0.405816	0.17075	0.0520815	0.0281154	0.0116312	0.0377262	0.0110863
k	0.00681104	0.014983	0.0881528	0.467632	0.338001	0.0384726	0.0179003	0.00821812	0.00997707	0.0098521
á	0.0015617	0.00471805	0.0521858	0.200843	0.696745	0.015728	0.00928888	0.00315886	0.00292602	0.0128448
m	0.00818972	0.0268664	0.0967745	0.327531	0.372341	0.0552357	0.0263708	0.0191344	0.00276873	0.0647881
b	0.000986165	0.000576049	0.0408418	0.150408	0.231907	0.459033	0.0692209	0.0282635	0.00150212	0.0172618
e	0.00204746	0.00263723	0.05629	0.118604	0.212176	0.366254	0.0795711	0.0126677	0.00476004	0.144993
n	0.000567854	0.00227226	0.0111394	0.0920825	0.355891	0.326281	0.14018	0.0281155	0.00139221	0.042078
z	0.0101738	0.0342507	0.0538207	0.0569764	0.195422	0.176137	0.153297	0.0209509	0.10497	0.194003
a	0.00166505	0.00415659	0.0198451	0.046408	0.180602	0.210029	0.249437	0.0184281	0.235285	0.0341427
m	0.00044967	0.0057926	0.0218	0.0809943	0.281295	0.228263	0.259251	0.0398808	0.0265817	0.0556917
b	0.00123105	0.000548206	0.00714247	0.020617	0.0638899	0.357653	0.213519	0.146678	0.0167666	0.171954
é	0.000926218	0.00181245	0.0123374	0.0261919	0.0805316	0.494128	0.238142	0.061543	0.023359	0.0610282
á	0.00039725	0.00118536	0.00477467	0.0339758	0.067287	0.262062	0.391205	0.170357	0.00391621	0.0648397
s	0.000666635	0.00721858	0.00481532	0.0127493	0.0112847	0.0223879	0.173109	0.593678	0.0621892	0.111902
e	0.000763684	0.0311652	0.0119595	0.00695813	0.00464608	0.0193929	0.18434	0.46564	0.0696877	0.205446
r	6.72586e-05	0.00105334	0.00294035	0.00699054	0.00770968	0.0460268	0.245868	0.502523	0.0695785	0.117243
e	0.000259932	0.00105596	0.00268039	0.00373038	0.00575781	0.0448409	0.279049	0.194327	0.382832	0.0854671
</S>	0.000170445	0.000313721	0.000808065	0.00522385	0.00774274	0.0449254	0.263671	0.240628	0.0385791	0.397937
