 	le	père	a	blâmé	sa	fille	qui	a	porté	une	robe	transparente	</S>
t	0.615456	0.377094	0.000504	2.41639e-05	0.00283904	0.00203328	0.000542028	0.000515227	0.000291238	0.000285135	0.000161199	0.000226517	2.74755e-05
á	0.0593046	0.931663	0.00184747	0.000232179	0.00133757	0.000222875	0.000498408	0.000770245	0.00131835	0.00144049	0.000814842	0.000379577	0.000170393
á	0.0589038	0.739871	0.0150218	0.0151767	0.0141929	0.00467859	0.00853552	0.0312581	0.0488886	0.0256323	0.0184703	0.00153793	0.0178329
á	0.19575	0.238392	0.369582	0.0127338	0.0181098	0.0134763	0.0182526	0.0448571	0.0248627	0.0083909	0.00607002	0.0013202	0.0482029
p	0.0133573	0.0562644	0.580886	0.241135	0.00676276	0.00148491	0.00422575	0.010332	0.0337784	0.00775682	0.0207012	0.00772172	0.015594
a	0.00190044	0.0232476	0.108112	0.78268	0.00220841	0.000291989	0.00275366	0.0048272	0.0149598	0.0102402	0.025377	0.0126769	0.0107253
m	0.0677468	0.0338143	0.283879	0.498043	0.0243902	0.00162363	0.00730512	0.00786823	0.017672	0.0119961	0.0192539	0.0103617	0.0160456
i	0.0692164	0.00111584	0.10309	0.0646646	0.291567	0.218729	0.167179	0.0470764	0.0166305	0.0111299	0.0026467	0.000316876	0.00663779
m	0.0438629	0.00992922	0.103811	0.0632867	0.181706	0.453617	0.0901754	0.0235439	0.00875213	0.00389747	0.00166206	0.00103368	0.0147228
w	0.00142742	9.81719e-05	0.00229144	0.00437372	0.0362459	0.92586	0.0172295	0.00914929	0.00161366	0.000565576	0.000126824	4.4204e-06	0.00101408
á	0.000674325	7.84848e-05	0.000443845	0.0066426	0.0155637	0.959785	0.00567146	0.00343408	0.0021763	0.00242414	0.000855528	6.74105e-05	0.00218296
n	0.0142442	6.22018e-05	0.000835521	0.00138484	0.0558626	0.91323	0.00696521	0.00151927	0.000696587	0.00117847	0.000484905	6.7325e-05	0.00346907
a	0.0334427	0.00209486	0.0351207	0.0112682	0.160802	0.553245	0.127168	0.0239498	0.0258026	0.00544645	0.0012821	6.12937e-05	0.0203165
y	0.0627892	0.00547614	0.108016	0.0243484	0.391617	0.0235347	0.264528	0.0599164	0.0255951	0.0172186	0.00635585	0.00218596	0.008418
a	0.0249141	0.0004095	0.114605	0.0693974	0.271649	0.160115	0.267615	0.042963	0.0199403	0.0113523	0.00384891	0.00141278	0.011777
w	0.0249801	0.000171438	0.0663106	0.00956395	0.337276	0.102465	0.278326	0.116387	0.0269442	0.0215871	0.00509481	0.00146135	0.00943234
a	0.0206456	0.00352905	0.0687031	0.063276	0.144132	0.0790779	0.133932	0.16372	0.117817	0.10041	0.0456419	0.00465575	0.054459
y	0.00916203	0.00125389	0.123981	0.0294476	0.127918	0.0133701	0.187409	0.229493	0.0861434	0.0708864	0.0405838	0.00678152	0.0735707
o	0.00320742	0.000105166	0.0413422	0.0194335	0.432017	0.0259778	0.251489	0.117323	0.0529312	0.0355155	0.00917591	0.00232474	0.0091574
y	0.00538872	9.84875e-05	0.012776	0.00182696	0.183101	0.00722113	0.206735	0.287422	0.129119	0.120972	0.0233882	0.00329791	0.0186538
ú	0.00166076	5.44808e-05	0.0185615	0.0169228	0.158703	0.00465233	0.275328	0.110642	0.318537	0.0584238	0.0183279	0.00234048	0.0158463
r	0.000378878	6.71269e-06	0.0270074	0.00260471	0.143301	0.00283121	0.121071	0.290826	0.152545	0.17484	0.0341561	0.00301095	0.0474205
u	0.000866048	8.90898e-06	0.00397613	0.0039892	0.153589	0.00298078	0.0445683	0.0852175	0.169671	0.306823	0.119726	0.0132886	0.0952968
y	0.000207986	1.39854e-06	0.0241132	0.000907198	0.0586483	0.00137726	0.0633743	0.213564	0.231439	0.27563	0.0958274	0.00888398	0.0260262
e	0.00302671	6.08274e-05	0.0196002	0.0126857	0.172309	0.00554006	0.175462	0.142924	0.17318	0.219076	0.0525722	0.0070073	0.0165556
e	0.000409976	5.74764e-06	0.0102273	0.000793354	0.11928	0.00233922	0.0876598	0.150764	0.134727	0.288756	0.126131	0.0122222	0.066683
l	8.40965e-05	1.09541e-05	0.00256166	0.00188991	0.00351069	0.000157668	0.00644155	0.0288436	0.199371	0.159486	0.390268	0.103577	0.103796
á	3.42945e-05	7.63329e-06	0.0106722	0.00609571	0.00505877	6.02007e-05	0.0036591	0.0172054	0.30047	0.139344	0.413071	0.0256092	0.0787115
r	0.000415164	2.64884e-05	0.0142186	0.00300603	0.0129302	0.000418261	0.00661958	0.0324648	0.138636	0.261961	0.290259	0.0592358	0.179809
í	0.00013277	7.94556e-06	0.00115177	0.000580027	0.0126329	0.000256912	0.0313516	0.0523677	0.307621	0.309288	0.1876	0.0158929	0.0811168
o	0.000159339	2.14682e-05	0.00179361	0.000592656	0.0104872	0.000267186	0.0199093	0.0489605	0.0570088	0.273974	0.241363	0.081985	0.263478
