 	j'	aime	mieux	les	bananes	douces	que	les	bananes	à	cuire	</S>
n	0.882862	0.0122472	0.0177491	0.0114058	0.035093	0.0191143	0.00647914	0.00901834	0.00160289	0.00409931	0.000237384	9.16285e-05
g	0.99362	0.00438753	0.000252189	0.000778954	4.88205e-05	0.000112613	0.000253156	0.000413994	2.64915e-06	0.000121975	3.82592e-06	4.38279e-06
á	0.967796	0.0223631	0.00150089	0.00194629	0.000737688	0.000580954	0.000876599	0.00318946	0.000135736	0.000484038	0.000363295	2.54963e-05
l	0.366376	0.213393	0.0792567	0.0882317	0.0458393	0.0132541	0.0276182	0.052866	0.0117524	0.0304464	0.00903209	0.0619343
í	0.483521	0.190655	0.0373876	0.0354759	0.00589037	0.0116298	0.0289203	0.05172	0.0127637	0.0346793	0.00462019	0.102736
i	0.11207	0.467428	0.110358	0.0412874	0.0118954	0.0221415	0.0352162	0.0602155	0.00771627	0.0345131	0.0103764	0.0867824
p	0.00994193	0.917226	0.0342717	0.00125115	0.00868293	0.00129126	0.000794423	0.00189762	0.00992777	0.000809153	0.00541317	0.00849252
á	0.00164148	0.726437	0.0717943	0.000712624	0.0677351	0.00457034	0.000525753	0.00101817	0.0272775	0.000590124	0.0893172	0.00838069
m	0.00857024	0.468418	0.208698	0.0305896	0.104268	0.0485284	0.0135366	0.0184244	0.0635359	0.00621347	0.0159783	0.0132392
á	0.00511116	0.0359912	0.160617	0.379739	0.0108055	0.0070771	0.173668	0.187023	0.00624843	0.0248809	0.000545472	0.00829266
a	0.0216026	0.0357248	0.230226	0.145176	0.135542	0.139588	0.106762	0.128147	0.0224251	0.0203815	0.00355929	0.0108654
t	0.0201165	0.0302524	0.207844	0.0571901	0.115593	0.0419101	0.0673849	0.177568	0.142514	0.0290614	0.0937179	0.0168468
ω	0.000789864	0.0222821	0.198205	0.0105952	0.293237	0.0843695	0.0184269	0.0273802	0.187131	0.00713661	0.135637	0.0148099
r	0.000852434	0.0368385	0.240698	0.0279497	0.128719	0.127424	0.056522	0.11534	0.0808262	0.0361655	0.110661	0.0380047
ω	0.00257251	0.0733236	0.185411	0.0466195	0.112594	0.0734301	0.114376	0.133065	0.0974434	0.042558	0.0730341	0.0455727
l	0.00393888	0.00305263	0.0425409	0.112092	0.0200127	0.0615054	0.247111	0.178983	0.0529506	0.187702	0.0234978	0.0666133
a	0.0076575	0.0226483	0.0595005	0.0340178	0.0258584	0.0307579	0.0927851	0.101043	0.150255	0.0818707	0.254233	0.139372
a	0.00566682	0.00618948	0.0202196	0.0847175	0.0301716	0.0441922	0.119876	0.13119	0.0341286	0.150117	0.302026	0.0715059
k	0.0138712	0.0288139	0.0241643	0.018855	0.00822296	0.00593413	0.0417964	0.0608648	0.0750111	0.180102	0.472776	0.0695879
ω	8.90578e-05	0.00222681	0.0141279	0.00144148	0.0202707	0.00241703	0.00342952	0.00680373	0.126111	0.0139404	0.790522	0.0186203
</S>	3.09947e-05	0.000570481	0.0143875	0.00195541	0.0502332	0.0156439	0.00597881	0.0154153	0.0869263	0.0138503	0.736165	0.0588433
