 	le	safoutier	en	question	n'	a	pas	produit	des	fruits	</S>
o	0.654985	0.065895	0.0211399	0.0334656	0.0172016	0.0125382	0.0428032	0.0822308	0.0366941	0.027293	0.00575347
s	0.0113557	0.979848	0.00171782	0.000361643	0.000388801	0.000268946	0.000959859	0.000950877	0.000890857	0.00136064	0.00189641
á	0.0434998	0.951405	0.00127672	0.000209434	0.00034961	0.000142559	0.000177127	0.000834518	0.000266115	0.00026568	0.0015729
á	0.0463192	0.857775	0.00914563	0.00160769	0.00182345	0.00256079	0.00440739	0.00386677	0.00718537	0.00304016	0.0622685
b	0.236	0.0836851	0.458326	0.0412866	0.0188872	0.0159382	0.0147526	0.00893252	0.0365771	0.00553665	0.0800772
v	0.223669	0.0103254	0.25668	0.148094	0.0473095	0.0297911	0.0420945	0.0353815	0.0599178	0.0386772	0.10806
ú	0.0409438	0.00298931	0.241071	0.211377	0.0567877	0.0386174	0.0898725	0.0482356	0.111869	0.103363	0.0548743
a	0.12387	0.0123799	0.393407	0.226189	0.0588245	0.026917	0.0200309	0.0229242	0.062857	0.0377487	0.014852
m	0.0411309	0.00515688	0.435798	0.205459	0.0970256	0.0626973	0.0194103	0.0250655	0.0648274	0.00651712	0.0369121
έ	0.0279421	0.00793011	0.120537	0.558789	0.155584	0.046477	0.00828079	0.00490297	0.018062	0.00951543	0.0419809
ó	0.062321	0.00574355	0.189916	0.191184	0.120431	0.0597037	0.04094	0.0658464	0.0860118	0.0695751	0.108327
d	0.0190703	0.0180191	0.142747	0.129421	0.131336	0.091005	0.0530289	0.121714	0.143725	0.0823459	0.067588
z	0.00517429	0.0201485	0.0464064	0.0811544	0.067014	0.0700692	0.0576826	0.0317851	0.0567427	0.017739	0.546084
e	0.0287449	0.00385965	0.0302398	0.408489	0.16761	0.0301008	0.0426579	0.0141492	0.0349811	0.0167317	0.222435
o	0.00321477	0.000245997	0.0365597	0.0595182	0.0953227	0.134832	0.169811	0.168043	0.15287	0.0590407	0.120541
f	0.000815206	0.00449465	0.00793846	0.00742443	0.0123167	0.0239845	0.0631261	0.191122	0.204283	0.301533	0.182961
ú	0.00141521	0.000787358	0.014538	0.0115083	0.0064402	0.0088992	0.0362399	0.152683	0.0702771	0.483221	0.213991
l	0.000429375	2.79929e-05	0.00153294	0.00922199	0.0109356	0.00980839	0.0749843	0.32651	0.107198	0.258982	0.200369
a	0.00200067	4.61317e-05	0.00508143	0.0464538	0.0298696	0.0731884	0.279969	0.142655	0.150073	0.178641	0.0920213
k	0.00107282	7.90672e-05	0.00976656	0.0130205	0.0221506	0.0745542	0.125755	0.11207	0.280656	0.0711072	0.289768
a	0.0012216	0.000103227	0.002737	0.00339576	0.00895411	0.012693	0.0965006	0.305032	0.154057	0.220247	0.195059
á	0.000132675	1.51415e-05	0.000707247	0.00165037	0.00554266	0.0105534	0.0489882	0.0961523	0.0450567	0.182733	0.608468
</S>	0.00207172	0.000889037	0.0236198	0.023323	0.0185704	0.0362973	0.0643769	0.0326022	0.13256	0.0443276	0.621362
