 	ramasse	les	ordures	qui	sont	à	l'	entrée	de	la	maison	</S>
m	0.79222	0.0757992	0.0473998	0.010652	0.01297	0.0144182	0.0132688	0.0111896	0.00883931	0.0128481	9.49688e-05	0.000299759
ó	0.130148	0.334719	0.0355921	0.046293	0.0463161	0.0469766	0.0838901	0.0378317	0.0399811	0.0829966	0.00116536	0.11409
y	0.584787	0.17638	0.137174	0.0135505	0.0120173	0.012251	0.00713881	0.0169355	0.0131446	0.00180717	0.00032057	0.0244929
e	0.567762	0.170815	0.0194609	0.0433709	0.0236784	0.012371	0.00851294	0.00462356	0.0139065	0.0476811	0.0326797	0.0551373
e	0.312601	0.304458	0.0241656	0.0401619	0.0203697	0.0163227	0.0251499	0.0171626	0.0263912	0.0395814	0.00449353	0.169142
r	0.0216305	0.655352	0.145777	0.0638054	0.0242248	0.0122933	0.00467922	0.00523405	0.0293134	0.00151909	0.000587167	0.0355838
á	0.159112	0.651869	0.0184515	0.0342008	0.0145335	0.0082458	0.0147078	0.0116331	0.0218204	0.0188028	0.0039047	0.0427183
t	0.00480017	0.56	0.179124	0.0923454	0.0564384	0.0204147	0.00853576	0.0078862	0.025741	0.0148656	0.00430968	0.0255391
s	0.00528727	0.0614695	0.820804	0.044425	0.0143806	0.0111311	0.00540842	0.00733061	0.0130551	0.000750118	0.00057211	0.0153864
e	0.000774415	0.0236912	0.888809	0.0425207	0.0102585	0.00711475	0.00325354	0.00409567	0.0130458	0.00120913	0.000785011	0.00444214
r	0.00231282	0.0651274	0.70091	0.0722623	0.0233506	0.0182823	0.00803571	0.00487333	0.0310474	0.00300403	0.00109637	0.0696982
i	0.0115169	0.0424547	0.439018	0.0683847	0.0271231	0.0344211	0.0489353	0.0197615	0.0904958	0.0262244	0.00947728	0.182187
y	0.0139967	0.094085	0.149788	0.481324	0.148851	0.0382868	0.012609	0.010128	0.0223928	0.00280592	0.00025563	0.0254772
é	0.047317	0.111536	0.0470255	0.394969	0.118186	0.0473481	0.0539898	0.0267079	0.0253281	0.0724324	0.0088775	0.0462821
é	0.0051852	0.0372376	0.0317014	0.372568	0.184367	0.086551	0.0692546	0.0376405	0.0291202	0.0405244	0.0322442	0.0736059
d	0.0142214	0.0215849	0.0288307	0.216626	0.369944	0.184624	0.035112	0.0377716	0.0570852	0.00365369	0.00703868	0.0235075
i	0.00170349	0.00333986	0.00834363	0.0923026	0.308567	0.267032	0.0530806	0.0318165	0.111664	0.0217152	0.00179771	0.0986378
m	0.000745772	0.00309146	0.0134805	0.137005	0.242451	0.272506	0.0864333	0.0735095	0.136683	0.0092732	0.00163815	0.023183
ó	0.000165423	0.00432543	0.00629797	0.0556433	0.154263	0.232991	0.167644	0.118308	0.120774	0.0706515	0.00113948	0.0677968
n	0.00188083	0.00315572	0.00966655	0.0341391	0.0532876	0.0897759	0.148107	0.354288	0.16871	0.0388398	0.0805164	0.0176333
ω	0.00115018	0.00564946	0.00089861	0.0148855	0.0253088	0.03837	0.152478	0.226912	0.0983934	0.144336	0.262004	0.0296128
ω	0.000132115	0.00238642	0.000514424	0.0169182	0.0173665	0.0316711	0.118931	0.529264	0.166208	0.0621147	0.0122403	0.0422531
m	0.00312174	0.00170888	0.00737418	0.0318834	0.0528371	0.118689	0.109624	0.104963	0.41469	0.0417228	0.0480793	0.0653067
á	0.0011813	0.0142852	0.0166028	0.0175524	0.0371306	0.087375	0.0838623	0.0678444	0.374213	0.0762	0.00157892	0.222174
n	0.00118175	0.00515079	0.00701804	0.0139169	0.0229624	0.0380239	0.0601155	0.0625471	0.246001	0.164517	0.306899	0.0716655
d	0.00014205	0.00074878	9.40984e-05	0.00124413	0.00237458	0.00345446	0.0159285	0.0221819	0.0509888	0.218149	0.660836	0.0238569
é	0.000540117	0.000412749	8.5286e-05	0.0012005	0.00156261	0.00289355	0.0174148	0.0241443	0.0193835	0.0439471	0.873121	0.0152942
e	6.8806e-05	0.00074795	0.000808771	0.0147921	0.0120379	0.0301414	0.137564	0.210352	0.153269	0.0933673	0.178018	0.168833
y	0.000160319	0.00116528	0.00114048	0.00977462	0.0145158	0.0365192	0.0912864	0.100908	0.318806	0.115056	0.010282	0.300387
í	0.0011609	0.00493915	0.00239554	0.0130013	0.0107541	0.0306679	0.103285	0.0871559	0.235402	0.340581	0.0235732	0.147084
i	0.000867804	0.00304521	0.0014081	0.0087764	0.0109484	0.022672	0.0409783	0.044612	0.150844	0.177632	0.0552904	0.482925
</S>	0.00182437	0.00269731	0.00486693	0.0140715	0.0165866	0.0328419	0.0239071	0.0408816	0.357702	0.0152567	0.0406987	0.448665
